Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,1,32,off,asynchronous,1000,32,36.1694,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,696
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,1,64,off,asynchronous,1000,32,38.7784,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,697
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,1,128,off,asynchronous,1000,32,38.228,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,697
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,1,256,off,asynchronous,1000,32,38.0609,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,697
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,8,1,32,off,asynchronous,1000,32,36.1995,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,696
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,8,1,64,off,asynchronous,1000,32,38.9065,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,694
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,8,1,128,off,asynchronous,1000,32,33.8166,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,699
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,8,1,256,off,asynchronous,1000,32,31.8117,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,707
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,2,32,off,asynchronous,1000,32,35.2675,100000,9521651,0,341236,0,104665,1141,1693899,341236,9538789,9180415,805
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,2,64,off,asynchronous,1000,32,33.6923,100000,9379042,0,196331,0,65317,468,1066404,196331,9396928,9182711,778
