Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,1,32,off,asynchronous,1000,32,35.8753,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,425
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,1,64,off,asynchronous,1000,32,37.9166,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,422
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,1,128,off,asynchronous,1000,32,37.8777,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,423
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,1,256,off,asynchronous,1000,32,37.8344,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,428
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,1,32,off,asynchronous,1000,32,35.1928,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,425
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,1,64,off,asynchronous,1000,32,39.4042,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,411
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,1,128,off,asynchronous,1000,32,31.3772,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,428
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,8,1,256,off,asynchronous,1000,32,38.8444,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,420
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,2,32,off,asynchronous,1000,32,24.1145,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,467
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,4,2,64,off,asynchronous,1000,32,25.2866,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,467
