Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,4,1.0,asynchronous,1000,32,25.2629,10000,36,4575373,0,681884,0,71610,10892,1363244,681884,4568446,3893489,660
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,4,1.0,asynchronous,1000,32,14.3188,10000,36,4577215,0,683726,0,71848,10877,1366721,683726,4570037,3893489,715
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,16,1.0,asynchronous,1000,32,25.9624,10000,36,4576514,0,683025,0,71536,10839,1358482,683025,4569326,3893489,655
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,16,1.0,asynchronous,1000,32,14.8763,10000,36,4577400,0,683911,0,71886,10871,1366880,683911,4570475,3893489,706
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,32,1.0,asynchronous,1000,32,26.6215,10000,36,4576993,0,683504,0,71693,10881,1362847,683504,4569825,3893489,655
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,32,1.0,asynchronous,1000,32,14.4116,10000,36,4577740,0,684251,0,71831,10914,1364496,684251,4570839,3893489,713
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,64,1.0,asynchronous,1000,32,26.4203,10000,36,4577725,0,684236,0,71582,10854,1360668,684236,4570579,3893489,658
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,64,1.0,asynchronous,1000,32,14.8887,10000,36,4578240,0,684751,0,71811,10951,1363548,684751,4571250,3893489,711
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,128,1.0,asynchronous,1000,32,24.6106,10000,36,4577959,0,684470,0,71729,10893,1363745,684470,4570741,3893489,662
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,128,1.0,asynchronous,1000,32,14.4574,10000,36,4577698,0,684209,0,71760,10841,1364454,684209,4570340,3893489,720
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,256,1.0,asynchronous,1000,32,25.5036,10000,36,4577062,0,683573,0,71668,10852,1363188,683573,4569913,3893489,659
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,256,1.0,asynchronous,1000,32,14.1833,10000,36,4577023,0,683534,0,71864,10853,1365767,683534,4569942,3893489,716
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,4,1.0,asynchronous,1000,32,10.9141,10000,36,4583176,0,689687,0,72551,11009,1381549,689687,4576751,3893489,744
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,4,1.0,asynchronous,1000,32,32.0294,10000,36,4635798,0,742309,0,76678,11782,1457364,742309,4625655,3893489,877
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,16,1.0,asynchronous,1000,32,10.6979,10000,36,4576710,0,683224,0,72225,10994,1372465,683224,4570532,3893486,745
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,16,1.0,asynchronous,1000,32,28.9134,10000,36,4612654,0,719165,0,75710,11068,1429095,719165,4603063,3893489,825
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,32,1.0,asynchronous,1000,32,10.5701,10000,36,4582224,0,688735,0,72569,11005,1378192,688735,4575618,3893489,753
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,32,1.0,asynchronous,1000,32,30.3617,10000,36,4679881,0,786398,0,78273,12766,1506439,786398,4667469,3893483,814
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,64,1.0,asynchronous,1000,32,10.863,10000,36,4583192,0,689703,0,72778,11218,1383790,689703,4577904,3893489,742
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,64,1.0,asynchronous,1000,32,28.4824,10000,36,4617910,0,724421,0,75018,11294,1422390,724421,4607322,3893489,835
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,128,1.0,asynchronous,1000,32,10.619,10000,36,4572658,0,679176,0,71845,10719,1357139,679176,4565496,3893482,751
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,128,1.0,asynchronous,1000,32,28.4183,10000,36,4652781,0,759292,0,77625,12007,1483588,759292,4642075,3893489,842
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,256,1.0,asynchronous,1000,32,10.5358,10000,36,4573978,0,680492,0,72036,10837,1365173,680492,4567422,3893486,753
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,256,1.0,asynchronous,1000,32,32.7082,10000,36,4656716,0,763234,0,77980,12474,1490507,763234,4648183,3893482,833
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,0,0.75,asynchronous,1000,32,26.1737,10000,36,4576374,0,682885,0,71611,10831,1361172,682885,4569045,3893489,655
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,0,0.75,asynchronous,1000,32,15.3783,10000,36,4577198,0,683709,0,71761,10863,1365385,683709,4570198,3893489,704
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,0,0.50,asynchronous,1000,32,25.888,10000,36,4575414,0,681925,0,71612,10808,1358926,681925,4568124,3893489,656
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,0,0.50,asynchronous,1000,32,14.9966,10000,36,4576222,0,682733,0,71798,10846,1362362,682733,4569060,3893489,716
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,0,0.25,asynchronous,1000,32,25.6695,10000,36,4577429,0,683940,0,71577,10888,1361837,683940,4570226,3893489,661
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,0,0.25,asynchronous,1000,32,15.2681,10000,36,4576910,0,683421,0,71789,10822,1364889,683421,4569734,3893489,713
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,0,0.05,asynchronous,1000,32,25.475,10000,36,4576827,0,683338,0,71522,10889,1362098,683338,4569725,3893489,661
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,0,0.05,asynchronous,1000,32,14.4421,10000,36,4577074,0,683585,0,71807,10850,1362918,683585,4569753,3893489,711
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,0,0.75,asynchronous,1000,32,11.4013,10000,36,4603796,0,710309,0,73429,11672,1404488,710309,4596679,3893487,736
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,0,0.75,asynchronous,1000,32,30.5447,10000,36,4738282,0,844793,0,81777,14245,1594215,844793,4726665,3893489,888
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,0,0.50,asynchronous,1000,32,11.0167,10000,36,4583328,0,689843,0,72467,11053,1377579,689843,4576290,3893485,748
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,0,0.50,asynchronous,1000,32,28.8539,10000,36,4708830,0,815341,0,81467,13037,1563757,815341,4695992,3893489,816
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,0,0.25,asynchronous,1000,32,10.8371,10000,36,4580113,0,686626,0,72342,11044,1369597,686626,4573519,3893487,747
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,0,0.25,asynchronous,1000,32,30.4174,10000,36,4696377,0,802889,0,79196,13269,1529953,802889,4685147,3893488,843
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,0,0.05,asynchronous,1000,32,10.678,10000,36,4577615,0,684126,0,72311,10997,1371585,684126,4571619,3893489,756
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,0,0.05,asynchronous,1000,32,27.921,10000,36,4732715,0,839226,0,81777,14260,1586682,839226,4722068,3893489,808
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,4,1.0,asynchronous,1000,32,25.1433,10000,36,4574448,0,680962,0,71497,10721,1358450,680962,4566996,3893486,661
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,4,1.0,asynchronous,1000,32,14.6427,10000,36,4576902,0,683414,0,71682,10871,1360509,683414,4569650,3893488,715
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,16,1.0,asynchronous,1000,32,25.6818,10000,36,4576928,0,683439,0,71721,10879,1365156,683439,4569759,3893489,658
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,16,1.0,asynchronous,1000,32,14.9171,10000,36,4576666,0,683177,0,71826,10885,1361410,683177,4569681,3893489,705
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,32,1.0,asynchronous,1000,32,25.6989,10000,36,4576995,0,683508,0,71638,10840,1364886,683508,4569812,3893487,661
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,32,1.0,asynchronous,1000,32,14.543,10000,36,4576927,0,683438,0,71853,10928,1368712,683438,4569998,3893489,720
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,64,1.0,asynchronous,1000,32,25.6991,10000,36,4577969,0,684480,0,71683,10836,1358969,684480,4570525,3893489,656
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,64,1.0,asynchronous,1000,32,14.8596,10000,36,4576414,0,682925,0,71704,10806,1362188,682925,4569084,3893489,708
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,128,1.0,asynchronous,1000,32,25.8993,10000,36,4576054,0,682565,0,71622,10845,1361892,682565,4568822,3893489,657
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,128,1.0,asynchronous,1000,32,15.6709,10000,36,4577501,0,684012,0,71869,10795,1363943,684012,4569978,3893489,695
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,256,1.0,asynchronous,1000,32,25.4485,10000,36,4574372,0,680885,0,71437,10747,1358711,680885,4566773,3893487,659
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,256,1.0,asynchronous,1000,32,14.5278,10000,36,4579187,0,685698,0,71933,10938,1367899,685698,4572125,3893489,723
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,4,1.0,asynchronous,1000,32,10.9577,10000,36,4579813,0,686328,0,72464,10794,1365891,686328,4572105,3893485,741
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,4,1.0,asynchronous,1000,32,34.0232,10000,36,4652535,0,759052,0,77402,12150,1477797,759052,4641923,3893483,826
