Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,4,off,asynchronous,1000,32,38.3379,10000,6297524,0,2593126,0,2075289,0,44268962,2593126,6452809,3704398,269
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,8,off,asynchronous,1000,32,38.9045,10000,6441655,0,2744486,0,2146945,0,46359813,2744486,6581880,3697169,266
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,12,off,asynchronous,1000,32,39.4018,10000,6443407,0,2745605,0,2146486,0,46180923,2745605,6584822,3697802,267
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,16,off,asynchronous,1000,32,38.6599,10000,6442982,0,2745364,0,2146810,0,46380701,2745364,6584082,3697618,269
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,4,off,asynchronous,1000,32,22.8715,10000,6297715,0,2593691,0,2075904,0,44460127,2593691,6452327,3704024,284
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,8,off,asynchronous,1000,32,23.4479,10000,6443883,0,2745923,0,2146598,0,46076075,2745923,6585105,3697960,281
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,12,off,asynchronous,1000,32,24.5698,10000,6444560,0,2746130,0,2146550,0,46321968,2746130,6587726,3698430,280
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,16,off,asynchronous,1000,32,23.6483,10000,6445077,0,2746420,0,2146992,0,46061758,2746420,6588315,3698657,282
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,4,off,asynchronous,1000,32,34.317,10000,6388583,0,2684282,0,2071581,11208,44443107,2684282,6529155,3704301,282
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,8,off,asynchronous,1000,32,34.3781,10000,6744146,0,3047148,0,2141019,29155,46882169,3047148,6874019,3696998,283
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,12,off,asynchronous,1000,32,38.3608,10000,7145676,0,3446241,0,2126039,56649,47386365,3446241,7249703,3699435,285
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,16,off,asynchronous,1000,32,35.8809,10000,6731677,0,3033765,0,2138450,33039,46718971,3033765,6853359,3697912,283
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,2,4,off,asynchronous,1000,32,18.4131,10000,6304152,0,2600947,0,2069758,2203,44205327,2600947,6439785,3703205,302
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,2,8,off,asynchronous,1000,32,22.5573,10000,6890703,0,3193515,0,2135436,46269,47359946,3193515,7000373,3697188,300
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,2,12,off,asynchronous,1000,32,20.177,10000,6625706,0,2926731,0,2136327,23018,46623210,2926731,6749622,3698975,301
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,2,16,off,asynchronous,1000,32,20.4602,10000,7112875,0,3413593,0,2131608,57066,47440990,3413593,7224511,3699282,306
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,4,4,off,asynchronous,1000,32,30.2608,10000,6859781,0,3156801,0,2061242,45017,45277954,3156801,6965749,3702980,302
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,4,8,off,asynchronous,1000,32,30.8337,10000,7133114,0,3435066,0,2124618,46792,46789136,3435066,7240845,3698048,298
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,4,12,off,asynchronous,1000,32,31.5918,10000,7049001,0,3350738,0,2124957,48072,46621791,3350738,7156066,3698263,298
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,4,16,off,asynchronous,1000,32,32.7436,10000,7791895,0,4093475,0,2112415,83030,47369067,4093475,7881028,3698420,306
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,4,4,off,asynchronous,1000,32,17.6909,10000,6525171,0,2818667,0,2073166,25640,45270159,2818667,6671278,3706504,319
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,4,8,off,asynchronous,1000,32,18.617,10000,7269136,0,3571529,0,2119542,61014,46959034,3571529,7360569,3697607,322
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,4,12,off,asynchronous,1000,32,20.3503,10000,7131797,0,3432232,0,2131288,55455,47274137,3432232,7257957,3699565,314
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,4,16,off,asynchronous,1000,32,19.2498,10000,7760111,0,4059059,0,2115737,85843,47309937,4059059,7869036,3701052,325
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,1,4,off,asynchronous,1000,32,21.6015,10000,6298037,0,2593315,0,2074188,0,44440298,2593315,6453088,3704722,281
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,1,8,off,asynchronous,1000,32,19.461,10000,6444517,0,2746057,0,2145656,0,46220660,2746057,6586245,3698460,286
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,1,12,off,asynchronous,1000,32,19.696,10000,6444876,0,2746336,0,2145387,0,46226387,2746336,6586816,3698540,286
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,1,16,off,asynchronous,1000,32,20.112,10000,6443014,0,2745528,0,2146138,0,46353086,2745528,6583064,3697486,284
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,1,4,off,asynchronous,1000,32,23.52,10000,6298456,0,2593705,0,2075497,0,44440112,2593705,6454787,3704751,274
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,1,8,off,asynchronous,1000,32,24.3087,10000,6446075,0,2747075,0,2145684,0,46110087,2747075,6588040,3699000,272
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,1,12,off,asynchronous,1000,32,23.8698,10000,6443560,0,2745537,0,2145782,0,46204570,2745537,6584012,3698023,271
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,1,16,off,asynchronous,1000,32,27.764,10000,6443743,0,2745871,0,2147156,0,46267330,2745871,6586194,3697872,268
