Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,stl-multiset,1,off,asynchronous,1000,32,26.2211,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,507
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,stl-multiset,1,off,asynchronous,1000,32,21.5572,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,508
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,stl-multiset,2,off,asynchronous,1000,32,22.2783,10000,3927586,0,34097,0,11740,41,188832,34097,3927529,3893489,526
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,stl-multiset,2,off,asynchronous,1000,32,14.9777,10000,3908434,0,14945,0,5096,14,82914,14945,3908255,3893489,543
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,stl-multiset,4,off,asynchronous,1000,32,20.7107,10000,4089623,0,196134,0,35128,1202,621826,196134,4085403,3893489,541
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,stl-multiset,4,off,asynchronous,1000,32,13.6787,10000,4232750,0,339268,0,45781,3886,852725,339268,4227895,3893482,589
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,stl-multiset,1,off,asynchronous,1000,32,21.2838,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,499
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,stl-multiset,1,off,asynchronous,1000,32,25.0472,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,486
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,64,stl-multiset,1,off,asynchronous,1000,32,25.2772,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,480
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,stl-multiset,2,off,asynchronous,1000,32,12.6189,10000,3948517,0,55057,0,15195,127,253557,55057,3946208,3893460,574
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,stl-multiset,2,off,asynchronous,1000,32,12.9907,10000,3934701,0,41212,0,12192,73,201614,41212,3933298,3893489,547
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,64,stl-multiset,2,off,asynchronous,1000,32,12.2045,10000,3936267,0,42778,0,14713,32,241780,42778,3934774,3893489,555
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,16,stl-multiset,4,off,asynchronous,1000,32,8.71715,10000,4040439,0,146950,0,25050,1116,438308,146950,4036310,3893489,635
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,32,stl-multiset,4,off,asynchronous,1000,32,8.10017,10000,4020071,0,126609,0,27554,396,476914,126609,4015782,3893462,614
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,64,stl-multiset,4,off,asynchronous,1000,32,8.16199,10000,4053301,0,159812,0,25765,1708,456795,159812,4051833,3893489,632
