Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,4,4,1.0,asynchronous,1000,32,18.4851,10000,49,4072344,0,178911,0,34700,1654,577094,178911,4070142,3893433,719
epidemic,./epidemic_sim,15000,8,4,1.0,asynchronous,1000,32,10.6695,10000,49,4072330,0,178897,0,34698,1651,576832,178897,4070122,3893433,735
epidemic,./epidemic_sim,15000,4,16,1.0,asynchronous,1000,32,19.3852,10000,49,4072166,0,178733,0,34691,1647,576853,178733,4069951,3893433,719
epidemic,./epidemic_sim,15000,8,16,1.0,asynchronous,1000,32,10.5666,10000,49,4072311,0,178878,0,34698,1652,576838,178878,4070104,3893433,751
epidemic,./epidemic_sim,15000,4,32,1.0,asynchronous,1000,32,18.8803,10000,49,4072228,0,178795,0,34701,1649,577195,178795,4070007,3893433,718
epidemic,./epidemic_sim,15000,8,32,1.0,asynchronous,1000,32,11.4218,10000,49,4072200,0,178767,0,34697,1652,576996,178767,4069997,3893433,750
epidemic,./epidemic_sim,15000,4,64,1.0,asynchronous,1000,32,19.1464,10000,49,4072343,0,178910,0,34704,1653,577095,178910,4070136,3893433,715
epidemic,./epidemic_sim,15000,8,64,1.0,asynchronous,1000,32,10.5798,10000,49,4072322,0,178889,0,34705,1654,576984,178889,4070129,3893433,755
epidemic,./epidemic_sim,15000,4,128,1.0,asynchronous,1000,32,19.3749,10000,49,4072330,0,178897,0,34702,1652,576985,178897,4070123,3893433,717
epidemic,./epidemic_sim,15000,8,128,1.0,asynchronous,1000,32,10.8519,10000,49,4072152,0,178719,0,34694,1648,576877,178719,4069938,3893433,742
epidemic,./epidemic_sim,15000,4,256,1.0,asynchronous,1000,32,19.3093,10000,49,4072325,0,178892,0,34695,1651,576837,178892,4070120,3893433,714
epidemic,./epidemic_sim,15000,8,256,1.0,asynchronous,1000,32,11.5739,10000,49,4072190,0,178757,0,34695,1648,576883,178757,4069975,3893433,739
epidemic,./epidemic_sim,15000,16,4,1.0,asynchronous,1000,32,7.27656,10000,49,4072310,0,178877,0,34711,1655,577071,178877,4070113,3893433,800
epidemic,./epidemic_sim,15000,32,4,1.0,asynchronous,1000,32,12.4742,10000,49,4074145,0,180712,0,34855,1700,580208,180712,4071879,3893433,827
epidemic,./epidemic_sim,15000,16,16,1.0,asynchronous,1000,32,7.10396,10000,49,4072307,0,178874,0,34700,1650,576926,178874,4070092,3893433,821
epidemic,./epidemic_sim,15000,32,16,1.0,asynchronous,1000,32,12.2736,10000,49,4073272,0,179839,0,34747,1672,578534,179839,4071074,3893433,875
epidemic,./epidemic_sim,15000,64,16,1.0,asynchronous,1000,32,178.728,10000,49,4077916,0,184483,0,35019,1776,584690,184483,4075606,3893433,1254
epidemic,./epidemic_sim,15000,16,32,1.0,asynchronous,1000,32,7.17065,10000,49,4072363,0,178930,0,34707,1654,576993,178930,4070165,3893433,812
epidemic,./epidemic_sim,15000,32,32,1.0,asynchronous,1000,32,13.6156,10000,49,4073360,0,179927,0,34764,1680,577892,179927,4071193,3893433,846
epidemic,./epidemic_sim,15000,64,32,1.0,asynchronous,1000,32,167.977,10000,49,4079180,0,185747,0,35051,1809,585501,185747,4076872,3893433,1162
epidemic,./epidemic_sim,15000,16,64,1.0,asynchronous,1000,32,7.28779,10000,49,4072335,0,178902,0,34704,1654,577116,178902,4070137,3893433,808
epidemic,./epidemic_sim,15000,32,64,1.0,asynchronous,1000,32,13.7154,10000,49,4073311,0,179878,0,34767,1678,578677,179878,4071100,3893433,848
epidemic,./epidemic_sim,15000,16,128,1.0,asynchronous,1000,32,7.14392,10000,49,4072211,0,178778,0,34697,1653,576758,178778,4070010,3893433,818
epidemic,./epidemic_sim,15000,32,128,1.0,asynchronous,1000,32,11.7159,10000,49,4073093,0,179660,0,34729,1667,577745,179660,4070879,3893433,862
epidemic,./epidemic_sim,15000,16,256,1.0,asynchronous,1000,32,7.36066,10000,49,4072178,0,178745,0,34693,1649,576818,178745,4069957,3893433,818
epidemic,./epidemic_sim,15000,32,256,1.0,asynchronous,1000,32,13.4289,10000,49,4073050,0,179617,0,34712,1673,577277,179617,4070826,3893433,844
epidemic,./epidemic_sim,15000,4,0,0.75,asynchronous,1000,32,19.4628,10000,49,4072370,0,178937,0,34701,1654,576927,178937,4070172,3893433,712
epidemic,./epidemic_sim,15000,8,0,0.75,asynchronous,1000,32,10.4996,10000,49,4072311,0,178878,0,34701,1648,576954,178878,4070104,3893433,749
epidemic,./epidemic_sim,15000,4,0,0.50,asynchronous,1000,32,18.7528,10000,49,4072342,0,178909,0,34705,1654,577132,178909,4070149,3893433,712
epidemic,./epidemic_sim,15000,8,0,0.50,asynchronous,1000,32,10.7463,10000,49,4072275,0,178842,0,34698,1649,576862,178842,4070068,3893433,732
epidemic,./epidemic_sim,15000,4,0,0.25,asynchronous,1000,32,18.4563,10000,49,4072320,0,178887,0,34695,1648,576888,178887,4070107,3893433,728
epidemic,./epidemic_sim,15000,8,0,0.25,asynchronous,1000,32,10.5518,10000,49,4072292,0,178859,0,34704,1652,577090,178859,4070096,3893433,750
epidemic,./epidemic_sim,15000,4,0,0.05,asynchronous,1000,32,19.2196,10000,49,4072315,0,178882,0,34696,1649,576869,178882,4070108,3893433,725
