Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,4,1,4,off,asynchronous,1000,32,36.5932,10000,6320434,0,2596467,0,2053667,0,43579967,2596467,6502934,3723967,261
epidemic,./epidemic_sim,15000,4,1,8,off,asynchronous,1000,32,37.8767,10000,6475805,0,2762328,0,2137725,0,45496325,2762328,6629831,3713477,257
epidemic,./epidemic_sim,15000,4,1,12,off,asynchronous,1000,32,37.4906,10000,6475052,0,2762197,0,2137578,0,45273361,2762197,6628653,3712855,260
epidemic,./epidemic_sim,15000,4,1,16,off,asynchronous,1000,32,37.155,10000,6476574,0,2762720,0,2135740,0,45455811,2762720,6630122,3713854,259
epidemic,./epidemic_sim,15000,8,1,4,off,asynchronous,1000,32,23.9224,10000,6316909,0,2594476,0,2053732,0,43225765,2594476,6493680,3722433,270
epidemic,./epidemic_sim,15000,8,1,8,off,asynchronous,1000,32,23.1366,10000,6474477,0,2759976,0,2133482,0,45629905,2759976,6624014,3714501,273
epidemic,./epidemic_sim,15000,8,1,12,off,asynchronous,1000,32,23.5458,10000,6472511,0,2759168,0,2134868,0,45346493,2759168,6622307,3713343,273
epidemic,./epidemic_sim,15000,8,1,16,off,asynchronous,1000,32,23.4716,10000,6473222,0,2759386,0,2133932,0,45436721,2759386,6622496,3713836,273
epidemic,./epidemic_sim,15000,4,2,4,off,asynchronous,1000,32,32.2429,10000,6320406,0,2596168,0,2054221,25,43446626,2596168,6514943,3724238,271
epidemic,./epidemic_sim,15000,4,2,8,off,asynchronous,1000,32,32.6547,10000,6479307,0,2765217,0,2137219,85,45351840,2765217,6647941,3714090,278
epidemic,./epidemic_sim,15000,4,2,12,off,asynchronous,1000,32,35.2674,10000,6480915,0,2765772,0,2136845,2,45465142,2765772,6650895,3715143,267
epidemic,./epidemic_sim,15000,4,2,16,off,asynchronous,1000,32,34.4498,10000,6483642,0,2767141,0,2135573,17,45168121,2767141,6654879,3716501,268
epidemic,./epidemic_sim,15000,8,2,4,off,asynchronous,1000,32,19.1119,10000,6319950,0,2597094,0,2056830,2,43503473,2597094,6502359,3722856,289
epidemic,./epidemic_sim,15000,8,2,8,off,asynchronous,1000,32,20.8097,10000,6476768,0,2763993,0,2137877,207,45525935,2763993,6630004,3712775,300
epidemic,./epidemic_sim,15000,8,2,12,off,asynchronous,1000,32,20.0954,10000,6475036,0,2761922,0,2136792,0,45506324,2761922,6628302,3713114,286
epidemic,./epidemic_sim,15000,8,2,16,off,asynchronous,1000,32,20.4176,10000,6475561,0,2761787,0,2136025,0,45408645,2761787,6630670,3713774,281
epidemic,./epidemic_sim,15000,4,4,4,off,asynchronous,1000,32,28.7506,10000,6337331,0,2611095,0,2053803,583,43370732,2611095,6545967,3726236,304
epidemic,./epidemic_sim,15000,4,4,8,off,asynchronous,1000,32,29.3516,10000,6484729,0,2769033,0,2137013,179,45626985,2769033,6665997,3715696,289
epidemic,./epidemic_sim,15000,4,4,12,off,asynchronous,1000,32,27.3497,10000,6487912,0,2771299,0,2136454,215,45530388,2771299,6670012,3716613,289
epidemic,./epidemic_sim,15000,4,4,16,off,asynchronous,1000,32,29.8808,10000,6486901,0,2770319,0,2136613,161,45563986,2770319,6669344,3716582,287
epidemic,./epidemic_sim,15000,8,4,4,off,asynchronous,1000,32,17.5164,10000,6336033,0,2612327,0,2054397,526,43498525,2612327,6529928,3723706,328
epidemic,./epidemic_sim,15000,8,4,8,off,asynchronous,1000,32,17.1574,10000,6482167,0,2766334,0,2135327,33,45677509,2766334,6651523,3715833,300
epidemic,./epidemic_sim,15000,8,4,12,off,asynchronous,1000,32,18.4204,10000,6481841,0,2766450,0,2136099,71,45630784,2766450,6651522,3715391,298
epidemic,./epidemic_sim,15000,8,4,16,off,asynchronous,1000,32,18.6451,10000,6490659,0,2774519,0,2136007,320,45339493,2774519,6661379,3716140,324
epidemic,./epidemic_sim,15000,16,1,4,off,asynchronous,1000,32,21.5052,10000,6316068,0,2592737,0,2053334,0,43342226,2592737,6495814,3723331,271
epidemic,./epidemic_sim,15000,16,1,8,off,asynchronous,1000,32,21.2763,10000,6472315,0,2758424,0,2133835,0,45167193,2758424,6623217,3713891,271
epidemic,./epidemic_sim,15000,16,1,12,off,asynchronous,1000,32,21.7925,10000,6475012,0,2760236,0,2133992,0,45346323,2760236,6626607,3714776,269
epidemic,./epidemic_sim,15000,16,1,16,off,asynchronous,1000,32,20.3087,10000,6473980,0,2759028,0,2132177,0,45608436,2759028,6626324,3714952,275
epidemic,./epidemic_sim,15000,32,1,4,off,asynchronous,1000,32,25.3473,10000,6316250,0,2593294,0,2053307,0,43377286,2593294,6495648,3722956,263
epidemic,./epidemic_sim,15000,32,1,8,off,asynchronous,1000,32,23.6579,10000,6473798,0,2759082,0,2133225,0,45396877,2759082,6626922,3714716,263
epidemic,./epidemic_sim,15000,32,1,12,off,asynchronous,1000,32,23.5432,10000,6473661,0,2758711,0,2133067,0,45218483,2758711,6628196,3714950,263
epidemic,./epidemic_sim,15000,32,1,16,off,asynchronous,1000,32,27.6448,10000,6471714,0,2758284,0,2134710,0,45543280,2758284,6624978,3713430,257
epidemic,./epidemic_sim,15000,64,1,4,off,asynchronous,1000,32,22.3754,10000,6315521,0,2593691,0,2055127,0,43429373,2593691,6492572,3721830,262
epidemic,./epidemic_sim,15000,64,1,8,off,asynchronous,1000,32,25.4438,10000,6472000,0,2757991,0,2133856,1,45255700,2757991,6624719,3714009,258
epidemic,./epidemic_sim,15000,64,1,12,off,asynchronous,1000,32,25.4847,10000,6472910,0,2758362,0,2134441,0,45419135,2758362,6625929,3714548,257
epidemic,./epidemic_sim,15000,64,1,16,off,asynchronous,1000,32,22.6637,10000,6471671,0,2757964,0,2134617,0,45629529,2757964,6623548,3713707,262
epidemic,./epidemic_sim,15000,16,2,4,off,asynchronous,1000,32,12.6268,10000,6317089,0,2594161,0,2054190,10,43435003,2594161,6494312,3722928,313
