Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,4,stl-multiset,1,off,asynchronous,1000,32,25.729,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,488
epidemic,./epidemic_sim,15000,8,stl-multiset,1,off,asynchronous,1000,32,21.1471,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,498
epidemic,./epidemic_sim,15000,4,stl-multiset,2,off,asynchronous,1000,32,20.1675,10000,3893601,0,168,0,48,3,719,168,3893607,3893433,532
epidemic,./epidemic_sim,15000,8,stl-multiset,2,off,asynchronous,1000,32,13.398,10000,3894220,0,787,0,84,22,1652,787,3894234,3893433,578
epidemic,./epidemic_sim,15000,4,stl-multiset,4,off,asynchronous,1000,32,16.3646,10000,3894658,0,1225,0,103,26,3111,1225,3894640,3893433,557
epidemic,./epidemic_sim,15000,8,stl-multiset,4,off,asynchronous,1000,32,10.177,10000,3898951,0,5518,0,254,156,7120,5518,3898895,3893433,661
epidemic,./epidemic_sim,15000,16,stl-multiset,1,off,asynchronous,1000,32,22.6309,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,480
epidemic,./epidemic_sim,15000,32,stl-multiset,1,off,asynchronous,1000,32,24.9522,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,480
epidemic,./epidemic_sim,15000,64,stl-multiset,1,off,asynchronous,1000,32,24.1271,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,473
epidemic,./epidemic_sim,15000,16,stl-multiset,2,off,asynchronous,1000,32,10.748,10000,3900353,0,6920,0,267,260,8942,6920,3900475,3893433,677
epidemic,./epidemic_sim,15000,32,stl-multiset,2,off,asynchronous,1000,32,12.7267,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,525
epidemic,./epidemic_sim,15000,64,stl-multiset,2,off,asynchronous,1000,32,12.3415,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,511
epidemic,./epidemic_sim,15000,16,stl-multiset,4,off,asynchronous,1000,32,8.0322,10000,3893451,0,18,0,9,0,117,18,3893452,3893433,593
