Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,4,4,1.0,asynchronous,1000,32,34.271,10000,18,8136478,0,2291489,0,652302,183450,16372679,2291489,8383195,5844989,346
pcs,./pcs_sim,500,8,4,1.0,asynchronous,1000,32,20.2323,10000,18,8162321,0,2317332,0,656900,187360,16621139,2317332,8416367,5844989,367
pcs,./pcs_sim,500,4,16,1.0,asynchronous,1000,32,33.496,10000,18,8158203,0,2313214,0,655961,186848,16500133,2313214,8419097,5844989,349
pcs,./pcs_sim,500,8,16,1.0,asynchronous,1000,32,20.008,10000,18,8178883,0,2333894,0,658383,189354,16624805,2333894,8433656,5844989,371
pcs,./pcs_sim,500,4,32,1.0,asynchronous,1000,32,34.5317,10000,18,8189647,0,2344658,0,659478,190026,16709233,2344658,8442569,5844989,355
pcs,./pcs_sim,500,8,32,1.0,asynchronous,1000,32,20.5476,10000,18,8186633,0,2341644,0,660767,191661,16773107,2341644,8447347,5844989,362
pcs,./pcs_sim,500,4,64,1.0,asynchronous,1000,32,34.1941,10000,18,8176906,0,2331917,0,658606,189547,16697057,2331917,8433447,5844989,352
pcs,./pcs_sim,500,8,64,1.0,asynchronous,1000,32,20.5036,10000,18,8202527,0,2357538,0,662433,192340,16859107,2357538,8456462,5844989,365
pcs,./pcs_sim,500,4,128,1.0,asynchronous,1000,32,34.5348,10000,18,8151803,0,2306814,0,654272,185691,16471850,2306814,8404976,5844989,344
pcs,./pcs_sim,500,8,128,1.0,asynchronous,1000,32,20.9675,10000,18,8164076,0,2319087,0,656493,187466,16581779,2319087,8415406,5844989,361
pcs,./pcs_sim,500,4,256,1.0,asynchronous,1000,32,34.2301,10000,18,8158872,0,2313883,0,656158,187189,16602153,2313883,8411594,5844989,356
pcs,./pcs_sim,500,8,256,1.0,asynchronous,1000,32,20.3474,10000,18,8186044,0,2341055,0,659850,189741,16710627,2341055,8440469,5844989,374
pcs,./pcs_sim,500,16,4,1.0,asynchronous,1000,32,19.8511,10000,18,8154946,0,2309957,0,655886,185627,16477305,2309957,8400575,5844989,387
pcs,./pcs_sim,500,32,4,1.0,asynchronous,1000,32,58.0294,10000,18,8192459,0,2347470,0,660816,190459,16785085,2347470,8445675,5844989,474
pcs,./pcs_sim,500,16,16,1.0,asynchronous,1000,32,20.1488,10000,18,8163254,0,2318265,0,655820,186525,16640571,2318265,8409911,5844989,389
pcs,./pcs_sim,500,32,16,1.0,asynchronous,1000,32,58.1663,10000,18,8201077,0,2356088,0,662439,191843,16779952,2356088,8453642,5844989,482
pcs,./pcs_sim,500,16,32,1.0,asynchronous,1000,32,20.3796,10000,18,8148289,0,2303300,0,654182,184988,16475666,2303300,8392342,5844989,399
pcs,./pcs_sim,500,32,32,1.0,asynchronous,1000,32,61.5279,10000,18,8200418,0,2355429,0,661850,191553,16844742,2355429,8453919,5844989,547
pcs,./pcs_sim,500,16,64,1.0,asynchronous,1000,32,20.3116,10000,18,8208041,0,2363052,0,663877,193816,16905360,2363052,8474624,5844989,404
