Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,4,1,32,off,asynchronous,1000,32,21.0663,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,198
pcs,./pcs_sim,500,4,1,64,off,asynchronous,1000,32,21.7523,10000,5844992,0,3,0,2,1,49,3,5844992,5844989,197
pcs,./pcs_sim,500,4,1,128,off,asynchronous,1000,32,22.4387,10000,5845252,0,263,0,120,53,3168,263,5845252,5844989,194
pcs,./pcs_sim,500,4,1,256,off,asynchronous,1000,32,22.003,10000,5845115,0,126,0,81,33,1879,126,5845115,5844989,201
pcs,./pcs_sim,500,8,1,32,off,asynchronous,1000,32,22.7653,10000,5845314,0,325,0,125,23,2488,325,5845314,5844989,195
pcs,./pcs_sim,500,8,1,64,off,asynchronous,1000,32,21.1506,10000,5845013,0,24,0,18,6,465,24,5845013,5844989,202
pcs,./pcs_sim,500,8,1,128,off,asynchronous,1000,32,18.5121,10000,5846294,0,1305,0,591,42,9813,1305,5846304,5844989,205
pcs,./pcs_sim,500,8,1,256,off,asynchronous,1000,32,19.3671,10000,5846242,0,1253,0,828,195,17554,1253,5846243,5844989,203
pcs,./pcs_sim,500,4,2,32,off,asynchronous,1000,32,13.9628,10000,5869060,0,24071,0,9370,2550,212534,24071,5875828,5844989,233
pcs,./pcs_sim,500,4,2,64,off,asynchronous,1000,32,14.6443,10000,5894839,0,49850,0,12772,5158,325904,49850,5896756,5844989,229
pcs,./pcs_sim,500,4,2,128,off,asynchronous,1000,32,15.4265,10000,5903939,0,58950,0,15021,6135,397622,58950,5906470,5844989,227
pcs,./pcs_sim,500,4,2,256,off,asynchronous,1000,32,14.2902,10000,5892249,0,47260,0,14005,4329,326581,47260,5900123,5844989,230
pcs,./pcs_sim,500,8,2,32,off,asynchronous,1000,32,10.6073,10000,5851159,0,6170,0,3610,100,60646,6170,5851977,5844989,229
pcs,./pcs_sim,500,8,2,64,off,asynchronous,1000,32,10.1367,10000,5848899,0,3910,0,2333,302,41448,3910,5849467,5844989,238
pcs,./pcs_sim,500,8,2,128,off,asynchronous,1000,32,10.7437,10000,5864237,0,19248,0,6374,1260,139885,19248,5866232,5844989,240
pcs,./pcs_sim,500,8,2,256,off,asynchronous,1000,32,10.8544,10000,5882776,0,37787,0,10275,2748,239777,37787,5883068,5844989,241
pcs,./pcs_sim,500,4,4,32,off,asynchronous,1000,32,11.7726,10000,5975960,0,130971,0,27420,12516,778297,130971,5987073,5844989,251
pcs,./pcs_sim,500,4,4,64,off,asynchronous,1000,32,10.9511,10000,5953078,0,108089,0,26739,12196,733933,108089,5972903,5844989,262
pcs,./pcs_sim,500,4,4,128,off,asynchronous,1000,32,10.8068,10000,5928035,0,83046,0,20778,8946,568808,83046,5936116,5844989,257
pcs,./pcs_sim,500,4,4,256,off,asynchronous,1000,32,11.1337,10000,5955748,0,110759,0,25521,10134,679944,110759,5964182,5844989,263
pcs,./pcs_sim,500,8,4,32,off,asynchronous,1000,32,7.81016,10000,5872287,0,27298,0,10737,2877,240549,27298,5881978,5844989,260
pcs,./pcs_sim,500,8,4,64,off,asynchronous,1000,32,7.33779,10000,6004539,0,159550,0,33031,15831,952586,159550,6015657,5844989,303
pcs,./pcs_sim,500,8,4,128,off,asynchronous,1000,32,7.74154,10000,6025588,0,180599,0,35559,19802,1069956,180599,6046398,5844989,292
pcs,./pcs_sim,500,8,4,256,off,asynchronous,1000,32,7.97415,10000,6012119,0,167130,0,40976,18206,1114088,167130,6039450,5844989,281
pcs,./pcs_sim,500,16,1,32,off,asynchronous,1000,32,24.6551,10000,5845037,0,48,0,32,11,663,48,5845037,5844989,191
pcs,./pcs_sim,500,16,1,64,off,asynchronous,1000,32,24.1333,10000,5845582,0,593,0,419,32,7453,593,5845584,5844989,197
pcs,./pcs_sim,500,16,1,128,off,asynchronous,1000,32,22.7619,10000,5856228,0,11239,0,4536,427,80631,11239,5856333,5844989,200
pcs,./pcs_sim,500,16,1,256,off,asynchronous,1000,32,24.7377,10000,6581369,0,736360,0,193589,64331,4921663,736360,6664786,5845009,289
pcs,./pcs_sim,500,32,1,32,off,asynchronous,1000,32,25.7763,10000,5845249,0,260,0,202,33,3717,260,5845249,5844989,190
pcs,./pcs_sim,500,32,1,64,off,asynchronous,1000,32,22.9551,10000,5846742,0,1753,0,1233,275,24576,1753,5846759,5844989,196
pcs,./pcs_sim,500,32,1,128,off,asynchronous,1000,32,26.543,10000,6514886,0,669897,0,188280,51122,4431316,669897,6565652,5844989,264
pcs,./pcs_sim,500,32,1,256,off,asynchronous,1000,32,35.0752,10000,7641816,0,1796827,0,530774,148670,12993454,1796827,7865117,5844989,311
pcs,./pcs_sim,500,64,1,32,off,asynchronous,1000,32,25.9333,10000,5847376,0,2387,0,1564,364,30966,2387,5847392,5844989,191
pcs,./pcs_sim,500,64,1,64,off,asynchronous,1000,32,29.8248,10000,6584953,0,739964,0,198192,60721,4892614,739964,6652298,5844989,271
pcs,./pcs_sim,500,64,1,128,off,asynchronous,1000,32,34.6151,10000,7732843,0,1887854,0,551821,151037,13566723,1887854,7934028,5844989,303
pcs,./pcs_sim,500,16,2,32,off,asynchronous,1000,32,10.8913,10000,5845962,0,973,0,804,62,13701,973,5846451,5844989,224
pcs,./pcs_sim,500,16,2,64,off,asynchronous,1000,32,10.6659,10000,5845097,0,108,0,95,21,1899,108,5845119,5844989,227
pcs,./pcs_sim,500,16,2,128,off,asynchronous,1000,32,10.0967,10000,5856284,0,11295,0,4823,717,87989,11295,5858962,5844989,234
pcs,./pcs_sim,500,16,2,256,off,asynchronous,1000,32,10.2847,10000,5976427,0,131438,0,48008,16347,1167013,131438,6038392,5844989,260
pcs,./pcs_sim,500,32,2,32,off,asynchronous,1000,32,10.7212,10000,5852721,0,7732,0,3024,477,55237,7732,5853105,5844989,216
pcs,./pcs_sim,500,32,2,64,off,asynchronous,1000,32,10.9106,10000,5922128,0,77139,0,14474,4574,327664,77139,5924152,5844989,224
