Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,4,1,4,off,asynchronous,1000,32,26.3477,10000,6945449,0,1100460,0,596850,22232,11326814,1100460,7062637,5844989,239
pcs,./pcs_sim,500,4,1,8,off,asynchronous,1000,32,31.2676,10000,7996054,0,2151065,0,668683,37691,13694513,2151065,8199722,5844989,264
pcs,./pcs_sim,500,4,1,12,off,asynchronous,1000,32,33.0857,10000,8421060,0,2576071,0,645398,38458,13425784,2576071,8652003,5844989,279
pcs,./pcs_sim,500,4,1,16,off,asynchronous,1000,32,32.2498,10000,8585243,0,2740254,0,629497,35869,13181130,2740254,8831748,5844989,280
pcs,./pcs_sim,500,8,1,4,off,asynchronous,1000,32,18.918,10000,6945594,0,1100605,0,596666,22562,11371204,1100605,7062294,5844989,255
pcs,./pcs_sim,500,8,1,8,off,asynchronous,1000,32,21.0198,10000,7996446,0,2151457,0,669004,37790,13647649,2151457,8197883,5844989,285
pcs,./pcs_sim,500,8,1,12,off,asynchronous,1000,32,22.2798,10000,8430412,0,2585423,0,647395,38665,13430125,2585423,8660958,5844989,289
pcs,./pcs_sim,500,8,1,16,off,asynchronous,1000,32,22.9877,10000,8588905,0,2743916,0,629597,36174,13168746,2743916,8834519,5844989,298
pcs,./pcs_sim,500,4,2,4,off,asynchronous,1000,32,24.7929,10000,7065530,0,1220541,0,608166,36289,11948199,1220541,7189400,5844989,254
pcs,./pcs_sim,500,4,2,8,off,asynchronous,1000,32,27.0192,10000,8001662,0,2156673,0,671075,38052,13729281,2156673,8204413,5844989,278
pcs,./pcs_sim,500,4,2,12,off,asynchronous,1000,32,28.9103,10000,8436318,0,2591329,0,649981,39137,13550113,2591329,8667222,5844989,286
pcs,./pcs_sim,500,4,2,16,off,asynchronous,1000,32,28.567,10000,8613228,0,2768239,0,636380,38658,13419412,2768239,8864453,5844989,291
pcs,./pcs_sim,500,8,2,4,off,asynchronous,1000,32,15.4889,10000,6976874,0,1131885,0,606182,24408,11596902,1131885,7094946,5844989,267
pcs,./pcs_sim,500,8,2,8,off,asynchronous,1000,32,19.6272,10000,8042904,0,2197915,0,680322,42556,14051489,2197915,8253844,5844989,289
pcs,./pcs_sim,500,8,2,12,off,asynchronous,1000,32,18.7222,10000,8464290,0,2619301,0,656487,42618,13727677,2619301,8696250,5844989,305
pcs,./pcs_sim,500,8,2,16,off,asynchronous,1000,32,18.9637,10000,8596607,0,2751618,0,632854,36944,13255338,2751618,8846915,5844989,309
pcs,./pcs_sim,500,4,4,4,off,asynchronous,1000,32,19.949,10000,7018551,0,1173562,0,611799,28587,11883322,1173562,7150107,5844989,264
pcs,./pcs_sim,500,4,4,8,off,asynchronous,1000,32,25.1112,10000,8072618,0,2227629,0,681547,46442,14230543,2227629,8294936,5844989,286
pcs,./pcs_sim,500,4,4,12,off,asynchronous,1000,32,25.2744,10000,8483279,0,2638290,0,659472,45068,13842871,2638290,8724656,5844989,293
pcs,./pcs_sim,500,4,4,16,off,asynchronous,1000,32,25.0699,10000,8641812,0,2796823,0,642822,42971,13625541,2796823,8907315,5844989,302
pcs,./pcs_sim,500,8,4,4,off,asynchronous,1000,32,13.974,10000,7025718,0,1180729,0,612398,28867,11951706,1180729,7149484,5844989,282
pcs,./pcs_sim,500,8,4,8,off,asynchronous,1000,32,17.4178,10000,8107122,0,2262133,0,688924,48507,14441684,2262133,8316033,5844989,304
pcs,./pcs_sim,500,8,4,12,off,asynchronous,1000,32,18.8022,10000,8481139,0,2636150,0,657855,44257,13818110,2636150,8716501,5844989,308
pcs,./pcs_sim,500,8,4,16,off,asynchronous,1000,32,17.2789,10000,8670789,0,2825800,0,646749,46525,13740557,2825800,8926207,5844989,316
pcs,./pcs_sim,500,16,1,4,off,asynchronous,1000,32,18.3774,10000,6944863,0,1099874,0,595719,22529,11352185,1099874,7061266,5844989,250
pcs,./pcs_sim,500,16,1,8,off,asynchronous,1000,32,20.747,10000,7995934,0,2150945,0,668555,37961,13660359,2150945,8196635,5844989,278
pcs,./pcs_sim,500,16,1,12,off,asynchronous,1000,32,20.4881,10000,8431001,0,2586012,0,647639,38627,13453095,2586012,8662786,5844989,288
pcs,./pcs_sim,500,16,1,16,off,asynchronous,1000,32,20.5615,10000,8589404,0,2744415,0,628734,36332,13148424,2744415,8834973,5844989,293
pcs,./pcs_sim,500,32,1,4,off,asynchronous,1000,32,19.7537,10000,6949894,0,1104905,0,598751,22631,11399357,1104905,7066441,5844989,242
pcs,./pcs_sim,500,32,1,8,off,asynchronous,1000,32,21.7605,10000,7995618,0,2150629,0,667585,37571,13682319,2150629,8195869,5844989,271
pcs,./pcs_sim,500,32,1,12,off,asynchronous,1000,32,21.6982,10000,8425134,0,2580145,0,645025,38960,13377240,2580145,8657175,5844989,284
pcs,./pcs_sim,500,32,1,16,off,asynchronous,1000,32,22.1519,10000,8589479,0,2744490,0,628898,36119,13273089,2744490,8834574,5844989,291
pcs,./pcs_sim,500,64,1,4,off,asynchronous,1000,32,19.1204,10000,6943324,0,1098335,0,594950,22463,11341752,1098335,7059874,5844989,242
pcs,./pcs_sim,500,64,1,8,off,asynchronous,1000,32,21.039,10000,7999597,0,2154608,0,670040,37679,13799550,2154608,8201214,5844989,272
pcs,./pcs_sim,500,64,1,12,off,asynchronous,1000,32,22.5128,10000,8427597,0,2582608,0,646446,38454,13452737,2582608,8658679,5844989,277
pcs,./pcs_sim,500,64,1,16,off,asynchronous,1000,32,23.903,10000,8587118,0,2742129,0,629592,36510,13149600,2742129,8833919,5844989,281
pcs,./pcs_sim,500,16,2,4,off,asynchronous,1000,32,12.8529,10000,6971395,0,1126406,0,607951,23423,11698438,1126406,7091892,5844989,281
pcs,./pcs_sim,500,16,2,8,off,asynchronous,1000,32,15.66,10000,8023084,0,2178095,0,676664,39463,13864106,2178095,8225516,5844989,292
pcs,./pcs_sim,500,16,2,12,off,asynchronous,1000,32,16.26,10000,8462591,0,2617602,0,656415,41907,13617474,2617602,8693182,5844989,302
pcs,./pcs_sim,500,16,2,16,off,asynchronous,1000,32,15.513,10000,8615923,0,2770934,0,638134,38254,13457034,2770934,8861626,5844989,314
pcs,./pcs_sim,500,32,2,4,off,asynchronous,1000,32,10.7749,10000,6975058,0,1130069,0,608202,23677,11683873,1130069,7092438,5844989,281
pcs,./pcs_sim,500,32,2,8,off,asynchronous,1000,32,13.659,10000,8035842,0,2190853,0,676662,40987,13988565,2190853,8237547,5844989,297
pcs,./pcs_sim,500,32,2,12,off,asynchronous,1000,32,14.4105,10000,8448669,0,2603680,0,653626,40787,13646896,2603680,8681809,5844989,303
pcs,./pcs_sim,500,32,2,16,off,asynchronous,1000,32,13.5506,10000,8603410,0,2758421,0,635311,37394,13355396,2758421,8848561,5844989,311
pcs,./pcs_sim,500,64,2,4,off,asynchronous,1000,32,12.2584,10000,6988547,0,1143558,0,611136,25375,11751703,1143558,7111014,5844989,266
pcs,./pcs_sim,500,64,2,8,off,asynchronous,1000,32,13.0064,10000,8023766,0,2178777,0,676803,39741,13974784,2178777,8226801,5844989,297
pcs,./pcs_sim,500,64,2,12,off,asynchronous,1000,32,13.7031,10000,8460043,0,2615054,0,655316,41147,13685240,2615054,8695399,5844989,303
pcs,./pcs_sim,500,64,2,16,off,asynchronous,1000,32,14.641,10000,8622047,0,2777058,0,638961,39844,13486579,2777058,8869061,5844989,304
pcs,./pcs_sim,500,16,4,4,off,asynchronous,1000,32,13.6755,10000,7023604,0,1178615,0,615355,29452,11952574,1178615,7155156,5844989,273
pcs,./pcs_sim,500,16,4,8,off,asynchronous,1000,32,16.4108,10000,8042857,0,2197868,0,679262,41651,13976191,2197868,8247652,5844989,295
pcs,./pcs_sim,500,16,4,12,off,asynchronous,1000,32,15.4209,10000,8444992,0,2600003,0,653464,40392,13505535,2600003,8684193,5844989,306
pcs,./pcs_sim,500,16,4,16,off,asynchronous,1000,32,15.5354,10000,8603043,0,2758054,0,634579,37464,13318711,2758054,8849949,5844989,311
pcs,./pcs_sim,500,32,4,4,off,asynchronous,1000,32,9.89279,10000,6995122,0,1150133,0,607031,26542,11658102,1150133,7112683,5844989,287
pcs,./pcs_sim,500,32,4,8,off,asynchronous,1000,32,11.558,10000,8010643,0,2165654,0,673184,38650,13795718,2165654,8215274,5844989,299
pcs,./pcs_sim,500,32,4,12,off,asynchronous,1000,32,12.6984,10000,8456434,0,2611445,0,653723,42089,13622487,2611445,8693747,5844989,312
pcs,./pcs_sim,500,32,4,16,off,asynchronous,1000,32,11.9499,10000,8601978,0,2756989,0,635051,36887,13249028,2756989,8851527,5844989,326
