Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,4,stl-multiset,1,off,asynchronous,1000,32,28.8349,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,192
pcs,./pcs_sim,500,8,stl-multiset,1,off,asynchronous,1000,32,27.1207,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,194
pcs,./pcs_sim,500,4,stl-multiset,2,off,asynchronous,1000,32,16.9264,10000,5872433,0,27444,0,7637,2295,172758,27444,5873257,5844989,217
pcs,./pcs_sim,500,8,stl-multiset,2,off,asynchronous,1000,32,15.8674,10000,5909260,0,64271,0,14837,5688,390394,64271,5910340,5844989,223
pcs,./pcs_sim,500,4,stl-multiset,4,off,asynchronous,1000,32,11.8947,10000,6019264,0,174275,0,31332,17741,952696,174275,6042893,5844989,261
pcs,./pcs_sim,500,8,stl-multiset,4,off,asynchronous,1000,32,8.62123,10000,6047237,0,202248,0,33848,22111,1129023,202248,6083378,5844989,277
pcs,./pcs_sim,500,16,stl-multiset,1,off,asynchronous,1000,32,34.8061,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,187
pcs,./pcs_sim,500,32,stl-multiset,1,off,asynchronous,1000,32,39.8736,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,183
pcs,./pcs_sim,500,64,stl-multiset,1,off,asynchronous,1000,32,40.2009,10000,5845005,0,16,0,11,1,167,16,5845005,5844989,183
pcs,./pcs_sim,500,16,stl-multiset,2,off,asynchronous,1000,32,15.7929,10000,5852804,0,7815,0,3534,620,71853,7815,5852951,5844989,210
pcs,./pcs_sim,500,32,stl-multiset,2,off,asynchronous,1000,32,15.5264,10000,5845891,0,902,0,625,35,10809,902,5845929,5844989,209
pcs,./pcs_sim,500,64,stl-multiset,2,off,asynchronous,1000,32,14.7233,10000,5871780,0,26791,0,9578,2344,208106,26791,5878648,5844989,209
pcs,./pcs_sim,500,16,stl-multiset,4,off,asynchronous,1000,32,8.39968,10000,6149047,0,304058,0,41940,32075,1530436,304058,6177754,5844989,268
pcs,./pcs_sim,500,32,stl-multiset,4,off,asynchronous,1000,32,8.24087,10000,6071217,0,226228,0,39406,25509,1290853,226228,6106208,5844989,252
pcs,./pcs_sim,500,64,stl-multiset,4,off,asynchronous,1000,32,7.77129,10000,5918764,0,73775,0,20312,6956,504079,73775,5925980,5844989,248
pcs,./pcs_sim,500,16,stl-multiset,8,off,asynchronous,1000,32,5.61118,10000,5954774,0,109785,0,31147,9444,740274,109785,5981004,5844989,310
pcs,./pcs_sim,500,32,stl-multiset,8,off,asynchronous,1000,32,5.40367,10000,6034088,0,189099,0,40276,17591,1087308,189099,6056275,5844989,326
pcs,./pcs_sim,500,64,stl-multiset,8,off,asynchronous,1000,32,4.71877,10000,5881979,0,36990,0,13489,2736,273638,36990,5886426,5844989,296
pcs,./pcs_sim,500,16,stl-multiset,16,off,asynchronous,1000,32,4.92756,10000,6075616,0,230627,0,68276,19046,1539055,230627,6148636,5844989,375
pcs,./pcs_sim,500,32,stl-multiset,16,off,asynchronous,1000,32,4.44956,10000,5909677,0,64688,0,32493,2965,590877,64688,5914456,5844989,361
pcs,./pcs_sim,500,64,stl-multiset,16,off,asynchronous,1000,32,4.74695,10000,5896037,0,51048,0,23792,4548,463944,51048,5916085,5844989,298
pcs,./pcs_sim,500,4,splay-tree,1,off,asynchronous,1000,32,42.4164,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,183
pcs,./pcs_sim,500,8,splay-tree,1,off,asynchronous,1000,32,38.3456,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,184
pcs,./pcs_sim,500,4,splay-tree,2,off,asynchronous,1000,32,20.3499,10000,6016972,0,171983,0,21528,16953,829355,171983,6019603,5844989,220
pcs,./pcs_sim,500,8,splay-tree,2,off,asynchronous,1000,32,21.4045,10000,5858881,0,13892,0,5966,924,123743,13892,5859176,5844989,204
pcs,./pcs_sim,500,4,splay-tree,4,off,asynchronous,1000,32,13.3424,10000,5963197,0,118208,0,24334,11602,684789,118208,5996670,5844989,243
pcs,./pcs_sim,500,8,splay-tree,4,off,asynchronous,1000,32,10.8056,10000,6243918,0,398929,0,50411,38682,1891082,398929,6273877,5844989,276
pcs,./pcs_sim,500,16,splay-tree,1,off,asynchronous,1000,32,57.0372,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,180
pcs,./pcs_sim,500,32,splay-tree,1,off,asynchronous,1000,32,62.9233,10000,5844995,0,6,0,3,1,91,6,5844995,5844989,178
pcs,./pcs_sim,500,64,splay-tree,1,off,asynchronous,1000,32,65.8694,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,179
pcs,./pcs_sim,500,16,splay-tree,2,off,asynchronous,1000,32,23.5288,10000,5850279,0,5290,0,2904,188,52388,5290,5850279,5844989,198
pcs,./pcs_sim,500,64,splay-tree,2,off,asynchronous,1000,32,23.6434,10000,5871147,0,26158,0,7225,2628,183355,26158,5871202,5844989,197
pcs,./pcs_sim,500,16,splay-tree,4,off,asynchronous,1000,32,11.6643,10000,5912881,0,67892,0,18901,5898,463607,67892,5915805,5844989,233
pcs,./pcs_sim,500,16,splay-tree,16,off,asynchronous,1000,32,4.71513,10000,5939417,0,94428,0,38508,8086,794031,94428,5977877,5844989,381
pcs,./pcs_sim,500,32,splay-tree,16,off,asynchronous,1000,32,5.02485,10000,5987101,0,142112,0,38419,7976,791482,142112,6066223,5844989,307
pcs,./pcs_sim,500,4,ladder-queue:16,1,off,asynchronous,1000,32,28.9438,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,198
pcs,./pcs_sim,500,8,ladder-queue:16,1,off,asynchronous,1000,32,28.4863,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,195
pcs,./pcs_sim,500,4,ladder-queue:16,2,off,asynchronous,1000,32,16.7706,10000,5958935,0,113946,0,18565,11051,599437,113946,5960008,5844989,236
pcs,./pcs_sim,500,8,ladder-queue:16,2,off,asynchronous,1000,32,11.9615,10000,5933408,0,88419,0,12347,7148,374920,88419,5934309,5844989,245
pcs,./pcs_sim,500,4,ladder-queue:16,4,off,asynchronous,1000,32,12.194,10000,6019149,0,174160,0,28951,17230,915296,174160,6030710,5844989,261
pcs,./pcs_sim,500,8,ladder-queue:16,4,off,asynchronous,1000,32,8.16073,10000,5968579,0,123590,0,25717,13423,721012,123590,6004356,5844989,267
pcs,./pcs_sim,500,16,ladder-queue:16,1,off,asynchronous,1000,32,27.5844,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,194
pcs,./pcs_sim,500,32,ladder-queue:16,1,off,asynchronous,1000,32,34.8221,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,190
pcs,./pcs_sim,500,64,ladder-queue:16,1,off,asynchronous,1000,32,35.2263,10000,5844991,0,2,0,2,0,42,2,5844991,5844989,188
pcs,./pcs_sim,500,16,ladder-queue:16,2,off,asynchronous,1000,32,13.7292,10000,5894301,0,49312,0,12351,4851,331507,49312,5901165,5844989,224
pcs,./pcs_sim,500,32,ladder-queue:16,2,off,asynchronous,1000,32,15.5379,10000,5859529,0,14540,0,5891,1292,121897,14540,5861941,5844989,211
pcs,./pcs_sim,500,64,ladder-queue:16,2,off,asynchronous,1000,32,15.2163,10000,5862957,0,17968,0,6049,1412,131452,17968,5866608,5844989,209
pcs,./pcs_sim,500,16,ladder-queue:16,4,off,asynchronous,1000,32,7.37869,10000,6105384,0,260395,0,43741,27429,1439363,260395,6127605,5844989,290
pcs,./pcs_sim,500,32,ladder-queue:16,4,off,asynchronous,1000,32,8.58126,10000,5910516,0,65527,0,17625,7054,450299,65527,5926542,5844989,245
pcs,./pcs_sim,500,64,ladder-queue:16,4,off,asynchronous,1000,32,7.68158,10000,5950795,0,105806,0,23400,10386,624237,105806,5954367,5844989,245
pcs,./pcs_sim,500,16,ladder-queue:16,8,off,asynchronous,1000,32,5.87402,10000,6056721,0,211732,0,48575,18152,1228934,211732,6083479,5844989,325
pcs,./pcs_sim,500,32,ladder-queue:16,8,off,asynchronous,1000,32,5.61347,10000,6081136,0,236147,0,47031,16467,1158767,236147,6098854,5844989,311
pcs,./pcs_sim,500,64,ladder-queue:16,8,off,asynchronous,1000,32,4.66007,10000,5885850,0,40861,0,17308,3715,353570,40861,5899147,5844989,303
pcs,./pcs_sim,500,16,ladder-queue:16,16,off,asynchronous,1000,32,5.3289,10000,6233834,0,388845,0,80727,26021,1937375,388845,6256264,5844989,346
pcs,./pcs_sim,500,32,ladder-queue:16,16,off,asynchronous,1000,32,4.641,10000,5908091,0,63102,0,31592,3005,581135,63102,5914496,5844989,356
pcs,./pcs_sim,500,64,ladder-queue:16,16,off,asynchronous,1000,32,4.64401,10000,6010235,0,165246,0,41330,12498,892817,165246,6056808,5844989,296
pcs,./pcs_sim,500,4,ladder-queue:50,1,off,asynchronous,1000,32,28.671,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,198
pcs,./pcs_sim,500,8,ladder-queue:50,1,off,asynchronous,1000,32,27.8505,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,197
pcs,./pcs_sim,500,4,ladder-queue:50,2,off,asynchronous,1000,32,16.9929,10000,5979672,0,134683,0,21204,13709,721748,134683,5985385,5844989,239
pcs,./pcs_sim,500,8,ladder-queue:50,2,off,asynchronous,1000,32,15.6436,10000,5878004,0,33015,0,7276,1797,168449,33015,5878046,5844989,222
pcs,./pcs_sim,500,4,ladder-queue:50,4,off,asynchronous,1000,32,11.8557,10000,5926917,0,81928,0,19445,7955,501739,81928,5940966,5844989,258
pcs,./pcs_sim,500,8,ladder-queue:50,4,off,asynchronous,1000,32,8.61579,10000,6070054,0,225065,0,39050,22329,1208380,225065,6085716,5844989,290
pcs,./pcs_sim,500,16,ladder-queue:50,1,off,asynchronous,1000,32,28.9096,10000,5844992,0,3,0,2,0,35,3,5844992,5844989,197
pcs,./pcs_sim,500,32,ladder-queue:50,1,off,asynchronous,1000,32,36.2464,10000,5845001,0,12,0,8,0,135,12,5845001,5844989,189
pcs,./pcs_sim,500,64,ladder-queue:50,1,off,asynchronous,1000,32,36.368,10000,5845008,0,19,0,11,2,208,19,5845008,5844989,189
pcs,./pcs_sim,500,16,ladder-queue:50,2,off,asynchronous,1000,32,14.4735,10000,5864448,0,19459,0,7498,1355,153069,19459,5866534,5844989,218
pcs,./pcs_sim,500,32,ladder-queue:50,2,off,asynchronous,1000,32,15.2577,10000,5857563,0,12574,0,4182,1192,92613,12574,5857882,5844989,213
pcs,./pcs_sim,500,64,ladder-queue:50,2,off,asynchronous,1000,32,14.1792,10000,5862452,0,17463,0,6477,1550,137657,17463,5866636,5844989,208
pcs,./pcs_sim,500,16,ladder-queue:50,4,off,asynchronous,1000,32,7.93008,10000,6000783,0,155794,0,27734,14750,839376,155794,6004621,5844989,275
pcs,./pcs_sim,500,32,ladder-queue:50,4,off,asynchronous,1000,32,7.76115,10000,5927357,0,82368,0,21590,7978,544850,82368,5937120,5844989,271
pcs,./pcs_sim,500,64,ladder-queue:50,4,off,asynchronous,1000,32,7.06966,10000,5923305,0,78316,0,21918,6980,529665,78316,5936692,5844989,253
pcs,./pcs_sim,500,16,ladder-queue:50,8,off,asynchronous,1000,32,5.7154,10000,6124306,0,279317,0,50036,24012,1396834,279317,6163304,5844989,316
pcs,./pcs_sim,500,32,ladder-queue:50,8,off,asynchronous,1000,32,5.12592,10000,5964809,0,119820,0,31669,10728,780746,119820,5969699,5844989,304
pcs,./pcs_sim,500,64,ladder-queue:50,8,off,asynchronous,1000,32,4.93114,10000,5900325,0,55336,0,21864,3617,439505,55336,5904221,5844989,318
pcs,./pcs_sim,500,16,ladder-queue:50,16,off,asynchronous,1000,32,5.25542,10000,6028645,0,183656,0,60239,12787,1274454,183656,6060183,5844989,336
pcs,./pcs_sim,500,32,ladder-queue:50,16,off,asynchronous,1000,32,4.43723,10000,5919140,0,74151,0,36224,3133,656481,74151,5925396,5844989,372
pcs,./pcs_sim,500,64,ladder-queue:50,16,off,asynchronous,1000,32,4.94187,10000,6064102,0,219113,0,47499,16628,1097419,219113,6068528,5844989,317
