Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim-d100,15000,4,1,32,off,asynchronous,1000,32,43.6807,10000,15841877,0,262768,0,98511,89766,3838269,262768,15872796,15579109,103
sandpile,./sandpile_sim-d100,15000,4,1,64,off,asynchronous,1000,32,45.688,10000,17011448,0,1432339,0,491596,491612,21697990,1432339,17126550,15579109,99
sandpile,./sandpile_sim-d100,15000,8,1,32,off,asynchronous,1000,32,49.7291,10000,16903657,0,1324548,0,460637,479046,20538461,1324548,17021946,15579109,94
sandpile,./sandpile_sim-d100,15000,8,1,64,off,asynchronous,1000,32,71.0647,10000,22623350,0,7013665,0,2255639,2499213,109594042,7013665,23015501,15609685,79
sandpile,./sandpile_sim-d100,15000,4,2,32,off,asynchronous,1000,32,28.8674,10000,16793725,0,1214616,0,460830,377938,18875444,1214616,17111837,15579109,136
sandpile,./sandpile_sim-d100,15000,4,2,64,off,asynchronous,1000,32,33.3453,10000,18058536,0,2479427,0,870512,823436,37825897,2479427,18392874,15579109,122
sandpile,./sandpile_sim-d100,15000,4,2,128,off,asynchronous,1000,32,53.7735,10000,22211223,0,6632114,0,2114686,2218557,99561865,6632114,22472771,15579109,90
sandpile,./sandpile_sim-d100,15000,4,2,256,off,asynchronous,1000,32,98.5138,10000,31477616,0,15898507,0,4541483,5407187,236022235,15898507,31371106,15579109,72
sandpile,./sandpile_sim-d100,15000,8,2,32,off,asynchronous,1000,32,29.2429,10000,17408360,0,1829251,0,703199,614461,28788608,1829251,17665686,15579109,133
sandpile,./sandpile_sim-d100,15000,8,2,64,off,asynchronous,1000,32,42.3441,10000,22974959,0,7395850,0,2325011,2580626,112969338,7395850,23362111,15579109,104
sandpile,./sandpile_sim-d100,15000,8,2,128,off,asynchronous,1000,32,68.1835,10000,33416261,0,17837152,0,4905983,6326917,270094164,17837152,33317704,15579109,83
sandpile,./sandpile_sim-d100,15000,4,4,32,off,asynchronous,1000,32,28.7002,10000,16449315,0,870206,0,298330,181955,10038249,870206,16586797,15579109,138
sandpile,./sandpile_sim-d100,15000,4,4,64,off,asynchronous,1000,32,29.8108,10000,16676462,0,1097353,0,358682,283005,13403591,1097353,16796993,15579109,132
sandpile,./sandpile_sim-d100,15000,4,4,128,off,asynchronous,1000,32,39.7975,10000,17675691,0,2096582,0,672161,666236,28576867,2096582,17799328,15579109,107
sandpile,./sandpile_sim-d100,15000,4,4,256,off,asynchronous,1000,32,94.4483,10000,23236006,0,7656897,0,2345115,2575325,111734177,7656897,23517591,15579109,68
sandpile,./sandpile_sim-d100,15000,8,4,32,off,asynchronous,1000,32,30.4485,10000,17119160,0,1540051,0,507479,430779,20105189,1540051,17217934,15579109,131
sandpile,./sandpile_sim-d100,15000,8,4,64,off,asynchronous,1000,32,37.5742,10000,18290061,0,2710952,0,883527,873861,38264502,2710952,18406922,15579109,112
sandpile,./sandpile_sim-d100,15000,8,4,128,off,asynchronous,1000,32,87.8098,10000,25814618,0,10235509,0,2945823,3545471,151641899,10235509,26163495,15579109,71
sandpile,./sandpile_sim-d100,15000,8,4,256,off,asynchronous,1000,32,136.864,10000,34216119,0,18637010,0,4996765,6502077,270594786,18637010,33898433,15579109,65
sandpile,./sandpile_sim-d100,15000,16,1,32,off,asynchronous,1000,32,88.6047,10000,21223711,0,5644602,0,1874481,2097478,89984910,5644602,21614364,15579109,68
sandpile,./sandpile_sim-d100,15000,32,1,32,off,asynchronous,1000,32,0.0136309,10000,717,0,106,0,84,58,1684,106,793,610,0
sandpile,./sandpile_sim-d100,15000,64,1,32,off,asynchronous,1000,32,0.0843317,10000,4068,0,1153,0,717,628,24419,1153,4694,2898,0
sandpile,./sandpile_sim-d100,15000,64,1,128,off,asynchronous,1000,32,0.0701998,10000,2557,0,942,0,380,535,11647,939,2797,1600,0
sandpile,./sandpile_sim-d100,15000,16,2,32,off,asynchronous,1000,32,37.8328,10000,22181670,0,6602561,0,2133282,2397788,102789927,6602561,22600899,15579109,109
sandpile,./sandpile_sim-d100,15000,16,2,64,off,asynchronous,1000,32,69.1398,10000,35059384,0,19480275,0,5166193,7275524,301429993,19480275,35082656,15579109,81
sandpile,./sandpile_sim-d100,15000,64,2,256,off,asynchronous,1000,32,0.23979,10000,23785,0,9246,0,4368,4918,183874,9246,27491,14523,0
sandpile,./sandpile_sim-d100,15000,16,4,32,off,asynchronous,1000,32,39.975,10000,18655761,0,3076652,0,900491,1123231,44723979,3076652,18787297,15579109,106
sandpile,./sandpile_sim-d100,15000,16,4,64,off,asynchronous,1000,32,61.8966,10000,24465352,0,8886243,0,2660945,3172949,132085390,8886243,24719525,15579109,84
sandpile,./sandpile_sim-d100,15000,16,4,128,off,asynchronous,1000,32,120.457,10000,38844958,0,23265849,0,5793406,8563722,346459656,23265849,38410662,15579109,66
sandpile,./sandpile_sim-d100,15000,32,4,32,off,asynchronous,1000,32,56.742,10000,25038168,0,9459059,0,2736674,3573726,143745603,9459059,25319528,15579109,82
sandpile,./sandpile_sim-d100,15000,16,8,32,off,asynchronous,1000,32,23.4654,10000,18601336,0,3022227,0,1038667,926452,41352482,3022227,18908682,15579109,157
sandpile,./sandpile_sim-d100,15000,16,8,64,off,asynchronous,1000,32,46.7435,10000,24552372,0,8973263,0,2528156,3068865,126340924,8973263,24896788,15579109,96
sandpile,./sandpile_sim-d100,15000,16,8,128,off,asynchronous,1000,32,79.7458,10000,36086309,0,20507200,0,4991075,7498237,297368062,20507200,35473044,15579109,75
sandpile,./sandpile_sim-d100,15000,16,8,256,off,asynchronous,1000,32,148.224,10000,63975256,0,48396147,0,9242570,18506110,709454409,48396147,60291008,15579109,66
sandpile,./sandpile_sim-d100,15000,32,8,32,off,asynchronous,1000,32,38.8781,10000,22649581,0,7070472,0,2148877,2531901,101906874,7070472,22874145,15579109,104
sandpile,./sandpile_sim-d100,15000,32,8,64,off,asynchronous,1000,32,81.2435,10000,40381398,0,24802289,0,5661044,9447360,365650742,24802289,39524794,15579109,72
sandpile,./sandpile_sim-d100,15000,32,8,128,off,asynchronous,1000,32,134.99,10000,63693459,0,48110614,0,9404374,18848964,716924803,48110614,60197390,15582845,65
sandpile,./sandpile_sim-d100,15000,64,8,32,off,asynchronous,1000,32,1.72338,10000,200726,0,117854,0,33314,55708,1932410,117846,219526,82871,33
sandpile,./sandpile_sim-d100,15000,64,8,64,off,asynchronous,1000,32,0.340435,10000,11666,0,4625,0,1819,2331,68638,4621,13112,7031,0
sandpile,./sandpile_sim-d100,15000,16,16,32,off,asynchronous,1000,32,17.6357,10000,19102209,0,3523100,0,1207096,830015,41294556,3523100,19412932,15579109,196
sandpile,./sandpile_sim-d100,15000,16,16,64,off,asynchronous,1000,32,24.6576,10000,20537092,0,4957983,0,1610568,1519770,64810123,4957983,20763353,15579109,148
sandpile,./sandpile_sim-d100,15000,16,16,128,off,asynchronous,1000,32,73.2249,10000,37915931,0,22336822,0,5151049,8115354,319656270,22336822,37213886,15579109,76
sandpile,./sandpile_sim-d100,15000,16,16,256,off,asynchronous,1000,32,115.655,10000,57331868,0,41752759,0,8236462,15776777,608367948,41752759,54555123,15579109,69
sandpile,./sandpile_sim-d100,15000,32,16,32,off,asynchronous,1000,32,25.6834,10000,21284304,0,5705195,0,1815476,1830500,75728210,5705195,21491289,15579109,137
sandpile,./sandpile_sim-d100,15000,32,16,64,off,asynchronous,1000,32,60.7354,10000,36893062,0,21313953,0,5129202,7816242,308367016,21313953,36282924,15579109,82
sandpile,./sandpile_sim-d100,15000,32,16,128,off,asynchronous,1000,32,120.323,10000,61619239,0,46040130,0,9047033,17671282,674950498,46040130,58307488,15579109,68
sandpile,./sandpile_sim-d100,15000,64,16,32,off,asynchronous,1000,32,0.107858,10000,7805,0,3286,0,1107,1122,33365,3200,8524,4514,0
sandpile,./sandpile_sim-d100,15000,64,16,64,off,asynchronous,1000,32,138.064,10000,66299978,0,50720869,0,9844834,19797116,755180290,50720869,62522314,15579109,64
sandpile,./sandpile_sim-d100,15000,4,1,128,off,asynchronous,1000,32,76.2092,10000,22769765,0,7190656,0,2265708,2498639,109246812,7190656,23128913,15579109,76
sandpile,./sandpile_sim-d100,15000,8,1,128,off,asynchronous,1000,32,117.192,10000,35055040,0,19421295,0,5276792,7088196,300580080,19421295,34907870,15633745,67
sandpile,./sandpile_sim-d100,15000,8,2,256,off,asynchronous,1000,32,117.312,10000,51016360,0,35435343,0,8014001,13025116,531250516,35435343,49120850,15581017,72
sandpile,./sandpile_sim-d100,15000,16,1,64,off,asynchronous,1000,32,129.329,10000,34119340,0,18537823,0,5018709,7071166,292202596,18537823,34173181,15581517,62
sandpile,./sandpile_sim-d100,15000,64,1,256,off,asynchronous,1000,32,0.313469,10000,21082,0,8791,0,3877,4764,154642,8784,24396,12281,0
sandpile,./sandpile_sim-d100,15000,64,2,128,off,asynchronous,1000,32,0.4303,10000,52465,0,25358,0,9381,13310,425551,25358,59137,27078,0
sandpile,./sandpile_sim-d100,15000,32,4,64,off,asynchronous,1000,32,121.445,10000,43980774,0,28388633,0,6776671,10851914,435452479,28388633,43485214,15592141,64
sandpile,./sandpile_sim-d100,15000,64,4,32,off,asynchronous,1000,32,129.913,10000,37578049,0,21998940,0,5615767,8629602,339446248,21998940,37198309,15579109,62
sandpile,./sandpile_sim-d100,15000,64,4,128,off,asynchronous,1000,32,0.0241088,10000,1093,0,64,0,160,33,2919,63,1255,1026,0
sandpile,./sandpile_sim-d100,15000,4,1,256,off,asynchronous,1000,32,144.824,10000,34602200,0,19023091,0,5079453,6779703,287949331,19023091,34457152,15579109,63
sandpile,./sandpile_sim-d100,15000,32,2,32,off,asynchronous,1000,32,76.9804,10000,33971651,0,18371302,0,5083411,7046225,292121827,18371302,34190520,15600349,70
sandpile,./sandpile_sim-d100,15000,32,2,128,off,asynchronous,1000,32,0.285552,10000,49569,0,22519,0,8626,11516,389692,22519,55612,27045,0
sandpile,./sandpile_sim-d100,15000,64,2,32,off,asynchronous,1000,32,0.0404112,10000,1987,0,356,0,328,210,8000,356,2294,1612,0
sandpile,./sandpile_sim-d100,15000,64,2,64,off,asynchronous,1000,32,0.0123479,10000,687,0,75,0,88,46,2331,75,784,611,0
sandpile,./sandpile_sim-d100,15000,64,16,256,off,asynchronous,1000,32,0.353364,10000,56778,0,25221,0,8958,11532,373833,25209,61356,31549,0
sandpile,./sandpile_sim-d100,15000,4,1,32,off,asynchronous,1000,32,43.4675,10000,15839692,0,260583,0,98320,88905,3805615,260583,15871773,15579109,103
sandpile,./sandpile_sim-d100,15000,4,1,64,off,asynchronous,1000,32,46.421,10000,17076781,0,1497672,0,507147,515707,22532912,1497672,17195389,15579109,98
sandpile,./sandpile_sim-d100,15000,4,1,128,off,asynchronous,1000,32,78.1499,10000,22860435,0,7281326,0,2281456,2537704,111423528,7281326,23221073,15579109,75
sandpile,./sandpile_sim-d100,15000,8,1,32,off,asynchronous,1000,32,48.6805,10000,16868840,0,1289731,0,451846,463823,19939854,1289731,16984854,15579109,94
sandpile,./sandpile_sim-d100,15000,8,1,64,off,asynchronous,1000,32,72.4228,10000,22874863,0,7248142,0,2374461,2561620,114722468,7248142,23309661,15626721,78
sandpile,./sandpile_sim-d100,15000,4,2,32,off,asynchronous,1000,32,24.8478,10000,16326949,0,747840,0,293765,157641,9171992,747840,16359213,15579109,153
sandpile,./sandpile_sim-d100,15000,4,2,64,off,asynchronous,1000,32,33.5544,10000,18216704,0,2637595,0,909077,889232,40594382,2637595,18566006,15579109,121
sandpile,./sandpile_sim-d100,15000,4,2,128,off,asynchronous,1000,32,49.8124,10000,21529593,0,5950484,0,2010599,1946266,88758762,5950484,21781908,15579109,94
sandpile,./sandpile_sim-d100,15000,4,2,256,off,asynchronous,1000,32,98.852,10000,31684798,0,16105689,0,4570928,5489496,239839551,16105689,31563203,15579109,72
sandpile,./sandpile_sim-d100,15000,8,2,32,off,asynchronous,1000,32,29.9279,10000,17619918,0,2040809,0,766881,695158,32251625,2040809,17920750,15579109,130
sandpile,./sandpile_sim-d100,15000,8,2,64,off,asynchronous,1000,32,36.3117,10000,22065531,0,6486422,0,2142063,2208186,98080090,6486422,22367247,15579109,116
sandpile,./sandpile_sim-d100,15000,8,2,128,off,asynchronous,1000,32,85.3098,10000,36455589,0,20876480,0,5406277,7516289,317518412,20876480,36321770,15579109,76
sandpile,./sandpile_sim-d100,15000,8,2,256,off,asynchronous,1000,32,134.34,10000,52778370,0,37199261,0,8182828,13830748,556853498,37199261,50803492,15579109,69
sandpile,./sandpile_sim-d100,15000,4,4,32,off,asynchronous,1000,32,29.5065,10000,16449867,0,870758,0,293095,185122,9905623,870758,16591928,15579109,135
sandpile,./sandpile_sim-d100,15000,4,4,64,off,asynchronous,1000,32,31.629,10000,16746908,0,1167799,0,363587,307232,13972001,1167799,16865577,15579109,128
sandpile,./sandpile_sim-d100,15000,4,4,128,off,asynchronous,1000,32,41.6999,10000,17733287,0,2154178,0,686195,690743,29448794,2154178,17863602,15579109,104
sandpile,./sandpile_sim-d100,15000,4,4,256,off,asynchronous,1000,32,93.5261,10000,23151140,0,7572031,0,2320329,2548705,110575762,7572031,23424807,15579109,68
sandpile,./sandpile_sim-d100,15000,8,4,32,off,asynchronous,1000,32,31.7651,10000,16855670,0,1276561,0,425417,376479,17143844,1276561,16993537,15579109,127
sandpile,./sandpile_sim-d100,15000,8,4,64,off,asynchronous,1000,32,37.8421,10000,18296047,0,2716938,0,875239,878003,37978854,2716938,18401966,15579109,110
sandpile,./sandpile_sim-d100,15000,8,4,128,off,asynchronous,1000,32,69.3585,10000,23620804,0,8041695,0,2490327,2728456,118387898,8041695,23863723,15579109,79
sandpile,./sandpile_sim-d100,15000,8,4,256,off,asynchronous,1000,32,149.43,10000,36585399,0,21006290,0,5381260,7434495,308364702,21006290,36222650,15579109,63
sandpile,./sandpile_sim-d100,15000,16,1,32,off,asynchronous,1000,32,89.269,10000,21752055,0,6154946,0,2009448,2300770,98825764,6154946,22120544,15597109,68
sandpile,./sandpile_sim-d100,15000,16,1,64,off,asynchronous,1000,32,125.07,10000,33972709,0,18383404,0,5050566,6966591,289403190,18383404,34074231,15589305,64
sandpile,./sandpile_sim-d100,15000,32,1,128,off,asynchronous,1000,32,0.483588,10000,59611,0,28041,0,10011,13964,468974,28034,65652,31561,0
sandpile,./sandpile_sim-d100,15000,64,1,32,off,asynchronous,1000,32,0.724339,10000,62935,0,31336,0,11146,15870,522785,31336,69026,31591,0
sandpile,./sandpile_sim-d100,15000,64,1,64,off,asynchronous,1000,32,0.284562,10000,17121,0,6918,0,3083,3672,120542,6918,19717,10202,0
sandpile,./sandpile_sim-d100,15000,64,1,128,off,asynchronous,1000,32,0.00298373,10000,539,0,32,0,55,17,950,32,565,483,0
sandpile,./sandpile_sim-d100,15000,64,1,256,off,asynchronous,1000,32,0.0799993,10000,2366,0,774,0,384,461,10793,774,2724,1591,0
sandpile,./sandpile_sim-d100,15000,16,2,32,off,asynchronous,1000,32,41.7459,10000,22974877,0,7395768,0,2312558,2702211,115771977,7395768,23447190,15579109,102
sandpile,./sandpile_sim-d100,15000,64,2,64,off,asynchronous,1000,32,0.459354,10000,53216,0,25956,0,9541,13322,457148,25954,59356,27259,0
sandpile,./sandpile_sim-d100,15000,64,2,256,off,asynchronous,1000,32,0.235982,10000,24901,0,10387,0,4548,5572,179370,10387,28596,14509,0
sandpile,./sandpile_sim-d100,15000,16,4,32,off,asynchronous,1000,32,37.2722,10000,18912207,0,3333098,0,1022761,1205141,49353687,3333098,19135718,15579109,111
