Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim-d100,15000,4,1,4,off,asynchronous,1000,32,42.1268,10000,15586718,0,7609,0,3323,1177,95545,7609,15585986,15579109,106
sandpile,./sandpile_sim-d100,15000,4,1,8,off,asynchronous,1000,32,41.8534,10000,15607212,0,28103,0,13424,1690,338353,28103,15601901,15579109,106
sandpile,./sandpile_sim-d100,15000,4,1,12,off,asynchronous,1000,32,44.0671,10000,15616973,0,37864,0,15650,5170,409580,37864,15611477,15579109,103
sandpile,./sandpile_sim-d100,15000,4,1,16,off,asynchronous,1000,32,42.6218,10000,15609292,0,30183,0,14661,2649,313122,30183,15604105,15579109,105
sandpile,./sandpile_sim-d100,15000,8,1,4,off,asynchronous,1000,32,41.4482,10000,15584281,0,5172,0,2770,852,62175,5172,15584055,15579109,106
sandpile,./sandpile_sim-d100,15000,8,1,8,off,asynchronous,1000,32,42.875,10000,15608992,0,29883,0,14546,2723,324884,29883,15603993,15579109,104
sandpile,./sandpile_sim-d100,15000,8,1,12,off,asynchronous,1000,32,39.0255,10000,15614459,0,35350,0,15558,3932,359211,35350,15609609,15579109,111
sandpile,./sandpile_sim-d100,15000,8,1,16,off,asynchronous,1000,32,43.0236,10000,15608376,0,29267,0,14465,2555,334771,29267,15603315,15579109,104
sandpile,./sandpile_sim-d100,15000,4,2,4,off,asynchronous,1000,32,28.8664,10000,16589330,0,1010221,0,354986,213285,12047533,1010221,16704774,15579109,137
sandpile,./sandpile_sim-d100,15000,4,2,8,off,asynchronous,1000,32,27.3705,10000,16371319,0,792210,0,302731,146974,9205321,792210,16433019,15579109,143
sandpile,./sandpile_sim-d100,15000,4,2,12,off,asynchronous,1000,32,26.5659,10000,16338196,0,759087,0,299108,133989,8835859,759087,16391486,15579109,146
sandpile,./sandpile_sim-d100,15000,4,2,16,off,asynchronous,1000,32,26.6768,10000,16293026,0,713917,0,284419,133485,8414115,713917,16360042,15579109,146
sandpile,./sandpile_sim-d100,15000,8,2,4,off,asynchronous,1000,32,23.4842,10000,16415467,0,836358,0,342916,124803,9593564,836358,16426073,15579109,159
sandpile,./sandpile_sim-d100,15000,8,2,8,off,asynchronous,1000,32,25.3699,10000,16245311,0,666202,0,294383,159231,9254605,666202,16390270,15579109,151
sandpile,./sandpile_sim-d100,15000,8,2,12,off,asynchronous,1000,32,25.9746,10000,16036174,0,457065,0,237789,106387,6661123,457065,16154612,15579109,148
sandpile,./sandpile_sim-d100,15000,8,2,16,off,asynchronous,1000,32,25.9675,10000,16028329,0,449220,0,230080,104511,6390965,449220,16140017,15579109,147
sandpile,./sandpile_sim-d100,15000,4,4,4,off,asynchronous,1000,32,34.1815,10000,16725605,0,1146496,0,404845,284987,14177739,1146496,16958320,15579109,123
sandpile,./sandpile_sim-d100,15000,4,4,8,off,asynchronous,1000,32,34.6353,10000,16709961,0,1130852,0,402528,283194,13993969,1130852,16946782,15579109,120
