Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim-d100,15000,4,stl-multiset,1,off,asynchronous,1000,32,66.8136,10000,15579118,0,9,0,15,4,336,9,15579130,15579109,80
sandpile,./sandpile_sim-d100,15000,8,stl-multiset,1,off,asynchronous,1000,32,64.8886,10000,15579225,0,116,0,287,40,5520,116,15579475,15579109,81
sandpile,./sandpile_sim-d100,15000,4,stl-multiset,2,off,asynchronous,1000,32,31.9382,10000,16320779,0,741670,0,201124,138978,7471936,741670,16440879,15579109,127
sandpile,./sandpile_sim-d100,15000,8,stl-multiset,2,off,asynchronous,1000,32,32.7261,10000,16423125,0,844016,0,245105,119048,7836420,844016,16413377,15579109,123
sandpile,./sandpile_sim-d100,15000,4,stl-multiset,4,off,asynchronous,1000,32,32.5003,10000,16769449,0,1190340,0,341198,229161,12057197,1190340,16980264,15579109,126
sandpile,./sandpile_sim-d100,15000,8,stl-multiset,4,off,asynchronous,1000,32,41.8962,10000,17096022,0,1516913,0,395280,339407,16227569,1516913,17366085,15579109,105
sandpile,./sandpile_sim-d100,15000,16,stl-multiset,1,off,asynchronous,1000,32,82.2715,10000,15580387,0,1278,0,1262,412,25380,1278,15581193,15579109,72
sandpile,./sandpile_sim-d100,15000,32,stl-multiset,1,off,asynchronous,1000,32,96.0352,10000,15593007,0,13898,0,7826,5510,235330,13898,15597108,15579109,67
sandpile,./sandpile_sim-d100,15000,64,stl-multiset,1,off,asynchronous,1000,32,0.111152,10000,5978,0,2735,0,1004,1529,44797,2733,6732,3235,0
sandpile,./sandpile_sim-d100,15000,16,stl-multiset,2,off,asynchronous,1000,32,40.6415,10000,16457665,0,878556,0,288626,235317,11655626,878556,16703163,15579109,105
sandpile,./sandpile_sim-d100,15000,32,stl-multiset,2,off,asynchronous,1000,32,40.916,10000,16050650,0,471541,0,249582,117434,7917706,471541,16241750,15579109,103
sandpile,./sandpile_sim-d100,15000,64,stl-multiset,2,off,asynchronous,1000,32,42.8035,10000,16154652,0,575543,0,300985,158738,9978417,575543,16364539,15579109,96
sandpile,./sandpile_sim-d100,15000,16,stl-multiset,4,off,asynchronous,1000,32,49.3381,10000,17279494,0,1700385,0,446965,399952,19162652,1700385,17592811,15579109,95
sandpile,./sandpile_sim-d100,15000,32,stl-multiset,4,off,asynchronous,1000,32,43.565,10000,17239510,0,1660401,0,426732,403280,18204600,1660401,17504747,15579109,98
sandpile,./sandpile_sim-d100,15000,64,stl-multiset,4,off,asynchronous,1000,32,38.8615,10000,17258636,0,1679527,0,551908,525041,23289989,1679527,17604873,15579109,104
sandpile,./sandpile_sim-d100,15000,16,stl-multiset,8,off,asynchronous,1000,32,38.1719,10000,18756648,0,3177539,0,860028,612263,32158742,3177539,19102004,15579109,112
sandpile,./sandpile_sim-d100,15000,32,stl-multiset,8,off,asynchronous,1000,32,37.9768,10000,18596477,0,3017368,0,907335,630326,33061989,3017368,18998137,15579109,109
sandpile,./sandpile_sim-d100,15000,64,stl-multiset,8,off,asynchronous,1000,32,0.10949,10000,14410,0,4227,0,1579,1391,60870,4227,15107,10170,0
sandpile,./sandpile_sim-d100,15000,16,stl-multiset,16,off,asynchronous,1000,32,20.2465,10000,17987765,0,2408656,0,821022,422665,24105828,2408656,18276369,15579109,174
sandpile,./sandpile_sim-d100,15000,32,stl-multiset,16,off,asynchronous,1000,32,25.226,10000,19133752,0,3554643,0,1123973,675905,36843998,3554643,19498250,15579109,143
sandpile,./sandpile_sim-d100,15000,64,stl-multiset,16,off,asynchronous,1000,32,20.5672,10000,18560452,0,2981343,0,993357,608982,31560650,2981343,18907166,15579109,144
sandpile,./sandpile_sim-d100,15000,4,ladder-queue:16,1,off,asynchronous,1000,32,0.000264341,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,8,ladder-queue:16,1,off,asynchronous,1000,32,0.000246778,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,16,ladder-queue:16,1,off,asynchronous,1000,32,0.000341328,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,32,ladder-queue:16,1,off,asynchronous,1000,32,0.00032921,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,64,ladder-queue:16,1,off,asynchronous,1000,32,0.000872857,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,4,ladder-queue:50,1,off,asynchronous,1000,32,0.000272277,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,8,ladder-queue:50,1,off,asynchronous,1000,32,0.000220601,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,16,ladder-queue:50,1,off,asynchronous,1000,32,0.00021843,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,32,ladder-queue:50,1,off,asynchronous,1000,32,0.000314399,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,64,ladder-queue:50,1,off,asynchronous,1000,32,0.000479539,10000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,4,ladder-queue:96,1,off,asynchronous,1000,32,0.000303869,10000,6,0,0,0,0,0,0,0,1,1,0
