Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim,15000,4,4,1.0,asynchronous,1000,32,0.000644648,3613,15,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim,15000,8,4,1.0,asynchronous,1000,32,0.000642263,3613,15,47,0,0,0,0,0,0,0,30,30,0
sandpile,./sandpile_sim,15000,4,16,1.0,asynchronous,1000,32,0.000641029,3613,15,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,8,16,1.0,asynchronous,1000,32,0.00146942,3613,15,135,0,0,0,1,0,8,0,119,118,0
sandpile,./sandpile_sim,15000,4,32,1.0,asynchronous,1000,32,0.000655712,3613,15,9,0,0,0,0,0,0,0,8,8,0
sandpile,./sandpile_sim,15000,4,64,1.0,asynchronous,1000,32,0.000614144,3613,15,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,8,64,1.0,asynchronous,1000,32,0.000599381,3613,15,17,0,0,0,0,0,0,0,16,16,0
sandpile,./sandpile_sim,15000,4,128,1.0,asynchronous,1000,32,0.00084473,3613,15,9,0,0,0,0,0,0,0,8,8,0
sandpile,./sandpile_sim,15000,8,128,1.0,asynchronous,1000,32,0.000619713,3613,15,47,0,0,0,0,0,0,0,30,30,0
sandpile,./sandpile_sim,15000,4,256,1.0,asynchronous,1000,32,0.000478259,3613,15,14,0,0,0,0,0,0,0,9,9,0
sandpile,./sandpile_sim,15000,8,256,1.0,asynchronous,1000,32,0.000454942,3613,15,17,0,0,0,0,0,0,0,16,16,0
sandpile,./sandpile_sim,15000,16,4,1.0,asynchronous,1000,32,0.0251786,3613,15,1287,0,68,0,90,37,2051,68,1358,1214,0
sandpile,./sandpile_sim,15000,32,4,1.0,asynchronous,1000,32,0.0533753,3613,15,1086,0,56,0,64,31,1644,56,1133,1027,0
sandpile,./sandpile_sim,15000,16,16,1.0,asynchronous,1000,32,0.0108933,3613,15,155,0,0,0,1,0,8,0,155,154,0
sandpile,./sandpile_sim,15000,32,16,1.0,asynchronous,1000,32,0.126456,3613,15,1076,0,56,0,66,30,1643,55,1115,1008,0
sandpile,./sandpile_sim,15000,16,32,1.0,asynchronous,1000,32,0.000735901,3613,15,91,0,0,0,0,0,0,0,74,74,0
sandpile,./sandpile_sim,15000,32,32,1.0,asynchronous,1000,32,0.0413648,3613,15,444,0,20,0,14,11,303,20,449,423,0
sandpile,./sandpile_sim,15000,16,64,1.0,asynchronous,1000,32,0.0016046,3613,15,141,0,0,0,1,0,8,0,141,140,0
sandpile,./sandpile_sim,15000,32,256,1.0,asynchronous,1000,32,0.0327349,3613,15,252,0,0,0,9,0,76,0,259,250,0
sandpile,./sandpile_sim,15000,4,0,0.75,asynchronous,1000,32,0.000847212,3613,15,9,0,0,0,0,0,0,0,8,8,0
sandpile,./sandpile_sim,15000,4,0,0.50,asynchronous,1000,32,0.000627071,3613,15,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,8,0,0.50,asynchronous,1000,32,0.000566418,3613,15,25,0,0,0,0,0,0,0,24,24,0
sandpile,./sandpile_sim,15000,4,0,0.25,asynchronous,1000,32,0.00056112,3613,15,15,0,0,0,0,0,0,0,14,14,0
sandpile,./sandpile_sim,15000,4,0,0.05,asynchronous,1000,32,0.000696537,3613,15,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim,15000,8,0,0.05,asynchronous,1000,32,0.00888271,3613,15,1106,0,56,0,68,32,1649,56,1157,1045,0
sandpile,./sandpile_sim,15000,16,0,0.50,asynchronous,1000,32,0.00447097,3613,15,148,0,0,0,1,0,8,0,148,147,0
sandpile,./sandpile_sim,15000,32,0,0.50,asynchronous,1000,32,0.0319564,3613,15,444,0,20,0,14,11,303,20,449,423,0
sandpile,./sandpile_sim,15000,16,0,0.25,asynchronous,1000,32,0.184018,3613,15,12238,0,2044,0,1352,933,44115,2044,13249,10189,0
sandpile,./sandpile_sim,15000,32,0,0.25,asynchronous,1000,32,0.0399016,3613,15,450,0,20,0,15,11,315,20,451,424,0
sandpile,./sandpile_sim,15000,16,0,0.05,asynchronous,1000,32,0.000455657,3613,15,30,0,0,0,0,0,0,0,25,25,0
sandpile,./sandpile_sim,15000,4,4,1.0,asynchronous,1000,32,0.000595967,3613,15,15,0,0,0,0,0,0,0,14,14,0
sandpile,./sandpile_sim,15000,8,4,1.0,asynchronous,1000,32,0.000461155,3613,15,16,0,0,0,0,0,0,0,15,15,0
sandpile,./sandpile_sim,15000,4,16,1.0,asynchronous,1000,32,0.000678883,3613,15,9,0,0,0,0,0,0,0,8,8,0
sandpile,./sandpile_sim,15000,8,16,1.0,asynchronous,1000,32,0.0043094,3613,15,433,0,16,0,15,8,284,16,440,416,0
sandpile,./sandpile_sim,15000,4,32,1.0,asynchronous,1000,32,0.00126873,3613,15,24,0,0,0,0,0,0,0,23,23,0
sandpile,./sandpile_sim,15000,8,32,1.0,asynchronous,1000,32,0.000644046,3613,15,17,0,0,0,0,0,0,0,16,16,0
sandpile,./sandpile_sim,15000,4,64,1.0,asynchronous,1000,32,0.000498673,3613,15,9,0,0,0,0,0,0,0,8,8,0
sandpile,./sandpile_sim,15000,8,64,1.0,asynchronous,1000,32,0.00369745,3613,15,162,0,0,0,1,0,8,0,158,157,0
sandpile,./sandpile_sim,15000,4,128,1.0,asynchronous,1000,32,0.000639043,3613,15,9,0,0,0,0,0,0,0,8,8,0
sandpile,./sandpile_sim,15000,8,128,1.0,asynchronous,1000,32,0.00181983,3613,15,135,0,0,0,1,0,8,0,119,118,0
sandpile,./sandpile_sim,15000,4,256,1.0,asynchronous,1000,32,0.000522831,3613,15,14,0,0,0,0,0,0,0,9,9,0
sandpile,./sandpile_sim,15000,8,256,1.0,asynchronous,1000,32,0.000549947,3613,15,17,0,0,0,0,0,0,0,16,16,0
sandpile,./sandpile_sim,15000,16,4,1.0,asynchronous,1000,32,0.00175052,3613,15,146,0,0,0,1,0,8,0,142,141,0
sandpile,./sandpile_sim,15000,32,4,1.0,asynchronous,1000,32,0.061719,3613,15,650,0,32,0,23,18,637,32,657,613,0
sandpile,./sandpile_sim,15000,64,32,1.0,asynchronous,1000,32,0.164579,3613,15,1100,0,56,0,65,32,1620,56,1152,1043,0
sandpile,./sandpile_sim,15000,32,64,1.0,asynchronous,1000,32,0.02532,3613,15,245,0,0,0,9,0,76,0,253,244,0
sandpile,./sandpile_sim,15000,16,128,1.0,asynchronous,1000,32,0.0342293,3613,15,488,0,20,0,16,11,339,20,494,466,0
sandpile,./sandpile_sim,15000,32,128,1.0,asynchronous,1000,32,0.0408327,3613,15,467,0,20,0,17,11,327,20,468,439,0
sandpile,./sandpile_sim,15000,64,128,1.0,asynchronous,1000,32,0.844628,3613,15,7974,0,846,0,870,353,20109,846,8683,7127,0
sandpile,./sandpile_sim,15000,16,256,1.0,asynchronous,1000,32,0.0137086,3613,15,1331,0,68,0,82,37,2085,68,1377,1244,0
sandpile,./sandpile_sim,15000,32,256,1.0,asynchronous,1000,32,0.0220127,3613,15,434,0,20,0,13,11,298,20,434,409,0
sandpile,./sandpile_sim,15000,4,0,0.75,asynchronous,1000,32,0.000473056,3613,15,14,0,0,0,0,0,0,0,9,9,0
sandpile,./sandpile_sim,15000,8,0,0.75,asynchronous,1000,32,0.000452912,3613,15,17,0,0,0,0,0,0,0,16,16,0
sandpile,./sandpile_sim,15000,4,0,0.50,asynchronous,1000,32,0.00434198,3613,15,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim,15000,8,0,0.50,asynchronous,1000,32,0.00102534,3613,15,66,0,0,0,0,0,0,0,61,61,0
sandpile,./sandpile_sim,15000,4,0,0.25,asynchronous,1000,32,0.00170736,3613,15,47,0,0,0,0,0,0,0,39,39,0
sandpile,./sandpile_sim,15000,8,0,0.25,asynchronous,1000,32,0.000330386,3613,15,16,0,0,0,0,0,0,0,15,15,0
sandpile,./sandpile_sim,15000,4,0,0.05,asynchronous,1000,32,0.00063662,3613,15,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,8,0,0.05,asynchronous,1000,32,0.000557337,3613,15,23,0,0,0,0,0,0,0,22,22,0
sandpile,./sandpile_sim,15000,16,0,0.50,asynchronous,1000,32,0.0100768,3613,15,242,0,0,0,9,0,76,0,246,237,0
sandpile,./sandpile_sim,15000,16,0,0.25,asynchronous,1000,32,0.00180944,3613,15,146,0,0,0,1,0,8,0,142,141,0
sandpile,./sandpile_sim,15000,16,0,0.05,asynchronous,1000,32,0.0191411,3613,15,1998,0,140,0,139,77,3505,140,2095,1853,0
