Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim,15000,4,1,32,off,asynchronous,1000,32,44.5402,1000000,15814909,0,235800,0,92139,81214,3533635,235800,15844085,15579109,222
sandpile,./sandpile_sim,15000,4,1,64,off,asynchronous,1000,32,49.4161,1000000,17072444,0,1493335,0,507717,515750,22424114,1493335,17192054,15579109,215
sandpile,./sandpile_sim,15000,4,1,128,off,asynchronous,1000,32,78.1762,1000000,22709652,0,7130543,0,2243200,2482478,109200561,7130543,23070634,15579109,196
sandpile,./sandpile_sim,15000,8,1,32,off,asynchronous,1000,32,49.8503,1000000,16925129,0,1346020,0,467402,486927,20873096,1346020,17044957,15579109,213
sandpile,./sandpile_sim,15000,8,1,64,off,asynchronous,1000,32,69.2451,1000000,22215774,0,6627193,0,2124457,2404138,103798047,6627193,22622840,15588581,200
sandpile,./sandpile_sim,15000,4,2,32,off,asynchronous,1000,32,25.4795,1000000,16311542,0,732433,0,296885,159357,9333952,732433,16339642,15579109,269
sandpile,./sandpile_sim,15000,4,2,64,off,asynchronous,1000,32,33.7932,1000000,17973491,0,2394382,0,857665,803049,37044953,2394382,18307867,15579109,240
sandpile,./sandpile_sim,15000,4,2,128,off,asynchronous,1000,32,53.2301,1000000,21860179,0,6235690,0,2129830,2040635,94642533,6235690,22182599,15624489,211
sandpile,./sandpile_sim,15000,4,2,256,off,asynchronous,1000,32,127.142,1000000,36591531,0,21012422,0,5395691,7327175,313110944,21012422,36392207,15579109,188
sandpile,./sandpile_sim,15000,8,2,32,off,asynchronous,1000,32,28.0145,1000000,17095229,0,1516120,0,578286,500388,23305214,1516120,17263249,15579109,257
sandpile,./sandpile_sim,15000,8,2,64,off,asynchronous,1000,32,45.97,1000000,23502427,0,7923318,0,2437257,2778160,120996617,7923318,23924042,15579109,221
sandpile,./sandpile_sim,15000,8,2,128,off,asynchronous,1000,32,82.7103,1000000,34486683,0,18907574,0,5077490,6752724,285962572,18907574,34398613,15579109,197
sandpile,./sandpile_sim,15000,4,4,32,off,asynchronous,1000,32,40.7076,1000000,15769596,0,190487,0,128063,31729,3122291,190487,15855052,15579109,229
sandpile,./sandpile_sim,15000,4,4,64,off,asynchronous,1000,32,39.3618,1000000,15941057,0,361948,0,191708,90264,5675472,361948,16036835,15579109,230
sandpile,./sandpile_sim,15000,4,4,128,off,asynchronous,1000,32,52.653,1000000,16874797,0,1295688,0,504768,401825,19116896,1295688,17003469,15579109,211
sandpile,./sandpile_sim,15000,4,4,256,off,asynchronous,1000,32,105.916,1000000,21778396,0,6199287,0,1969555,2073064,92181391,6199287,22036636,15579109,186
sandpile,./sandpile_sim,15000,8,4,32,off,asynchronous,1000,32,34.0175,1000000,16337431,0,758322,0,337900,229983,12195276,758322,16546095,15579109,241
sandpile,./sandpile_sim,15000,8,4,64,off,asynchronous,1000,32,44.233,1000000,17981881,0,2402772,0,861494,811650,37915078,2402772,18324338,15579109,220
sandpile,./sandpile_sim,15000,8,4,128,off,asynchronous,1000,32,72.2829,1000000,21912703,0,6333594,0,2059763,2117796,94583965,6333594,22186952,15579109,198
