Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim,15000,4,1,4,off,asynchronous,1000,32,42.2829,1000000,15588919,0,9810,0,3548,1485,85774,9810,15588486,15579109,225
sandpile,./sandpile_sim,15000,4,1,8,off,asynchronous,1000,32,45.5986,1000000,15606731,0,27622,0,13903,1860,321928,27622,15601572,15579109,221
sandpile,./sandpile_sim,15000,4,1,12,off,asynchronous,1000,32,44.4608,1000000,15610747,0,31638,0,14349,2855,348692,31638,15605611,15579109,223
sandpile,./sandpile_sim,15000,4,1,16,off,asynchronous,1000,32,44.745,1000000,15612623,0,33514,0,14555,3635,361002,33514,15607199,15579109,223
sandpile,./sandpile_sim,15000,8,1,4,off,asynchronous,1000,32,42.5563,1000000,15586752,0,7643,0,3165,1009,74920,7643,15586584,15579109,225
sandpile,./sandpile_sim,15000,8,1,8,off,asynchronous,1000,32,39.4467,1000000,15612099,0,32990,0,15265,3702,372120,32990,15607236,15579109,230
sandpile,./sandpile_sim,15000,8,1,12,off,asynchronous,1000,32,41.057,1000000,15609730,0,30621,0,15070,2759,331360,30621,15604670,15579109,227
sandpile,./sandpile_sim,15000,4,2,4,off,asynchronous,1000,32,28.8833,1000000,16439283,0,860174,0,307436,173783,10057824,860174,16514590,15579109,257
sandpile,./sandpile_sim,15000,4,2,8,off,asynchronous,1000,32,26.0872,1000000,16391611,0,812502,0,300927,175745,9776655,812502,16495212,15579109,268
sandpile,./sandpile_sim,15000,4,2,12,off,asynchronous,1000,32,29.025,1000000,16594937,0,1015828,0,326348,221837,11894880,1015828,16696729,15579109,257
sandpile,./sandpile_sim,15000,4,2,16,off,asynchronous,1000,32,28.1251,1000000,16339694,0,760585,0,267515,189102,9571032,760585,16482634,15579109,260
sandpile,./sandpile_sim,15000,8,2,4,off,asynchronous,1000,32,26.9177,1000000,16221569,0,642460,0,266458,165993,8848584,642460,16380141,15579109,262
sandpile,./sandpile_sim,15000,8,2,8,off,asynchronous,1000,32,26.1671,1000000,16054289,0,475180,0,232909,107290,6633356,475180,16153974,15579109,265
sandpile,./sandpile_sim,15000,8,2,12,off,asynchronous,1000,32,25.2435,1000000,16177188,0,598079,0,263828,134957,8020417,598079,16284867,15579109,269
sandpile,./sandpile_sim,15000,8,2,16,off,asynchronous,1000,32,27.9112,1000000,16211114,0,632005,0,281886,156910,8905547,632005,16362606,15579109,259
sandpile,./sandpile_sim,15000,4,4,4,off,asynchronous,1000,32,46.0407,1000000,16122397,0,543288,0,262001,130786,7976196,543288,16260784,15579109,220
sandpile,./sandpile_sim,15000,4,4,8,off,asynchronous,1000,32,45.3404,1000000,16162025,0,582916,0,273251,140872,8457760,582916,16304371,15579109,222
sandpile,./sandpile_sim,15000,4,4,12,off,asynchronous,1000,32,44.1779,1000000,16203213,0,624104,0,277524,152169,8738087,624104,16350615,15579109,223
sandpile,./sandpile_sim,15000,4,4,16,off,asynchronous,1000,32,43.2472,1000000,16113484,0,534375,0,257597,127313,7569890,534375,16241327,15579109,225
sandpile,./sandpile_sim,15000,8,4,4,off,asynchronous,1000,32,41.9133,1000000,15815182,0,236073,0,124986,54885,3393859,236073,15873424,15579109,226
sandpile,./sandpile_sim,15000,8,4,8,off,asynchronous,1000,32,50.0902,1000000,17175523,0,1596414,0,426450,457048,20297352,1596414,17495830,15579109,215
sandpile,./sandpile_sim,15000,8,4,12,off,asynchronous,1000,32,42.3602,1000000,16503234,0,924125,0,342229,252140,12863476,924125,16718071,15579109,226
sandpile,./sandpile_sim,15000,8,4,16,off,asynchronous,1000,32,42.8433,1000000,16587233,0,1008124,0,358215,279386,13881567,1008124,16817841,15579109,225
sandpile,./sandpile_sim,15000,16,1,4,off,asynchronous,1000,32,52.7492,1000000,15586878,0,7769,0,4009,2219,107449,7769,15588386,15579109,211
sandpile,./sandpile_sim,15000,16,1,8,off,asynchronous,1000,32,47.9022,1000000,15607942,0,28833,0,15167,3548,365269,28833,15605198,15579109,216
sandpile,./sandpile_sim,15000,16,1,12,off,asynchronous,1000,32,53.8265,1000000,15606409,0,27300,0,15114,2803,348559,27300,15603008,15579109,209
sandpile,./sandpile_sim,15000,16,1,16,off,asynchronous,1000,32,50.3925,1000000,15608878,0,29769,0,15561,3832,350044,29769,15605844,15579109,213
sandpile,./sandpile_sim,15000,16,2,8,off,asynchronous,1000,32,25.8356,1000000,15980153,0,401044,0,211491,93837,5977637,401044,16086546,15579109,265
sandpile,./sandpile_sim,15000,16,2,12,off,asynchronous,1000,32,25.3858,1000000,15971815,0,392706,0,202422,93097,5717955,392706,16067064,15579109,267
sandpile,./sandpile_sim,15000,16,2,16,off,asynchronous,1000,32,26.556,1000000,16120236,0,541127,0,266086,131138,8010656,541127,16261789,15579109,261
sandpile,./sandpile_sim,15000,32,2,4,off,asynchronous,1000,32,29.0453,1000000,16128801,0,549692,0,294418,133038,8691621,549692,16286655,15579109,247
sandpile,./sandpile_sim,15000,32,2,8,off,asynchronous,1000,32,29.0353,1000000,16178834,0,599725,0,310839,147712,9298384,599725,16345646,15579109,240
sandpile,./sandpile_sim,15000,32,2,12,off,asynchronous,1000,32,29.1536,1000000,16178836,0,599727,0,312971,146341,9454130,599727,16347038,15579109,242
sandpile,./sandpile_sim,15000,32,2,16,off,asynchronous,1000,32,28.0208,1000000,16133545,0,554436,0,295676,132659,8533439,554436,16287715,15579109,246
sandpile,./sandpile_sim,15000,16,4,4,off,asynchronous,1000,32,45.14,1000000,17812996,0,2233887,0,525914,642332,27331410,2233887,18225743,15579109,221
sandpile,./sandpile_sim,15000,16,4,8,off,asynchronous,1000,32,38.7729,1000000,16293907,0,714798,0,310977,185922,10454256,714798,16472996,15579109,230
sandpile,./sandpile_sim,15000,16,4,12,off,asynchronous,1000,32,46.2355,1000000,17065649,0,1486540,0,427622,431867,19536313,1486540,17381175,15579109,220
sandpile,./sandpile_sim,15000,16,4,16,off,asynchronous,1000,32,34.9903,1000000,15986619,0,407510,0,214388,93882,6026912,407510,16091356,15579109,238
sandpile,./sandpile_sim,15000,32,4,4,off,asynchronous,1000,32,34.8284,1000000,16159125,0,580016,0,273071,144780,8581928,580016,16312813,15579109,238
sandpile,./sandpile_sim,15000,32,4,8,off,asynchronous,1000,32,33.4748,1000000,15839541,0,260432,0,139463,61395,3801190,260432,15898752,15579109,241
sandpile,./sandpile_sim,15000,32,4,12,off,asynchronous,1000,32,37.3572,1000000,16718120,0,1139011,0,392258,321164,15687648,1139011,16984674,15579109,230
sandpile,./sandpile_sim,15000,32,4,16,off,asynchronous,1000,32,34.7087,1000000,15977752,0,398643,0,200178,100456,5884373,398643,16080105,15579109,238
sandpile,./sandpile_sim,15000,64,4,4,off,asynchronous,1000,32,39.4081,1000000,16714472,0,1135363,0,469979,316625,17501281,1135363,17023164,15579109,228
sandpile,./sandpile_sim,15000,16,8,4,off,asynchronous,1000,32,55.029,1000000,16020958,0,441849,0,214826,97578,6226350,441849,16109831,15579109,210
