Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim,15000,4,stl-multiset,1,off,asynchronous,1000,32,61.8468,1000000,15579126,0,17,0,20,8,323,17,15579147,15579109,204
sandpile,./sandpile_sim,15000,8,stl-multiset,1,off,asynchronous,1000,32,61.0215,1000000,15579188,0,79,0,252,24,4239,79,15579420,15579109,205
sandpile,./sandpile_sim,15000,4,stl-multiset,2,off,asynchronous,1000,32,33.7715,1000000,16508228,0,929119,0,225580,108673,7328011,929119,16486655,15579109,240
sandpile,./sandpile_sim,15000,8,stl-multiset,2,off,asynchronous,1000,32,36.9201,1000000,15775549,0,196440,0,90837,20585,2125484,196440,15771285,15579109,235
sandpile,./sandpile_sim,15000,4,stl-multiset,4,off,asynchronous,1000,32,38.82,1000000,15825419,0,246310,0,131795,37043,3380122,246310,15917434,15579109,232
sandpile,./sandpile_sim,15000,8,stl-multiset,4,off,asynchronous,1000,32,46.537,1000000,16260431,0,681322,0,224802,86999,6596088,681322,16249916,15579109,220
sandpile,./sandpile_sim,15000,16,stl-multiset,1,off,asynchronous,1000,32,83.3306,1000000,15580264,0,1155,0,1284,418,26882,1155,15581216,15579109,192
sandpile,./sandpile_sim,15000,32,stl-multiset,1,off,asynchronous,1000,32,95.0734,1000000,15593152,0,14043,0,8274,5539,244091,14043,15598014,15579109,188
sandpile,./sandpile_sim,15000,64,stl-multiset,1,off,asynchronous,1000,32,0.15748,1000000,9407,0,4876,0,1628,2705,78631,4873,10489,4530,0
sandpile,./sandpile_sim,15000,16,stl-multiset,2,off,asynchronous,1000,32,38.4612,1000000,15745546,0,166437,0,101709,27969,2609484,166437,15812749,15579109,228
sandpile,./sandpile_sim,15000,32,stl-multiset,2,off,asynchronous,1000,32,39.8522,1000000,15657326,0,78217,0,57524,10800,1313761,78217,15687114,15579109,223
sandpile,./sandpile_sim,15000,64,stl-multiset,2,off,asynchronous,1000,32,0.109281,1000000,9979,0,4124,0,1840,2322,68635,4124,11441,5847,0
sandpile,./sandpile_sim,15000,16,stl-multiset,4,off,asynchronous,1000,32,50.2003,1000000,17453765,0,1874656,0,375782,456073,19859090,1874656,17795994,15579109,215
sandpile,./sandpile_sim,15000,32,stl-multiset,4,off,asynchronous,1000,32,44.7016,1000000,15954880,0,375771,0,156623,83803,4998779,375771,16066551,15579109,219
sandpile,./sandpile_sim,15000,64,stl-multiset,4,off,asynchronous,1000,32,0.0154891,1000000,451,0,41,0,40,17,574,33,481,408,0
sandpile,./sandpile_sim,15000,16,stl-multiset,8,off,asynchronous,1000,32,51.5021,1000000,16452017,0,872908,0,242803,211675,10272096,872908,16656253,15579109,213
sandpile,./sandpile_sim,15000,32,stl-multiset,8,off,asynchronous,1000,32,52.8178,1000000,15973220,0,394111,0,149901,63573,4439718,394111,16022474,15579109,211
sandpile,./sandpile_sim,15000,64,stl-multiset,8,off,asynchronous,1000,32,40.2252,1000000,15715039,0,135930,0,94849,15620,2139916,135930,15781706,15579109,228
sandpile,./sandpile_sim,15000,16,stl-multiset,16,off,asynchronous,1000,32,65.9946,1000000,16008273,0,429164,0,179586,95880,5863240,429164,16146183,15579109,202
sandpile,./sandpile_sim,15000,32,stl-multiset,16,off,asynchronous,1000,32,84.1963,1000000,16516854,0,937745,0,246695,226943,10915087,937745,16731603,15579109,192
sandpile,./sandpile_sim,15000,64,stl-multiset,16,off,asynchronous,1000,32,79.3434,1000000,16100539,0,521430,0,191315,122635,6496518,521430,16246737,15579109,194
sandpile,./sandpile_sim,15000,4,splay-tree,1,off,asynchronous,1000,32,72.8168,1000000,15579112,0,3,0,7,0,128,3,15579116,15579109,198
sandpile,./sandpile_sim,15000,4,splay-tree,4,off,asynchronous,1000,32,38.9264,1000000,15836718,0,257609,0,118054,37949,3097931,257609,15910009,15579109,232
sandpile,./sandpile_sim,15000,16,splay-tree,16,off,asynchronous,1000,32,67.3009,1000000,15921383,0,342274,0,161862,73985,4910202,342274,16046281,15579109,201
sandpile,./sandpile_sim,15000,4,ladder-queue:16,1,off,asynchronous,1000,32,0.000319634,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,8,ladder-queue:16,1,off,asynchronous,1000,32,0.000156361,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,16,ladder-queue:16,1,off,asynchronous,1000,32,0.000140895,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,32,ladder-queue:16,1,off,asynchronous,1000,32,0.00022852,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,64,ladder-queue:16,1,off,asynchronous,1000,32,0.00104934,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,4,ladder-queue:50,1,off,asynchronous,1000,32,0.000332451,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,8,ladder-queue:50,1,off,asynchronous,1000,32,0.00027352,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,16,ladder-queue:50,1,off,asynchronous,1000,32,0.000147691,1000000,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,32,ladder-queue:50,1,off,asynchronous,1000,32,0.000710861,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,64,ladder-queue:50,1,off,asynchronous,1000,32,0.00075791,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,4,ladder-queue:96,1,off,asynchronous,1000,32,0.000475643,1000000,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,8,ladder-queue:96,1,off,asynchronous,1000,32,0.000207925,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,16,ladder-queue:96,1,off,asynchronous,1000,32,0.000122096,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,32,ladder-queue:96,1,off,asynchronous,1000,32,0.000333694,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,64,ladder-queue:96,1,off,asynchronous,1000,32,0.000822784,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,4,unsorted-bottom:16,1,off,asynchronous,1000,32,0.000324586,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,8,unsorted-bottom:16,1,off,asynchronous,1000,32,0.000218353,1000000,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,16,unsorted-bottom:16,1,off,asynchronous,1000,32,0.000310713,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,32,unsorted-bottom:16,1,off,asynchronous,1000,32,0.000875689,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,64,unsorted-bottom:16,1,off,asynchronous,1000,32,0.0014919,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,4,unsorted-bottom:50,1,off,asynchronous,1000,32,0.000306644,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,8,unsorted-bottom:50,1,off,asynchronous,1000,32,0.000189066,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,16,unsorted-bottom:50,1,off,asynchronous,1000,32,0.000280766,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,32,unsorted-bottom:50,1,off,asynchronous,1000,32,0.000312334,1000000,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,64,unsorted-bottom:50,1,off,asynchronous,1000,32,0.000799253,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,4,unsorted-bottom:96,1,off,asynchronous,1000,32,0.000328596,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,8,unsorted-bottom:96,1,off,asynchronous,1000,32,0.000160072,1000000,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim,15000,16,unsorted-bottom:96,1,off,asynchronous,1000,32,0.000391729,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,32,unsorted-bottom:96,1,off,asynchronous,1000,32,0.000292616,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,64,unsorted-bottom:96,1,off,asynchronous,1000,32,0.00132352,1000000,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim,15000,4,lockfree-unsorted-bottom:16,1,off,asynchronous,1000,32,26.991,1000000,15868078,0,288969,0,376722,4303,6082024,288969,16023359,15579109,264
sandpile,./sandpile_sim,15000,64,lockfree-unsorted-bottom:16,4,off,asynchronous,1000,32,0.039428,1000000,4624,0,1742,0,798,986,24755,1741,5373,2880,0
sandpile,./sandpile_sim,15000,64,lockfree-unsorted-bottom:50,1,off,asynchronous,1000,32,0.177173,1000000,17648,0,10564,0,3063,5918,151479,10552,19580,7083,0
sandpile,./sandpile_sim,15000,64,lockfree-unsorted-bottom:50,2,off,asynchronous,1000,32,0.00182566,1000000,166,0,12,0,10,5,140,12,176,150,0
