Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,4,4,1.0,asynchronous,1000,32,27.2728,10000,34,8483915,0,2252788,0,330081,77102,7465874,2252788,8609717,6231127,460
traffic,./traffic_sim,10000,8,4,1.0,asynchronous,1000,32,15.939,10000,34,8489348,0,2258221,0,330823,77481,7471356,2258221,8615648,6231127,504
traffic,./traffic_sim,10000,4,16,1.0,asynchronous,1000,32,25.9618,10000,34,8480425,0,2249298,0,329805,77054,7465090,2249298,8605884,6231127,467
traffic,./traffic_sim,10000,8,16,1.0,asynchronous,1000,32,14.5151,10000,34,8487490,0,2256363,0,330897,77394,7492949,2256363,8614457,6231127,516
traffic,./traffic_sim,10000,4,32,1.0,asynchronous,1000,32,27.381,10000,34,8484795,0,2253668,0,330115,77398,7486631,2253668,8610564,6231127,459
traffic,./traffic_sim,10000,8,32,1.0,asynchronous,1000,32,15.4982,10000,34,8490624,0,2259497,0,331101,77587,7485172,2259497,8617702,6231127,510
traffic,./traffic_sim,10000,4,64,1.0,asynchronous,1000,32,26.5776,10000,34,8485632,0,2254505,0,330156,77261,7472890,2254505,8612086,6231127,464
traffic,./traffic_sim,10000,8,64,1.0,asynchronous,1000,32,15.9293,10000,34,8492562,0,2261435,0,331259,77585,7483640,2261435,8619479,6231127,499
traffic,./traffic_sim,10000,4,128,1.0,asynchronous,1000,32,25.591,10000,34,8487844,0,2256717,0,329947,77425,7449234,2256717,8613572,6231127,466
traffic,./traffic_sim,10000,8,128,1.0,asynchronous,1000,32,15.6412,10000,34,8484976,0,2253849,0,330479,77142,7462130,2253849,8611100,6231127,511
traffic,./traffic_sim,10000,4,256,1.0,asynchronous,1000,32,27.4542,10000,34,8481813,0,2250686,0,329693,77025,7453225,2250686,8607400,6231127,462
traffic,./traffic_sim,10000,8,256,1.0,asynchronous,1000,32,15.0362,10000,34,8488029,0,2256902,0,330546,77346,7467824,2256902,8614024,6231127,512
