Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,4,1,32,off,asynchronous,1000,32,22.4861,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,203
traffic,./traffic_sim,10000,4,1,64,off,asynchronous,1000,32,23.3114,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,203
traffic,./traffic_sim,10000,4,1,128,off,asynchronous,1000,32,23.2335,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,211
traffic,./traffic_sim,10000,4,1,256,off,asynchronous,1000,32,24.0263,10000,6231143,0,16,0,16,0,181,16,6231143,6231127,208
traffic,./traffic_sim,10000,8,1,32,off,asynchronous,1000,32,22.4953,10000,6231129,0,2,0,2,0,35,2,6231129,6231127,202
traffic,./traffic_sim,10000,8,1,64,off,asynchronous,1000,32,19.2423,10000,6231131,0,4,0,3,0,38,4,6231131,6231127,211
traffic,./traffic_sim,10000,8,1,128,off,asynchronous,1000,32,21.2329,10000,6231176,0,49,0,43,0,695,49,6231176,6231127,205
traffic,./traffic_sim,10000,8,1,256,off,asynchronous,1000,32,20.5294,10000,6231586,0,459,0,452,2,7049,459,6231602,6231127,213
traffic,./traffic_sim,10000,4,2,32,off,asynchronous,1000,32,14.5221,10000,6235392,0,4265,0,1153,76,19580,4265,6235469,6231127,254
traffic,./traffic_sim,10000,4,2,64,off,asynchronous,1000,32,14.7934,10000,6259971,0,28844,0,3766,1022,86523,28844,6261892,6231127,260
