Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,4,1,4,off,asynchronous,1000,32,25.23,10000,7637346,0,1406219,0,739133,5628,13148212,1406219,7695226,6231127,256
traffic,./traffic_sim,10000,4,1,8,off,asynchronous,1000,32,28.4201,10000,8698247,0,2467120,0,825317,10982,15408782,2467120,8797680,6231127,283
traffic,./traffic_sim,10000,4,1,12,off,asynchronous,1000,32,31.2808,10000,9048706,0,2817579,0,827642,11527,15320570,2817579,9162032,6231127,284
traffic,./traffic_sim,10000,4,1,16,off,asynchronous,1000,32,33.1997,10000,9163249,0,2932122,0,813643,11079,15247727,2932122,9279405,6231127,285
traffic,./traffic_sim,10000,8,1,4,off,asynchronous,1000,32,18.3003,10000,7637417,0,1406290,0,739247,5644,13149356,1406290,7695387,6231127,284
traffic,./traffic_sim,10000,8,1,8,off,asynchronous,1000,32,19.1327,10000,8697948,0,2466821,0,825093,10991,15383769,2466821,8797775,6231127,309
traffic,./traffic_sim,10000,8,1,12,off,asynchronous,1000,32,21.5488,10000,9049116,0,2817989,0,828002,11499,15328643,2817989,9162736,6231127,310
traffic,./traffic_sim,10000,8,1,16,off,asynchronous,1000,32,20.345,10000,9163729,0,2932602,0,813896,11023,15250711,2932602,9280298,6231127,320
traffic,./traffic_sim,10000,4,2,4,off,asynchronous,1000,32,22.7184,10000,7665602,0,1434475,0,743342,7217,13271195,1434475,7730682,6231127,276
traffic,./traffic_sim,10000,4,2,8,off,asynchronous,1000,32,27.226,10000,8716163,0,2485036,0,828469,11990,15505407,2485036,8817778,6231127,293
traffic,./traffic_sim,10000,4,2,12,off,asynchronous,1000,32,28.4226,10000,9208610,0,2977483,0,841885,19578,15892004,2977483,9324290,6231127,324
traffic,./traffic_sim,10000,4,2,16,off,asynchronous,1000,32,28.0532,10000,9252273,0,3021146,0,823308,15545,15553025,3021146,9371695,6231127,316
traffic,./traffic_sim,10000,8,2,4,off,asynchronous,1000,32,13.7303,10000,7695790,0,1464663,0,745148,8506,13316190,1464663,7757985,6231127,327
traffic,./traffic_sim,10000,8,2,8,off,asynchronous,1000,32,16.3985,10000,8736438,0,2505311,0,829705,13178,15537239,2505311,8837151,6231127,339
