Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,4,stl-multiset,1,off,asynchronous,1000,32,32.5488,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,190
traffic,./traffic_sim,10000,8,stl-multiset,1,off,asynchronous,1000,32,31.3742,10000,6231130,0,3,0,1,0,13,3,6231130,6231127,186
traffic,./traffic_sim,10000,4,stl-multiset,2,off,asynchronous,1000,32,18.0607,10000,6326373,0,95246,0,7990,3622,225912,95246,6330938,6231127,256
traffic,./traffic_sim,10000,8,stl-multiset,2,off,asynchronous,1000,32,17.5308,10000,6248193,0,17066,0,3139,464,59620,17066,6249723,6231127,227
traffic,./traffic_sim,10000,4,stl-multiset,4,off,asynchronous,1000,32,11.9923,10000,6379682,0,148555,0,11207,4745,312011,148555,6389920,6231127,295
traffic,./traffic_sim,10000,8,stl-multiset,4,off,asynchronous,1000,32,9.49743,10000,6390163,0,159036,0,11497,6027,338403,159036,6395534,6231127,313
traffic,./traffic_sim,10000,16,stl-multiset,1,off,asynchronous,1000,32,29.3782,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,185
traffic,./traffic_sim,10000,32,stl-multiset,1,off,asynchronous,1000,32,38.0588,10000,6231129,0,2,0,1,0,21,2,6231129,6231127,174
traffic,./traffic_sim,10000,64,stl-multiset,1,off,asynchronous,1000,32,41.9252,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,172
traffic,./traffic_sim,10000,16,stl-multiset,2,off,asynchronous,1000,32,16.9595,10000,6352767,0,121640,0,9878,5150,288538,121640,6355585,6231127,245
traffic,./traffic_sim,10000,32,stl-multiset,2,off,asynchronous,1000,32,15.7885,10000,6243035,0,11908,0,2346,392,45706,11908,6245129,6231127,216
traffic,./traffic_sim,10000,64,stl-multiset,2,off,asynchronous,1000,32,15.1251,10000,6279090,0,47963,0,5800,1933,141606,47963,6283545,6231127,229
traffic,./traffic_sim,10000,16,stl-multiset,4,off,asynchronous,1000,32,9.10092,10000,6258497,0,27370,0,4643,784,92048,27370,6259223,6231127,271
traffic,./traffic_sim,10000,32,stl-multiset,4,off,asynchronous,1000,32,8.50805,10000,6376212,0,145085,0,12585,6416,350741,145085,6383015,6231127,290
traffic,./traffic_sim,10000,64,stl-multiset,4,off,asynchronous,1000,32,7.19661,10000,6251425,0,20298,0,3501,587,68737,20298,6252247,6231127,286
traffic,./traffic_sim,10000,16,stl-multiset,8,off,asynchronous,1000,32,5.54068,10000,6711592,0,480465,0,31981,18282,977558,480465,6725631,6231127,441
traffic,./traffic_sim,10000,32,stl-multiset,8,off,asynchronous,1000,32,5.18341,10000,6372455,0,141328,0,16008,5200,379473,141328,6376263,6231127,410
traffic,./traffic_sim,10000,64,stl-multiset,8,off,asynchronous,1000,32,4.53519,10000,6255247,0,24120,0,5516,646,101622,24120,6257813,6231127,419
traffic,./traffic_sim,10000,16,stl-multiset,16,off,asynchronous,1000,32,4.1642,10000,6782381,0,551254,0,47606,17994,1244685,551254,6834107,6231127,640
traffic,./traffic_sim,10000,32,stl-multiset,16,off,asynchronous,1000,32,4.15998,10000,6480303,0,249176,0,30521,8958,718242,249176,6501760,6231127,502
traffic,./traffic_sim,10000,64,stl-multiset,16,off,asynchronous,1000,32,3.58237,10000,6275708,0,44581,0,10005,1337,185113,44581,6283532,6231127,489
traffic,./traffic_sim,10000,4,splay-tree,1,off,asynchronous,1000,32,46.8593,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,177
traffic,./traffic_sim,10000,8,splay-tree,1,off,asynchronous,1000,32,48.9959,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,172
traffic,./traffic_sim,10000,4,splay-tree,2,off,asynchronous,1000,32,20.2475,10000,6279764,0,48637,0,4783,1726,119453,48637,6280413,6231127,234
traffic,./traffic_sim,10000,8,splay-tree,2,off,asynchronous,1000,32,24.9191,10000,6389532,0,158405,0,9337,6599,305515,158405,6389704,6231127,226
