Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,32,off,asynchronous,1000,32,32.6291,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1067
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,64,off,asynchronous,1000,32,30.0743,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1050
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,128,off,asynchronous,1000,32,30.069,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1050
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,256,off,asynchronous,1000,32,39.7384,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1071
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,32,off,asynchronous,1000,32,31.61,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1050
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,64,off,asynchronous,1000,32,29.9727,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1046
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,128,off,asynchronous,1000,32,32.1718,1048576,6549210,0,1,0,1,0,8,1,6549210,6549209,1044
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,256,off,asynchronous,1000,32,35.7991,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1061
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,32,off,asynchronous,1000,32,20.5097,1048576,6549210,0,1,0,2,0,1,1,6549211,6549209,1058
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,64,off,asynchronous,1000,32,22.5043,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1074
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,128,off,asynchronous,1000,32,19.8422,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1073
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,256,off,asynchronous,1000,32,20.9103,1048576,6549209,0,0,0,1,0,4,0,6549210,6549209,1067
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,32,off,asynchronous,1000,32,15.9187,1048576,6549210,0,1,0,2,0,1,1,6549211,6549209,1047
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,64,off,asynchronous,1000,32,19.6633,1048576,6549210,0,1,0,2,0,1,1,6549211,6549209,1067
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,128,off,asynchronous,1000,32,19.7007,1048576,6549210,0,1,0,2,0,1,1,6549211,6549209,1069
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,256,off,asynchronous,1000,32,17.0794,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1059
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,32,off,asynchronous,1000,32,18.0911,1048576,6549223,0,14,0,47,2,210,14,6549280,6549209,1066
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,64,off,asynchronous,1000,32,21.5094,1048576,6549213,0,4,0,27,1,135,4,6549247,6549209,1072
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,128,off,asynchronous,1000,32,21.644,1048576,6549223,0,14,0,57,2,255,14,6549293,6549209,1076
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,256,off,asynchronous,1000,32,22.2127,1048576,6549210,0,1,0,3,0,4,1,6549212,6549209,1079
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,32,off,asynchronous,1000,32,13.7007,1048576,6549215,0,6,0,25,1,126,6,6549245,6549209,1073
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,64,off,asynchronous,1000,32,12.9833,1048576,6549214,0,5,0,12,0,39,5,6549223,6549209,1067
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,128,off,asynchronous,1000,32,11.472,1048576,6549210,0,1,0,1,0,1,1,6549210,6549209,1059
