Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,4,off,asynchronous,1000,32,50.2154,1048576,7240673,0,691464,0,1453761,5438,4687943,691464,8808709,6549209,1152
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,8,off,asynchronous,1000,32,161.867,1048576,7269429,0,720220,0,1479257,5178,4798087,720220,8923486,6549209,1139
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,4,off,asynchronous,1000,32,137.611,1048576,7240670,0,691461,0,1453750,5437,4687879,691461,8808695,6549209,1205
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,8,off,asynchronous,1000,32,40.2873,1048576,7269422,0,720213,0,1479250,5175,4798064,720213,8923480,6549209,1145
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,12,off,asynchronous,1000,32,69.5691,1048576,7269424,0,720215,0,1479253,5176,4798077,720215,8923485,6549209,1171
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,16,off,asynchronous,1000,32,66.3924,1048576,7269424,0,720215,0,1479255,5176,4798083,720215,8923484,6549209,1175
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,4,off,asynchronous,1000,32,54.5294,1048576,7240673,0,691464,0,1453760,5439,4687955,691464,8808709,6549209,1154
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,8,off,asynchronous,1000,32,78.737,1048576,7269425,0,720216,0,1479250,5177,4798065,720216,8923480,6549209,1187
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,12,off,asynchronous,1000,32,77.3124,1048576,7269426,0,720217,0,1479254,5179,4798088,720217,8923482,6549209,1181
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,16,off,asynchronous,1000,32,57.5878,1048576,7269426,0,720217,0,1479251,5177,4798072,720217,8923481,6549209,1174
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,4,off,asynchronous,1000,32,158.957,1048576,7240665,0,691456,0,1453746,5439,4687918,691456,8808698,6549209,1207
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,8,off,asynchronous,1000,32,174.97,1048576,7269422,0,720213,0,1479246,5180,4798085,720213,8923484,6549209,1210
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,12,off,asynchronous,1000,32,31.359,1048576,7269432,0,720223,0,1479269,5185,4798233,720223,8923520,6549209,1140
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,16,off,asynchronous,1000,32,58.0315,1048576,7269419,0,720210,0,1479245,5174,4798073,720210,8923478,6549209,1171
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,4,off,asynchronous,1000,32,37.0728,1048576,7240672,0,691463,0,1453760,5437,4687931,691463,8808712,6549209,1169
