Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,4,stl-multiset,1,off,asynchronous,1000,32,44.5958,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1064
traffic,./traffic_sim-x1024-y1024-n5,500,8,stl-multiset,1,off,asynchronous,1000,32,43.0704,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1028
traffic,./traffic_sim-x1024-y1024-n5,500,4,stl-multiset,2,off,asynchronous,1000,32,25.2183,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1047
traffic,./traffic_sim-x1024-y1024-n5,500,8,stl-multiset,2,off,asynchronous,1000,32,24.1983,1048576,6549210,0,1,0,3,0,5,1,6549212,6549209,1035
traffic,./traffic_sim-x1024-y1024-n5,500,4,stl-multiset,4,off,asynchronous,1000,32,23.2545,1048576,6549213,0,4,0,22,0,79,4,6549235,6549209,1080
traffic,./traffic_sim-x1024-y1024-n5,500,8,stl-multiset,4,off,asynchronous,1000,32,18.5989,1048576,6549213,0,4,0,24,1,127,4,6549243,6549209,1069
traffic,./traffic_sim-x1024-y1024-n5,500,16,stl-multiset,1,off,asynchronous,1000,32,56.6988,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1022
traffic,./traffic_sim-x1024-y1024-n5,500,32,stl-multiset,1,off,asynchronous,1000,32,62.1356,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1028
traffic,./traffic_sim-x1024-y1024-n5,500,64,stl-multiset,1,off,asynchronous,1000,32,61.7179,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1029
traffic,./traffic_sim-x1024-y1024-n5,500,16,stl-multiset,2,off,asynchronous,1000,32,23.9201,1048576,6549210,0,1,0,5,0,15,1,6549214,6549209,1030
traffic,./traffic_sim-x1024-y1024-n5,500,32,stl-multiset,2,off,asynchronous,1000,32,24.6566,1048576,6549210,0,1,0,5,0,14,1,6549214,6549209,1033
traffic,./traffic_sim-x1024-y1024-n5,500,64,stl-multiset,2,off,asynchronous,1000,32,26.8893,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1038
traffic,./traffic_sim-x1024-y1024-n5,500,16,stl-multiset,4,off,asynchronous,1000,32,13.8566,1048576,6549214,0,5,0,29,1,143,5,6549248,6549209,1042
traffic,./traffic_sim-x1024-y1024-n5,500,32,stl-multiset,4,off,asynchronous,1000,32,13.9245,1048576,6549219,0,10,0,44,1,216,10,6549275,6549209,1040
traffic,./traffic_sim-x1024-y1024-n5,500,64,stl-multiset,4,off,asynchronous,1000,32,13.5871,1048576,6549211,0,2,0,15,0,60,2,6549226,6549209,1043
traffic,./traffic_sim-x1024-y1024-n5,500,16,stl-multiset,8,off,asynchronous,1000,32,9.75318,1048576,6549224,0,15,0,46,1,204,15,6549271,6549209,1051
traffic,./traffic_sim-x1024-y1024-n5,500,32,stl-multiset,8,off,asynchronous,1000,32,10.8788,1048576,6549214,0,5,0,16,0,61,5,6549231,6549209,1049
traffic,./traffic_sim-x1024-y1024-n5,500,64,stl-multiset,8,off,asynchronous,1000,32,9.8814,1048576,6549210,0,1,0,9,0,60,1,6549223,6549209,1055
traffic,./traffic_sim-x1024-y1024-n5,500,16,stl-multiset,16,off,asynchronous,1000,32,14.1155,1048576,6549220,0,11,0,45,1,224,11,6549286,6549209,1074
