Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,1,2,off,asynchronous,1000,32,46.5977,100000,10741723,0,1994270,0,2010023,0,30253690,1994270,10757476,8747453,661
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,1,3,off,asynchronous,1000,32,49.0471,100000,12100287,0,3517532,0,3154348,0,50481492,3517532,12545782,8582755,678
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,1,4,off,asynchronous,1000,32,53.6173,100000,12876905,0,4286422,0,3629404,0,59564809,4286422,13466742,8590483,683
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,2,2,off,asynchronous,1000,32,38.5323,100000,10874187,0,2132449,0,2035564,13969,30999391,2132449,10860754,8741738,750
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,2,3,off,asynchronous,1000,32,45.1796,100000,12196190,0,3615963,0,3164703,14201,51206969,3615963,12589614,8580227,740
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,2,4,off,asynchronous,1000,32,49.5528,100000,12925887,0,4337293,0,3611510,12872,59295918,4337293,13470216,8588594,741
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,3,2,off,asynchronous,1000,32,36.627,100000,10857655,0,2114975,0,2027188,11647,30748894,2114975,10844576,8742680,771
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,3,3,off,asynchronous,1000,32,44.2648,100000,12186226,0,3603568,0,3158732,12071,51106771,3603568,12578781,8582658,757
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,3,4,off,asynchronous,1000,32,48.2957,100000,12927681,0,4336548,0,3605897,11663,59148796,4336548,13467401,8591133,763
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,6,2,off,asynchronous,1000,32,39.7549,100000,11302494,0,2563332,0,2089889,36747,32390488,2563332,11317891,8739162,878
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,6,3,off,asynchronous,1000,32,50.6388,100000,12954989,0,4377938,0,3222947,67193,53754267,4377938,13387803,8577051,921
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,6,4,off,asynchronous,1000,32,56.5858,100000,13721270,0,5138412,0,3652777,82569,61900506,5138412,14316412,8582858,912
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,1,2,off,asynchronous,1000,32,45.3377,100000,10741735,0,1994288,0,2010012,0,30254666,1994288,10757459,8747447,667
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,1,3,off,asynchronous,1000,32,49.6314,100000,12100320,0,3517630,0,3154451,0,50487157,3517630,12545783,8582690,679
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,1,4,off,asynchronous,1000,32,52.6171,100000,12876850,0,4286328,0,3629306,0,59562258,4286328,13466641,8590522,686
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,2,2,off,asynchronous,1000,32,39.2234,100000,10894308,0,2152340,0,2041650,15292,31173031,2152340,10881158,8741968,748
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,2,3,off,asynchronous,1000,32,45.7873,100000,12199784,0,3619680,0,3164193,14955,51197559,3619680,12590320,8580104,739
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,2,4,off,asynchronous,1000,32,49.1966,100000,12913618,0,4324635,0,3611580,10387,59278665,4324635,13459454,8588983,739
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,3,2,off,asynchronous,1000,32,36.3308,100000,10835478,0,2092261,0,2023489,10110,30636142,2092261,10824266,8743217,770
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,3,3,off,asynchronous,1000,32,45.1408,100000,12172180,0,3589043,0,3157147,10213,51019703,3589043,12567673,8583137,752
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,3,4,off,asynchronous,1000,32,49.5903,100000,12923924,0,4332766,0,3608049,11172,59134020,4332766,13467524,8591158,761
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,6,2,off,asynchronous,1000,32,41.2691,100000,11402247,0,2662753,0,2092757,40434,32607422,2662753,11429039,8739494,899
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,6,3,off,asynchronous,1000,32,48.3519,100000,12809744,0,4233117,0,3210637,56814,53277984,4233117,13222186,8576627,897
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,6,4,off,asynchronous,1000,32,55.937,100000,13836436,0,5254087,0,3653559,86071,62035503,5254087,14435408,8582349,938
