Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,1,off,asynchronous,1000,32,53.2726,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,681
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,2,off,asynchronous,1000,32,32.9968,100000,9287365,0,104845,0,50882,36,848703,104845,9289328,9182520,773
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,3,off,asynchronous,1000,32,26.1699,100000,9280234,0,97548,0,43905,236,682272,97548,9287518,9182686,812
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,6,off,asynchronous,1000,32,28.7834,100000,9665903,0,484170,0,99569,11259,1769091,484170,9726616,9181733,946
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,splay-tree,1,off,asynchronous,1000,32,55.0194,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,681
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,splay-tree,2,off,asynchronous,1000,32,33.3772,100000,9330063,0,148432,0,68831,99,1115944,148432,9337104,9181631,783
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,1,off,asynchronous,1000,32,36.2446,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,699
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,2,off,asynchronous,1000,32,43.7444,100000,9310081,0,127611,0,55698,93,961874,127611,9310753,9182470,788
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,3,off,asynchronous,1000,32,53.9504,100000,9856723,0,677376,0,128841,9889,2258571,677376,9897119,9179347,899
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,6,off,asynchronous,1000,32,39.7674,100000,10066231,0,887251,0,152314,16337,2863076,887251,10128760,9178980,980
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,1,off,asynchronous,1000,32,35.3412,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,699
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,2,off,asynchronous,1000,32,36.2414,100000,9270713,0,87977,0,43373,34,745864,87977,9273351,9182736,781
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,3,off,asynchronous,1000,32,47.179,100000,10017477,0,837794,0,132587,15046,2496522,837794,10094879,9179683,943
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,6,off,asynchronous,1000,32,39.3404,100000,10049184,0,870097,0,148184,16179,2796711,870097,10114091,9179087,977
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,1,off,asynchronous,1000,32,35.6827,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,700
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,2,off,asynchronous,1000,32,37.3621,100000,9270721,0,88003,0,43201,33,746585,88003,9272882,9182718,791
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,3,off,asynchronous,1000,32,48.2931,100000,9938845,0,760030,0,135478,12370,2431629,760030,9969630,9178815,914
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,6,off,asynchronous,1000,32,39.2073,100000,10074030,0,895182,0,153946,17442,2935110,895182,10132530,9178848,981
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,1,off,asynchronous,1000,32,23.1758,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,724
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,2,off,asynchronous,1000,32,28.3864,100000,9189947,0,6897,0,4579,0,82160,6897,9189753,9183050,774
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,3,off,asynchronous,1000,32,56.382,100000,9958173,0,778791,0,117839,15706,2087425,778791,10002759,9179382,1020
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,6,off,asynchronous,1000,32,39.1115,100000,10047052,0,867521,0,146469,16137,2809958,867521,10107158,9179531,992
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:50,1,off,asynchronous,1000,32,22.2489,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,725
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:50,2,off,asynchronous,1000,32,39.7361,100000,9236607,0,53772,0,23375,33,441755,53772,9234925,9182835,806
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:50,3,off,asynchronous,1000,32,56.7943,100000,9957062,0,777619,0,118407,16720,2136510,777619,10002773,9179443,1036
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:50,6,off,asynchronous,1000,32,36.2024,100000,9985817,0,806070,0,134847,13340,2547890,806070,10045298,9179747,968
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,1,off,asynchronous,1000,32,22.2887,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,729
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,2,off,asynchronous,1000,32,47.1723,100000,9286845,0,104293,0,35612,185,681629,104293,9282957,9182552,813
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,3,off,asynchronous,1000,32,54.8857,100000,10058183,0,879155,0,119687,17843,2259604,879155,10119548,9179028,986
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,6,off,asynchronous,1000,32,36.1929,100000,10104077,0,924621,0,140672,17373,2705915,924621,10167163,9179456,1013
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:16,1,off,asynchronous,1000,32,24.4172,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,736
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:16,3,off,asynchronous,1000,32,12.8769,100000,3304065,0,0,0,0,0,0,0,2961987,2961987,538
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:16,6,off,asynchronous,1000,32,40.3513,100000,10063613,0,883913,0,141983,16108,2724203,883913,10121645,9179700,993
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,1,off,asynchronous,1000,32,23.39,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,734
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,2,off,asynchronous,1000,32,33.1162,100000,9208706,0,25770,0,15354,0,264627,25770,9208168,9182936,779
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,3,off,asynchronous,1000,32,61.9847,100000,9939808,0,760697,0,117938,14539,2091902,760697,9987313,9179111,994
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,6,off,asynchronous,1000,32,35.2081,100000,9855206,0,675281,0,119175,8630,2174915,675281,9867044,9179925,973
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:96,2,off,asynchronous,1000,32,42.3559,100000,9254746,0,72011,0,30432,42,569805,72011,9252613,9182735,814
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:96,6,off,asynchronous,1000,32,38.1615,100000,9893312,0,713431,0,130514,9280,2388927,713431,9937807,9179881,940
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,1,off,asynchronous,1000,32,54.59,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,682
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,2,off,asynchronous,1000,32,32.0183,100000,9280218,0,97630,0,48505,30,795106,97630,9282884,9182588,771
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,3,off,asynchronous,1000,32,26.1925,100000,9288673,0,106035,0,45630,263,713732,106035,9296440,9182638,816
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,stl-multiset,6,off,asynchronous,1000,32,28.2506,100000,9614308,0,432143,0,87777,10297,1596970,432143,9669568,9182165,928
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,splay-tree,1,off,asynchronous,1000,32,55.1618,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,682
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,splay-tree,2,off,asynchronous,1000,32,34.0707,100000,9328020,0,146081,0,67280,107,1100883,146081,9337419,9181939,784
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,1,off,asynchronous,1000,32,36.2623,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,697
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,2,off,asynchronous,1000,32,37.1306,100000,9270325,0,87592,0,43285,35,744799,87592,9272884,9182733,780
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,3,off,asynchronous,1000,32,47.9564,100000,9935595,0,756381,0,136469,13078,2490405,756381,9979340,9179214,905
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:16,6,off,asynchronous,1000,32,39.2707,100000,10086721,0,907846,0,156696,17719,2956810,907846,10158042,9178875,985
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,1,off,asynchronous,1000,32,34.8876,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,700
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,2,off,asynchronous,1000,32,37.7347,100000,9264120,0,81359,0,40266,33,682181,81359,9265548,9182761,785
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,3,off,asynchronous,1000,32,48.9498,100000,9870048,0,690123,0,132305,10407,2403650,690123,9931854,9179925,912
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:50,6,off,asynchronous,1000,32,39.8082,100000,10017073,0,838163,0,146063,13358,2729216,838163,10070283,9178910,962
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,1,off,asynchronous,1000,32,35.8529,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,703
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,2,off,asynchronous,1000,32,36.2379,100000,9262374,0,79580,0,39547,34,671686,79580,9264220,9182794,782
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,3,off,asynchronous,1000,32,49.2889,100000,9897964,0,719017,0,140410,11257,2475759,719017,9947509,9178947,914
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,ladder-queue:96,6,off,asynchronous,1000,32,39.8921,100000,10059712,0,880962,0,151899,15889,2843055,880962,10121649,9178750,980
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,1,off,asynchronous,1000,32,23.158,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,725
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,2,off,asynchronous,1000,32,43.42,100000,9292172,0,109647,0,34981,278,678882,109647,9288300,9182525,805
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,3,off,asynchronous,1000,32,59.37,100000,10007370,0,827943,0,119384,15635,2274978,827943,10047068,9179427,989
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:16,6,off,asynchronous,1000,32,36.7608,100000,9936408,0,756578,0,127295,11422,2394357,756578,9976933,9179830,945
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:50,1,off,asynchronous,1000,32,22.3067,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,726
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:50,2,off,asynchronous,1000,32,37.395,100000,9227511,0,44666,0,20335,26,393530,44666,9226073,9182845,789
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:50,6,off,asynchronous,1000,32,35.2003,100000,10014607,0,835021,0,135485,14908,2591328,835021,10068832,9179586,972
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,1,off,asynchronous,1000,32,22.6271,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,732
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,2,off,asynchronous,1000,32,41.1637,100000,9249702,0,66936,0,26986,46,513386,66936,9247508,9182766,795
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,3,off,asynchronous,1000,32,59.3544,100000,10206870,0,1028114,0,116044,20856,2253732,1028114,10288653,9178756,966
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,unsorted-bottom:96,6,off,asynchronous,1000,32,36.1588,100000,9967542,0,787439,0,136628,13868,2593172,787439,10026796,9180103,968
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:16,1,off,asynchronous,1000,32,24.395,100000,9183080,0,26,0,14,0,63,26,9183068,9183054,728
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:16,2,off,asynchronous,1000,32,17.9324,100000,5574961,0,0,0,0,0,0,0,5272028,5272028,693
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:16,3,off,asynchronous,1000,32,16.161,100000,6032441,0,181,0,166,0,1819,176,5695228,5695047,635
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:16,6,off,asynchronous,1000,32,39.2522,100000,9963859,0,784205,0,130886,11239,2470572,784205,10002130,9179654,936
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,1,off,asynchronous,1000,32,24.1739,100000,9183122,0,68,0,36,0,161,68,9183090,9183054,724
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,2,off,asynchronous,1000,32,31.3742,100000,8902036,0,21400,0,12830,0,230948,21322,8761725,8740741,777
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,3,off,asynchronous,1000,32,13.335,100000,3803627,0,0,0,0,0,0,0,3415719,3415719,594
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:50,6,off,asynchronous,1000,32,36.2903,100000,9900179,0,720247,0,121221,10098,2244788,720247,9939607,9179932,930
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:96,3,off,asynchronous,1000,32,14.9071,100000,5651687,0,3704,0,2776,0,47337,3356,5237752,5234106,657
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,6,lockfree-unsorted-bottom:96,6,off,asynchronous,1000,32,36.8845,100000,9934586,0,754819,0,126406,10825,2361621,754819,9969697,9179767,934
