Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,32,off,asynchronous,1000,32,41.1037,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,420
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,64,off,asynchronous,1000,32,35.0724,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,425
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,128,off,asynchronous,1000,32,32.6373,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,435
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,256,off,asynchronous,1000,32,32.7385,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,438
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,32,off,asynchronous,1000,32,20.0903,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,465
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,64,off,asynchronous,1000,32,20.0752,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,454
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,128,off,asynchronous,1000,32,20.6266,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,468
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,256,off,asynchronous,1000,32,20.9613,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,468
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,32,off,asynchronous,1000,32,18.7592,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,478
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,64,off,asynchronous,1000,32,19.7447,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,481
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,128,off,asynchronous,1000,32,20.0684,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,479
