Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,1,32,off,asynchronous,1000,32,15.7171,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,548
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,1,64,off,asynchronous,1000,32,15.5321,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,555
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,1,128,off,asynchronous,1000,32,15.46,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,547
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,1,256,off,asynchronous,1000,32,15.944,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,547
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,2,32,off,asynchronous,1000,32,16.1699,10000,3958010,0,64521,0,18550,112,310798,64521,3955695,3893489,544
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,2,64,off,asynchronous,1000,32,15.962,10000,3926654,0,33165,0,11376,30,184829,33165,3925291,3893489,544
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,2,128,off,asynchronous,1000,32,15.8757,10000,3933385,0,39901,0,12041,65,199111,39901,3931362,3893484,544
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,2,256,off,asynchronous,1000,32,16.564,10000,3941271,0,47782,0,14983,60,248140,47782,3939750,3893489,539
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,3,32,off,asynchronous,1000,32,16.12,10000,3985054,0,91568,0,21286,388,361412,91568,3981884,3893486,552
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,3,64,off,asynchronous,1000,32,16.4793,10000,3978753,0,85264,0,19459,392,324134,85264,3977494,3893489,547
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,3,128,off,asynchronous,1000,32,16.3394,10000,3968173,0,74684,0,18730,264,309180,74684,3966171,3893489,545
