Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,6,1,2,off,asynchronous,1000,32,21.6913,10000,4931236,0,1149057,0,1233055,0,22576964,1149057,5015234,3782179,289
epidemic,./epidemic_sim,15000,6,1,3,off,asynchronous,1000,32,24.5426,10000,5833723,0,2092113,0,1789534,0,36241939,2092113,6021550,3741610,277
epidemic,./epidemic_sim,15000,6,1,4,off,asynchronous,1000,32,26.4383,10000,6319122,0,2596392,0,2055348,0,43454680,2596392,6497439,3722730,271
epidemic,./epidemic_sim,15000,6,2,2,off,asynchronous,1000,32,19.5026,10000,4930568,0,1148150,0,1234572,23,22619615,1148150,5017185,3782418,303
epidemic,./epidemic_sim,15000,6,2,3,off,asynchronous,1000,32,22.8522,10000,5833460,0,2090910,0,1788776,26,36289258,2090910,6027456,3742550,288
epidemic,./epidemic_sim,15000,6,2,4,off,asynchronous,1000,32,25.1603,10000,6321626,0,2597623,0,2054774,17,43651048,2597623,6510857,3724003,281
epidemic,./epidemic_sim,15000,6,3,2,off,asynchronous,1000,32,17.7183,10000,4930823,0,1148166,0,1234776,0,22600500,1148166,5017433,3782657,305
epidemic,./epidemic_sim,15000,6,3,3,off,asynchronous,1000,32,21.8874,10000,5834595,0,2091776,0,1788619,94,36582616,2091776,6031843,3742819,300
epidemic,./epidemic_sim,15000,6,3,4,off,asynchronous,1000,32,23.5504,10000,6320356,0,2596547,0,2054673,95,43332632,2596547,6516383,3723809,298
epidemic,./epidemic_sim,15000,6,6,2,off,asynchronous,1000,32,17.5942,10000,4935086,0,1152439,0,1234357,197,22703961,1152439,5021172,3782647,331
epidemic,./epidemic_sim,15000,6,6,3,off,asynchronous,1000,32,20.7964,10000,5833451,0,2091012,0,1788556,156,36316781,2091012,6035351,3742439,306
epidemic,./epidemic_sim,15000,6,6,4,off,asynchronous,1000,32,23.2616,10000,6323055,0,2597466,0,2054245,189,43264581,2597466,6530667,3725589,304
epidemic,./epidemic_sim,15000,6,1,2,off,asynchronous,1000,32,21.8694,10000,4930771,0,1148815,0,1233035,0,22522227,1148815,5014991,3781956,287
epidemic,./epidemic_sim,15000,6,1,3,off,asynchronous,1000,32,24.8134,10000,5832441,0,2090386,0,1788275,0,36446435,2090386,6021877,3742055,276
epidemic,./epidemic_sim,15000,6,1,4,off,asynchronous,1000,32,26.6924,10000,6319543,0,2596327,0,2055000,0,43418131,2596327,6497060,3723216,271
epidemic,./epidemic_sim,15000,6,2,2,off,asynchronous,1000,32,19.494,10000,4932648,0,1150986,0,1234140,133,22549614,1150986,5018202,3781662,320
epidemic,./epidemic_sim,15000,6,2,3,off,asynchronous,1000,32,22.7174,10000,5833029,0,2090054,0,1788553,3,36281905,2090054,6027963,3742975,286
epidemic,./epidemic_sim,15000,6,2,4,off,asynchronous,1000,32,24.6624,10000,6320784,0,2596593,0,2053056,41,43521406,2596593,6510608,3724191,286
epidemic,./epidemic_sim,15000,6,3,2,off,asynchronous,1000,32,18.7144,10000,4930972,0,1148425,0,1234065,41,22715378,1148425,5017380,3782547,319
epidemic,./epidemic_sim,15000,6,3,3,off,asynchronous,1000,32,21.7407,10000,5833301,0,2090768,0,1789210,22,36428563,2090768,6029555,3742533,293
epidemic,./epidemic_sim,15000,6,3,4,off,asynchronous,1000,32,23.0706,10000,6317920,0,2594620,0,2054771,9,43244456,2594620,6515171,3723300,285
epidemic,./epidemic_sim,15000,6,6,2,off,asynchronous,1000,32,17.4708,10000,4933088,0,1150353,0,1234269,110,22688777,1150353,5019325,3782735,328
epidemic,./epidemic_sim,15000,6,6,3,off,asynchronous,1000,32,21.3872,10000,5834928,0,2092584,0,1788810,242,36345381,2092584,6037142,3742344,312
epidemic,./epidemic_sim,15000,6,6,4,off,asynchronous,1000,32,22.7228,10000,6327595,0,2602015,0,2054377,322,43383632,2602015,6534930,3725580,312
