Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,6,stl-multiset,1,off,asynchronous,1000,32,19.8857,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,507
epidemic,./epidemic_sim,15000,6,stl-multiset,2,off,asynchronous,1000,32,14.9451,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,526
epidemic,./epidemic_sim,15000,6,stl-multiset,3,off,asynchronous,1000,32,14.368,10000,3893537,0,104,0,24,0,373,104,3893539,3893433,547
epidemic,./epidemic_sim,15000,6,stl-multiset,6,off,asynchronous,1000,32,14.1299,10000,3894014,0,581,0,84,12,1317,581,3893992,3893433,561
epidemic,./epidemic_sim,15000,6,splay-tree,1,off,asynchronous,1000,32,19.8449,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,507
epidemic,./epidemic_sim,15000,6,splay-tree,2,off,asynchronous,1000,32,15.1332,10000,3893440,0,7,0,3,0,68,7,3893439,3893433,521
epidemic,./epidemic_sim,15000,6,splay-tree,3,off,asynchronous,1000,32,14.1573,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,526
epidemic,./epidemic_sim,15000,6,splay-tree,6,off,asynchronous,1000,32,14.0283,10000,3893746,0,313,0,66,0,1129,313,3893744,3893433,567
epidemic,./epidemic_sim,15000,6,ladder-queue:16,1,off,asynchronous,1000,32,18.441,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,513
epidemic,./epidemic_sim,15000,6,ladder-queue:16,2,off,asynchronous,1000,32,15.1156,10000,3893462,0,29,0,12,0,244,29,3893459,3893433,526
epidemic,./epidemic_sim,15000,6,ladder-queue:16,3,off,asynchronous,1000,32,14.2296,10000,3893452,0,19,0,11,0,215,19,3893452,3893433,545
epidemic,./epidemic_sim,15000,6,ladder-queue:16,6,off,asynchronous,1000,32,13.9867,10000,3893555,0,122,0,37,1,522,122,3893553,3893433,558
epidemic,./epidemic_sim,15000,6,ladder-queue:50,1,off,asynchronous,1000,32,18.3342,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,517
epidemic,./epidemic_sim,15000,6,ladder-queue:50,2,off,asynchronous,1000,32,15.1223,10000,3893455,0,22,0,11,0,189,22,3893454,3893433,524
epidemic,./epidemic_sim,15000,6,ladder-queue:50,3,off,asynchronous,1000,32,13.898,10000,3893437,0,4,0,2,0,82,4,3893437,3893433,533
epidemic,./epidemic_sim,15000,6,ladder-queue:50,6,off,asynchronous,1000,32,13.7093,10000,3893610,0,177,0,53,0,705,177,3893607,3893433,563
epidemic,./epidemic_sim,15000,6,ladder-queue:96,1,off,asynchronous,1000,32,18.3787,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,516
epidemic,./epidemic_sim,15000,6,ladder-queue:96,2,off,asynchronous,1000,32,15.1395,10000,3893490,0,57,0,18,0,383,57,3893486,3893433,529
epidemic,./epidemic_sim,15000,6,ladder-queue:96,3,off,asynchronous,1000,32,13.9813,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,537
epidemic,./epidemic_sim,15000,6,ladder-queue:96,6,off,asynchronous,1000,32,14.0151,10000,3893920,0,487,0,106,1,1649,487,3893896,3893433,573
epidemic,./epidemic_sim,15000,6,unsorted-bottom:16,1,off,asynchronous,1000,32,15.571,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,535
epidemic,./epidemic_sim,15000,6,unsorted-bottom:16,2,off,asynchronous,1000,32,14.6241,10000,3893683,0,250,0,41,7,763,250,3893676,3893433,545
epidemic,./epidemic_sim,15000,6,unsorted-bottom:16,3,off,asynchronous,1000,32,14.1023,10000,3893474,0,41,0,11,0,191,41,3893475,3893433,541
epidemic,./epidemic_sim,15000,6,unsorted-bottom:16,6,off,asynchronous,1000,32,13.9394,10000,3893516,0,83,0,29,1,483,83,3893516,3893433,551
epidemic,./epidemic_sim,15000,6,unsorted-bottom:50,1,off,asynchronous,1000,32,15.6542,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,535
epidemic,./epidemic_sim,15000,6,unsorted-bottom:50,2,off,asynchronous,1000,32,14.7146,10000,3893618,0,185,0,31,3,620,185,3893623,3893433,548
epidemic,./epidemic_sim,15000,6,unsorted-bottom:50,3,off,asynchronous,1000,32,14.156,10000,3893493,0,60,0,18,0,290,60,3893488,3893433,547
epidemic,./epidemic_sim,15000,6,unsorted-bottom:50,6,off,asynchronous,1000,32,13.9,10000,3893537,0,104,0,43,0,693,104,3893531,3893433,559
epidemic,./epidemic_sim,15000,6,unsorted-bottom:96,1,off,asynchronous,1000,32,15.6361,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,544
epidemic,./epidemic_sim,15000,6,unsorted-bottom:96,2,off,asynchronous,1000,32,14.9494,10000,3893931,0,498,0,57,12,1163,498,3893935,3893433,561
epidemic,./epidemic_sim,15000,6,unsorted-bottom:96,3,off,asynchronous,1000,32,14.0758,10000,3893499,0,66,0,21,0,278,66,3893494,3893433,549
epidemic,./epidemic_sim,15000,6,unsorted-bottom:96,6,off,asynchronous,1000,32,14.1491,10000,3893489,0,56,0,20,0,349,56,3893490,3893433,549
epidemic,./epidemic_sim,15000,6,lockfree-unsorted-bottom:16,3,off,asynchronous,1000,32,4.78228,10000,800746,0,0,0,0,0,0,0,771493,771493,526
epidemic,./epidemic_sim,15000,6,lockfree-unsorted-bottom:16,6,off,asynchronous,1000,32,13.9756,10000,3893482,0,49,0,19,0,367,49,3893480,3893433,553
epidemic,./epidemic_sim,15000,6,lockfree-unsorted-bottom:50,3,off,asynchronous,1000,32,5.98739,10000,856713,0,0,0,0,0,0,0,827423,827423,490
epidemic,./epidemic_sim,15000,6,lockfree-unsorted-bottom:50,6,off,asynchronous,1000,32,14.1327,10000,3893635,0,202,0,56,0,858,202,3893631,3893433,563
epidemic,./epidemic_sim,15000,6,lockfree-unsorted-bottom:96,3,off,asynchronous,1000,32,2.34507,10000,580169,0,0,0,0,0,0,0,547916,547916,528
epidemic,./epidemic_sim,15000,6,lockfree-unsorted-bottom:96,6,off,asynchronous,1000,32,14.3089,10000,3893730,0,297,0,78,0,1099,297,3893721,3893433,556
epidemic,./epidemic_sim,15000,6,stl-multiset,1,off,asynchronous,1000,32,19.4182,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,504
epidemic,./epidemic_sim,15000,6,stl-multiset,2,off,asynchronous,1000,32,14.8559,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,526
epidemic,./epidemic_sim,15000,6,stl-multiset,3,off,asynchronous,1000,32,14.0044,10000,3893436,0,3,0,2,0,46,3,3893435,3893433,537
epidemic,./epidemic_sim,15000,6,stl-multiset,6,off,asynchronous,1000,32,14.1537,10000,3894071,0,638,0,148,3,2760,638,3894053,3893433,584
epidemic,./epidemic_sim,15000,6,splay-tree,1,off,asynchronous,1000,32,19.8874,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,508
epidemic,./epidemic_sim,15000,6,splay-tree,2,off,asynchronous,1000,32,15.0532,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,520
epidemic,./epidemic_sim,15000,6,splay-tree,3,off,asynchronous,1000,32,14.4943,10000,3893504,0,71,0,18,0,269,71,3893507,3893433,540
epidemic,./epidemic_sim,15000,6,splay-tree,6,off,asynchronous,1000,32,13.71,10000,3893670,0,237,0,74,0,1311,237,3893671,3893433,548
epidemic,./epidemic_sim,15000,6,ladder-queue:16,1,off,asynchronous,1000,32,18.3032,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,514
epidemic,./epidemic_sim,15000,6,ladder-queue:16,2,off,asynchronous,1000,32,14.9565,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,520
