Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,6,4,1.0,asynchronous,1000,32,25.8488,10000,18,8187461,0,2342472,0,660128,190621,16716553,2342472,8442259,5844989,362
pcs,./pcs_sim,500,6,16,1.0,asynchronous,1000,32,25.848,10000,18,8171327,0,2326338,0,657915,188870,16615512,2326338,8433109,5844989,357
pcs,./pcs_sim,500,6,32,1.0,asynchronous,1000,32,25.5861,10000,18,8154681,0,2309692,0,655551,186173,16489163,2309692,8408211,5844989,354
pcs,./pcs_sim,500,6,64,1.0,asynchronous,1000,32,25.9117,10000,18,8190152,0,2345163,0,659864,191192,16644143,2345163,8449947,5844989,365
pcs,./pcs_sim,500,6,128,1.0,asynchronous,1000,32,26.1517,10000,18,8164824,0,2319835,0,657016,187303,16658192,2319835,8415914,5844989,357
pcs,./pcs_sim,500,6,256,1.0,asynchronous,1000,32,25.8319,10000,18,8138954,0,2293965,0,653143,183673,16365545,2293965,8386152,5844989,354
pcs,./pcs_sim,500,6,0,0.75,asynchronous,1000,32,25.9067,10000,18,8171494,0,2326505,0,656657,188027,16613449,2326505,8424105,5844989,359
pcs,./pcs_sim,500,6,0,0.50,asynchronous,1000,32,26.2196,10000,18,8204997,0,2360008,0,662412,192455,16847569,2360008,8462053,5844989,366
pcs,./pcs_sim,500,6,0,0.25,asynchronous,1000,32,25.2985,10000,18,8130139,0,2285150,0,651359,182099,16339668,2285150,8371891,5844989,356
pcs,./pcs_sim,500,6,0,0.05,asynchronous,1000,32,25.5975,10000,18,8138224,0,2293235,0,652542,183557,16409106,2293235,8386607,5844989,351
pcs,./pcs_sim,500,6,4,1.0,asynchronous,1000,32,26.1759,10000,18,8183748,0,2338759,0,660340,191154,16697004,2338759,8449806,5844989,367
pcs,./pcs_sim,500,6,16,1.0,asynchronous,1000,32,25.9058,10000,18,8177199,0,2332210,0,657665,188973,16672078,2332210,8432446,5844989,363
pcs,./pcs_sim,500,6,32,1.0,asynchronous,1000,32,26.1885,10000,18,8193943,0,2348954,0,661739,191664,16808485,2348954,8453714,5844989,365
pcs,./pcs_sim,500,6,64,1.0,asynchronous,1000,32,26.0075,10000,18,8186009,0,2341020,0,659193,190576,16703718,2341020,8439192,5844989,359
pcs,./pcs_sim,500,6,128,1.0,asynchronous,1000,32,25.9019,10000,18,8162846,0,2317857,0,656774,187548,16483213,2317857,8421493,5844989,356
pcs,./pcs_sim,500,6,256,1.0,asynchronous,1000,32,25.4305,10000,18,8134821,0,2289832,0,652060,182575,16399456,2289832,8377111,5844989,348
pcs,./pcs_sim,500,6,0,0.75,asynchronous,1000,32,26.0899,10000,18,8171760,0,2326771,0,658155,188794,16715098,2326771,8429890,5844989,360
pcs,./pcs_sim,500,6,0,0.50,asynchronous,1000,32,25.8912,10000,18,8165141,0,2320152,0,656949,187857,16604680,2320152,8419431,5844989,359
pcs,./pcs_sim,500,6,0,0.25,asynchronous,1000,32,25.5831,10000,18,8127910,0,2282921,0,651720,182165,16424368,2282921,8372440,5844989,352
pcs,./pcs_sim,500,6,0,0.05,asynchronous,1000,32,25.9097,10000,18,8177707,0,2332718,0,658893,189322,16678123,2332718,8432827,5844989,359
