Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,6,1,32,off,asynchronous,1000,32,25.2275,10000,5844993,0,4,0,3,1,81,4,5844993,5844989,193
pcs,./pcs_sim,500,6,1,64,off,asynchronous,1000,32,21.9686,10000,5844993,0,4,0,3,1,51,4,5844993,5844989,200
pcs,./pcs_sim,500,6,1,128,off,asynchronous,1000,32,20.014,10000,5845141,0,152,0,97,10,1970,152,5845141,5844989,201
pcs,./pcs_sim,500,6,1,256,off,asynchronous,1000,32,20.0156,10000,5845286,0,297,0,223,70,4855,297,5845286,5844989,205
pcs,./pcs_sim,500,6,2,32,off,asynchronous,1000,32,12.2371,10000,5845612,0,623,0,597,7,9708,623,5845889,5844989,227
pcs,./pcs_sim,500,6,2,64,off,asynchronous,1000,32,12.5939,10000,5846380,0,1391,0,913,71,16003,1391,5846419,5844989,221
pcs,./pcs_sim,500,6,2,128,off,asynchronous,1000,32,12.5693,10000,5846502,0,1513,0,1038,52,18029,1513,5846707,5844989,225
pcs,./pcs_sim,500,6,2,256,off,asynchronous,1000,32,13.4255,10000,5855259,0,10270,0,4885,903,100093,10270,5859041,5844989,225
pcs,./pcs_sim,500,6,3,32,off,asynchronous,1000,32,11.0093,10000,5860498,0,15509,0,6291,542,111159,15509,5861974,5844989,244
pcs,./pcs_sim,500,6,3,64,off,asynchronous,1000,32,11.0046,10000,5851744,0,6755,0,3393,390,61584,6755,5852073,5844989,238
pcs,./pcs_sim,500,6,3,128,off,asynchronous,1000,32,11.5246,10000,5863514,0,18525,0,7659,1371,155779,18525,5864640,5844989,239
pcs,./pcs_sim,500,6,3,256,off,asynchronous,1000,32,11.6698,10000,5858526,0,13537,0,6240,1085,126094,13537,5863347,5844989,232
pcs,./pcs_sim,500,6,6,32,off,asynchronous,1000,32,11.2773,10000,5958873,0,113884,0,29409,13741,784298,113884,5991063,5844989,259
pcs,./pcs_sim,500,6,6,64,off,asynchronous,1000,32,11.0795,10000,5966155,0,121166,0,29290,11980,743366,121166,5975957,5844989,258
pcs,./pcs_sim,500,6,6,128,off,asynchronous,1000,32,11.2837,10000,5943744,0,98755,0,25837,8119,604288,98755,5949329,5844989,248
pcs,./pcs_sim,500,6,6,256,off,asynchronous,1000,32,10.8547,10000,5901462,0,56473,0,21326,4198,434283,56473,5910425,5844989,250
pcs,./pcs_sim,500,6,1,32,off,asynchronous,1000,32,25.0452,10000,5844993,0,4,0,3,1,85,4,5844993,5844989,195
pcs,./pcs_sim,500,6,1,64,off,asynchronous,1000,32,22.0416,10000,5844999,0,10,0,7,3,167,10,5844999,5844989,200
pcs,./pcs_sim,500,6,1,128,off,asynchronous,1000,32,19.8997,10000,5845107,0,118,0,73,9,1444,118,5845107,5844989,201
pcs,./pcs_sim,500,6,1,256,off,asynchronous,1000,32,20.0352,10000,5845264,0,275,0,202,69,4523,275,5845264,5844989,205
pcs,./pcs_sim,500,6,2,32,off,asynchronous,1000,32,11.984,10000,5846923,0,1934,0,1240,49,21446,1934,5846945,5844989,228
pcs,./pcs_sim,500,6,2,64,off,asynchronous,1000,32,12.576,10000,5848324,0,3335,0,1802,283,34262,3335,5848527,5844989,223
pcs,./pcs_sim,500,6,2,128,off,asynchronous,1000,32,12.6048,10000,5851857,0,6868,0,3650,551,67890,6868,5852523,5844989,227
pcs,./pcs_sim,500,6,2,256,off,asynchronous,1000,32,13.0276,10000,5849846,0,4857,0,2842,369,53105,4857,5850177,5844989,223
pcs,./pcs_sim,500,6,3,32,off,asynchronous,1000,32,10.7245,10000,5852050,0,7061,0,3391,332,59438,7061,5852907,5844989,233
pcs,./pcs_sim,500,6,3,64,off,asynchronous,1000,32,11.0781,10000,5856242,0,11253,0,5070,796,99368,11253,5856585,5844989,241
pcs,./pcs_sim,500,6,3,128,off,asynchronous,1000,32,11.6117,10000,5873622,0,28633,0,10320,1606,215476,28633,5876471,5844989,238
pcs,./pcs_sim,500,6,3,256,off,asynchronous,1000,32,12.0297,10000,5865283,0,20294,0,8320,1765,175212,20294,5869758,5844989,241
pcs,./pcs_sim,500,6,6,32,off,asynchronous,1000,32,11.0651,10000,5915846,0,70857,0,22678,6776,506790,70857,5929660,5844989,249
pcs,./pcs_sim,500,6,6,64,off,asynchronous,1000,32,11.2595,10000,5985031,0,140042,0,33999,12862,839329,140042,6010600,5844989,264
pcs,./pcs_sim,500,6,6,128,off,asynchronous,1000,32,10.7923,10000,5911579,0,66590,0,21402,5444,462364,66590,5920166,5844989,253
pcs,./pcs_sim,500,6,6,256,off,asynchronous,1000,32,11.129,10000,5957024,0,112035,0,30199,9049,700502,112035,5970570,5844989,260
