Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,6,1,2,off,asynchronous,1000,32,19.2388,10000,6158039,0,313050,0,342347,5337,6099426,313050,6192673,5844989,223
pcs,./pcs_sim,500,6,1,3,off,asynchronous,1000,32,19.0511,10000,6558245,0,713256,0,514920,13774,9284121,713256,6635543,5844989,241
pcs,./pcs_sim,500,6,1,4,off,asynchronous,1000,32,20.0779,10000,6943826,0,1098837,0,596075,22045,11370215,1098837,7061264,5844989,254
pcs,./pcs_sim,500,6,2,2,off,asynchronous,1000,32,15.1427,10000,6164501,0,319512,0,349099,5581,6232300,319512,6201885,5844989,239
pcs,./pcs_sim,500,6,2,3,off,asynchronous,1000,32,16.076,10000,6560745,0,715756,0,516839,14311,9353810,715756,6641720,5844989,247
pcs,./pcs_sim,500,6,2,4,off,asynchronous,1000,32,17.7447,10000,6947588,0,1102599,0,597958,22677,11331833,1102599,7066846,5844989,260
pcs,./pcs_sim,500,6,3,2,off,asynchronous,1000,32,13.6929,10000,6171001,0,326012,0,351621,5911,6251702,326012,6208460,5844989,245
pcs,./pcs_sim,500,6,3,3,off,asynchronous,1000,32,15.1618,10000,6573730,0,728741,0,522374,14572,9481609,728741,6652265,5844989,256
pcs,./pcs_sim,500,6,3,4,off,asynchronous,1000,32,16.6751,10000,6963691,0,1118702,0,601221,23599,11438453,1118702,7081151,5844989,263
pcs,./pcs_sim,500,6,6,2,off,asynchronous,1000,32,13.9854,10000,6222381,0,377392,0,369231,11115,6731847,377392,6272723,5844989,251
pcs,./pcs_sim,500,6,6,3,off,asynchronous,1000,32,15.6461,10000,6611521,0,766532,0,530978,18607,9797490,766532,6699832,5844989,251
pcs,./pcs_sim,500,6,6,4,off,asynchronous,1000,32,17.2982,10000,7014851,0,1169862,0,612711,29514,11858860,1169862,7151638,5844989,260
pcs,./pcs_sim,500,6,1,2,off,asynchronous,1000,32,19.2316,10000,6157782,0,312793,0,342641,5408,6102513,312793,6193038,5844989,221
pcs,./pcs_sim,500,6,1,3,off,asynchronous,1000,32,19.5828,10000,6556675,0,711686,0,514216,14053,9333074,711686,6634404,5844989,236
pcs,./pcs_sim,500,6,1,4,off,asynchronous,1000,32,20.4434,10000,6944623,0,1099634,0,596235,22392,11338266,1099634,7061670,5844989,249
pcs,./pcs_sim,500,6,2,2,off,asynchronous,1000,32,14.8596,10000,6162200,0,317211,0,346393,5411,6183257,317211,6197201,5844989,239
pcs,./pcs_sim,500,6,2,3,off,asynchronous,1000,32,16.2286,10000,6563795,0,718806,0,518353,14152,9383968,718806,6642682,5844989,250
pcs,./pcs_sim,500,6,2,4,off,asynchronous,1000,32,17.5914,10000,6948060,0,1103071,0,598014,22321,11394253,1103071,7065463,5844989,259
pcs,./pcs_sim,500,6,3,2,off,asynchronous,1000,32,13.5798,10000,6167482,0,322493,0,350280,5550,6254137,322493,6203164,5844989,244
pcs,./pcs_sim,500,6,3,3,off,asynchronous,1000,32,15.4615,10000,6572199,0,727210,0,520386,14831,9485304,727210,6651497,5844989,249
pcs,./pcs_sim,500,6,3,4,off,asynchronous,1000,32,16.6554,10000,6953243,0,1108254,0,599761,22998,11401528,1108254,7073211,5844989,262
pcs,./pcs_sim,500,6,6,2,off,asynchronous,1000,32,14.1642,10000,6220923,0,375934,0,370746,10504,6730085,375934,6270718,5844989,256
pcs,./pcs_sim,500,6,6,3,off,asynchronous,1000,32,15.5786,10000,6609189,0,764200,0,535042,17823,9836944,764200,6696870,5844989,249
pcs,./pcs_sim,500,6,6,4,off,asynchronous,1000,32,17.0886,10000,6997007,0,1152018,0,609902,26300,11668597,1152018,7122810,5844989,270
