Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,6,stl-multiset,1,off,asynchronous,1000,32,23.9131,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,196
pcs,./pcs_sim,500,6,stl-multiset,2,off,asynchronous,1000,32,13.746,10000,5847532,0,2543,0,1753,63,28664,2543,5847768,5844989,222
pcs,./pcs_sim,500,6,stl-multiset,3,off,asynchronous,1000,32,11.1461,10000,5846207,0,1218,0,837,41,14050,1218,5846286,5844989,238
pcs,./pcs_sim,500,6,stl-multiset,6,off,asynchronous,1000,32,11.0981,10000,5957321,0,112332,0,23951,10136,610123,112332,5975152,5844989,257
pcs,./pcs_sim,500,6,splay-tree,1,off,asynchronous,1000,32,32.5058,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,189
pcs,./pcs_sim,500,6,splay-tree,2,off,asynchronous,1000,32,16.6409,10000,5846894,0,1905,0,1267,62,21092,1905,5846945,5844989,208
pcs,./pcs_sim,500,6,splay-tree,3,off,asynchronous,1000,32,12.2184,10000,5845400,0,411,0,355,32,6267,411,5845609,5844989,232
pcs,./pcs_sim,500,6,splay-tree,6,off,asynchronous,1000,32,11.6554,10000,5907547,0,62558,0,17037,6195,408376,62558,5914992,5844989,236
pcs,./pcs_sim,500,6,ladder-queue:16,1,off,asynchronous,1000,32,23.7396,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,201
pcs,./pcs_sim,500,6,ladder-queue:16,2,off,asynchronous,1000,32,13.7734,10000,5858577,0,13588,0,4696,1093,98633,13588,5859271,5844989,228
pcs,./pcs_sim,500,6,ladder-queue:16,3,off,asynchronous,1000,32,11.0767,10000,5848759,0,3770,0,1921,273,36551,3770,5848824,5844989,244
pcs,./pcs_sim,500,6,ladder-queue:16,6,off,asynchronous,1000,32,11.0213,10000,5919283,0,74294,0,21273,6817,486178,74294,5938806,5844989,250
pcs,./pcs_sim,500,6,ladder-queue:50,1,off,asynchronous,1000,32,23.8363,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,203
pcs,./pcs_sim,500,6,ladder-queue:50,2,off,asynchronous,1000,32,13.8412,10000,5861254,0,16265,0,5103,1249,107973,16265,5861751,5844989,229
pcs,./pcs_sim,500,6,ladder-queue:50,3,off,asynchronous,1000,32,11.021,10000,5847387,0,2398,0,1284,182,24334,2398,5847429,5844989,244
pcs,./pcs_sim,500,6,ladder-queue:50,6,off,asynchronous,1000,32,11.1694,10000,5905999,0,61010,0,18250,6077,421764,61010,5922964,5844989,254
pcs,./pcs_sim,500,6,ladder-queue:96,1,off,asynchronous,1000,32,23.9781,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,202
pcs,./pcs_sim,500,6,ladder-queue:96,2,off,asynchronous,1000,32,13.7842,10000,5858254,0,13265,0,4283,1048,91934,13265,5858913,5844989,228
pcs,./pcs_sim,500,6,ladder-queue:96,3,off,asynchronous,1000,32,11.2036,10000,5849685,0,4696,0,1832,436,38547,4696,5849742,5844989,240
pcs,./pcs_sim,500,6,ladder-queue:96,6,off,asynchronous,1000,32,11.0836,10000,5906490,0,61501,0,19130,5007,416552,61501,5916592,5844989,252
pcs,./pcs_sim,500,6,unsorted-bottom:16,1,off,asynchronous,1000,32,22.2877,10000,5845325,0,336,0,295,0,4580,336,5845325,5844989,217
pcs,./pcs_sim,500,6,unsorted-bottom:16,2,off,asynchronous,1000,32,11.8754,10000,5870631,0,25642,0,6150,3003,159904,25642,5871758,5844989,249
pcs,./pcs_sim,500,6,unsorted-bottom:16,3,off,asynchronous,1000,32,9.48937,10000,5854652,0,9663,0,4239,738,82399,9663,5855385,5844989,259
pcs,./pcs_sim,500,6,unsorted-bottom:16,6,off,asynchronous,1000,32,9.21978,10000,5932739,0,87750,0,21592,11213,580120,87750,5959442,5844989,279
pcs,./pcs_sim,500,6,unsorted-bottom:50,1,off,asynchronous,1000,32,21.6897,10000,5844990,0,1,0,2,0,30,1,5844991,5844989,218
pcs,./pcs_sim,500,6,unsorted-bottom:50,2,off,asynchronous,1000,32,11.4657,10000,5863802,0,18813,0,4545,2104,116282,18813,5864704,5844989,242
pcs,./pcs_sim,500,6,unsorted-bottom:50,3,off,asynchronous,1000,32,9.48283,10000,5855358,0,10369,0,4205,1043,85343,10369,5856298,5844989,260
pcs,./pcs_sim,500,6,unsorted-bottom:50,6,off,asynchronous,1000,32,9.49569,10000,5948838,0,103849,0,23733,13403,664795,103849,5973981,5844989,262
pcs,./pcs_sim,500,6,unsorted-bottom:96,1,off,asynchronous,1000,32,21.5235,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,218
pcs,./pcs_sim,500,6,unsorted-bottom:96,2,off,asynchronous,1000,32,11.5696,10000,5865145,0,20156,0,4870,2428,128420,20156,5865811,5844989,244
pcs,./pcs_sim,500,6,unsorted-bottom:96,3,off,asynchronous,1000,32,9.50847,10000,5853322,0,8333,0,3698,772,73726,8333,5854165,5844989,259
pcs,./pcs_sim,500,6,unsorted-bottom:96,6,off,asynchronous,1000,32,9.1139,10000,5919842,0,74853,0,19389,9836,500057,74853,5935277,5844989,284
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,1,off,asynchronous,1000,32,22.8457,10000,5869557,0,24568,0,18657,1,276884,24568,5870793,5844989,221
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,2,off,asynchronous,1000,32,13.1196,10000,5932210,0,87221,0,17385,9651,478009,87221,5934039,5844989,249
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,3,off,asynchronous,1000,32,9.56225,10000,5856591,0,11602,0,6561,806,119789,11602,5857496,5844989,258
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,6,off,asynchronous,1000,32,9.54577,10000,5922652,0,77663,0,20859,8641,517355,77663,5930883,5844989,257
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,1,off,asynchronous,1000,32,22.2712,10000,5856880,0,11891,0,9863,6,170067,11891,5857666,5844989,213
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,2,off,asynchronous,1000,32,11.9434,10000,5869164,0,24175,0,8468,2742,189774,24175,5872023,5844989,247
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,3,off,asynchronous,1000,32,9.89021,10000,5863359,0,18370,0,8248,1632,163617,18370,5864377,5844989,269
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,6,off,asynchronous,1000,32,9.59171,10000,5944624,0,99635,0,23975,12916,669146,99635,5960985,5844989,267
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,1,off,asynchronous,1000,32,23.5036,10000,5861235,0,16246,0,13825,4,219698,16246,5863314,5844989,214
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,2,off,asynchronous,1000,32,12.4016,10000,5883696,0,38707,0,14424,3184,300276,38707,5885198,5844989,245
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,3,off,asynchronous,1000,32,10.0666,10000,5878214,0,33225,0,12223,2724,253781,33225,5879996,5844989,259
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,6,off,asynchronous,1000,32,9.79124,10000,5973008,0,128019,0,27112,15620,774009,128019,5999461,5844989,269
pcs,./pcs_sim,500,6,stl-multiset,1,off,asynchronous,1000,32,23.6161,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,195
pcs,./pcs_sim,500,6,stl-multiset,2,off,asynchronous,1000,32,13.777,10000,5847555,0,2566,0,1849,69,30520,2566,5847859,5844989,220
pcs,./pcs_sim,500,6,stl-multiset,3,off,asynchronous,1000,32,11.2742,10000,5846277,0,1288,0,946,52,16294,1288,5846778,5844989,232
pcs,./pcs_sim,500,6,stl-multiset,6,off,asynchronous,1000,32,10.7924,10000,5899910,0,54921,0,17230,5666,392360,54921,5918006,5844989,248
pcs,./pcs_sim,500,6,splay-tree,1,off,asynchronous,1000,32,31.9797,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,190
pcs,./pcs_sim,500,6,splay-tree,2,off,asynchronous,1000,32,16.9747,10000,5847669,0,2680,0,1629,109,27063,2680,5847669,5844989,211
pcs,./pcs_sim,500,6,splay-tree,3,off,asynchronous,1000,32,12.2396,10000,5845836,0,847,0,687,31,11439,847,5846076,5844989,232
pcs,./pcs_sim,500,6,splay-tree,6,off,asynchronous,1000,32,11.5088,10000,5899513,0,54524,0,15849,4340,353359,54524,5909190,5844989,244
pcs,./pcs_sim,500,6,ladder-queue:16,1,off,asynchronous,1000,32,23.9047,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,202
pcs,./pcs_sim,500,6,ladder-queue:16,2,off,asynchronous,1000,32,13.9147,10000,5857551,0,12562,0,4473,955,91862,12562,5858249,5844989,228
pcs,./pcs_sim,500,6,ladder-queue:16,3,off,asynchronous,1000,32,11.2282,10000,5849733,0,4744,0,2288,370,44023,4744,5849843,5844989,239
pcs,./pcs_sim,500,6,ladder-queue:16,6,off,asynchronous,1000,32,11.4127,10000,5933255,0,88266,0,23363,7657,562802,88266,5943390,5844989,246
pcs,./pcs_sim,500,6,ladder-queue:50,1,off,asynchronous,1000,32,23.7668,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,203
pcs,./pcs_sim,500,6,ladder-queue:50,2,off,asynchronous,1000,32,13.8168,10000,5861945,0,16956,0,5478,1299,115551,16956,5862751,5844989,228
pcs,./pcs_sim,500,6,ladder-queue:50,3,off,asynchronous,1000,32,11.5022,10000,5849277,0,4288,0,2201,177,38304,4288,5849421,5844989,233
pcs,./pcs_sim,500,6,ladder-queue:50,6,off,asynchronous,1000,32,11.0694,10000,5910764,0,65775,0,18850,7030,456488,65775,5933345,5844989,249
pcs,./pcs_sim,500,6,ladder-queue:96,1,off,asynchronous,1000,32,23.8464,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,202
pcs,./pcs_sim,500,6,ladder-queue:96,2,off,asynchronous,1000,32,13.8535,10000,5864487,0,19498,0,5896,1452,126060,19498,5865940,5844989,231
pcs,./pcs_sim,500,6,ladder-queue:96,3,off,asynchronous,1000,32,11.0735,10000,5851454,0,6465,0,2587,469,50145,6465,5851489,5844989,246
pcs,./pcs_sim,500,6,ladder-queue:96,6,off,asynchronous,1000,32,10.899,10000,5926199,0,81210,0,21553,9250,548598,81210,5962893,5844989,252
pcs,./pcs_sim,500,6,unsorted-bottom:16,1,off,asynchronous,1000,32,22.278,10000,5845325,0,336,0,296,0,4617,336,5845326,5844989,218
pcs,./pcs_sim,500,6,unsorted-bottom:16,2,off,asynchronous,1000,32,11.6414,10000,5872834,0,27845,0,6367,3212,169727,27845,5873512,5844989,244
pcs,./pcs_sim,500,6,unsorted-bottom:16,3,off,asynchronous,1000,32,9.51029,10000,5852560,0,7571,0,3336,705,65914,7571,5853234,5844989,257
pcs,./pcs_sim,500,6,unsorted-bottom:16,6,off,asynchronous,1000,32,9.09424,10000,5935051,0,90062,0,22335,11080,582714,90062,5957174,5844989,270
pcs,./pcs_sim,500,6,unsorted-bottom:50,1,off,asynchronous,1000,32,21.7387,10000,5844990,0,1,0,1,0,22,1,5844990,5844989,217
pcs,./pcs_sim,500,6,unsorted-bottom:50,2,off,asynchronous,1000,32,11.5081,10000,5865236,0,20247,0,5016,2482,131175,20247,5865970,5844989,246
pcs,./pcs_sim,500,6,unsorted-bottom:50,3,off,asynchronous,1000,32,9.49455,10000,5852536,0,7547,0,3390,681,67629,7547,5853062,5844989,259
pcs,./pcs_sim,500,6,unsorted-bottom:50,6,off,asynchronous,1000,32,9.11084,10000,5955016,0,110027,0,25178,13894,707232,110027,5989836,5844989,279
pcs,./pcs_sim,500,6,unsorted-bottom:96,1,off,asynchronous,1000,32,21.7393,10000,5844989,0,0,0,0,0,0,0,5844989,5844989,214
pcs,./pcs_sim,500,6,unsorted-bottom:96,2,off,asynchronous,1000,32,11.5087,10000,5867498,0,22509,0,5088,2595,134798,22509,5868114,5844989,242
pcs,./pcs_sim,500,6,unsorted-bottom:96,3,off,asynchronous,1000,32,9.4926,10000,5856822,0,11833,0,4604,1224,95093,11833,5857583,5844989,261
pcs,./pcs_sim,500,6,unsorted-bottom:96,6,off,asynchronous,1000,32,9.36913,10000,5957400,0,112411,0,24397,14912,701776,112411,5971897,5844989,278
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,1,off,asynchronous,1000,32,23.5869,10000,5855676,0,10687,0,9169,0,152650,10687,5856393,5844989,214
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,2,off,asynchronous,1000,32,11.723,10000,5868645,0,23656,0,10531,1693,205840,23656,5869691,5844989,241
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,3,off,asynchronous,1000,32,9.93681,10000,5877407,0,32418,0,11974,2327,239386,32418,5879412,5844989,268
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:16,6,off,asynchronous,1000,32,9.60218,10000,5950362,0,105373,0,25878,12522,675473,105373,5961261,5844989,265
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,1,off,asynchronous,1000,32,22.9308,10000,5858910,0,13921,0,12353,3,182683,13921,5861179,5844989,214
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,2,off,asynchronous,1000,32,12.3721,10000,5878205,0,33216,0,12628,3047,256755,33216,5879979,5844989,241
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,3,off,asynchronous,1000,32,9.68043,10000,5863569,0,18580,0,8789,1341,168773,18580,5865068,5844989,262
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:50,6,off,asynchronous,1000,32,9.50427,10000,5919598,0,74609,0,21980,9372,543220,74609,5937263,5844989,260
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,1,off,asynchronous,1000,32,23.4348,10000,5855376,0,10387,0,9214,0,140949,10387,5857414,5844989,217
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,2,off,asynchronous,1000,32,11.7622,10000,5872360,0,27371,0,10107,2584,218810,27371,5874501,5844989,248
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,3,off,asynchronous,1000,32,9.87953,10000,5864118,0,19129,0,7959,2008,163148,19129,5865607,5844989,259
pcs,./pcs_sim,500,6,lockfree-unsorted-bottom:96,6,off,asynchronous,1000,32,9.74034,10000,5954245,0,109256,0,26866,13931,735728,109256,5977431,5844989,269
