Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim-d100,15000,6,1,32,off,asynchronous,1000,32,39.3578,10000,16343929,0,764820,0,267332,268551,11479832,764820,16418918,15579109,109
sandpile,./sandpile_sim-d100,15000,6,1,64,off,asynchronous,1000,32,55.3107,10000,19721934,0,4142825,0,1307927,1471019,63403384,4142825,19973162,15579109,88
sandpile,./sandpile_sim-d100,15000,6,2,32,off,asynchronous,1000,32,25.7185,10000,16757423,0,1178314,0,432163,361218,16842691,1178314,16900736,15579109,147
sandpile,./sandpile_sim-d100,15000,6,2,128,off,asynchronous,1000,32,93.2539,10000,30494947,0,14915838,0,4166981,5194955,223727787,14915838,30692577,15579109,71
sandpile,./sandpile_sim-d100,15000,6,3,32,off,asynchronous,1000,32,48.5156,10000,19716767,0,4137658,0,1003052,1095019,48636747,4137658,20009924,15579109,97
sandpile,./sandpile_sim-d100,15000,6,3,64,off,asynchronous,1000,32,61.8548,10000,20721738,0,5142629,0,1286308,1557022,65364693,5142629,20918065,15579109,82
sandpile,./sandpile_sim-d100,15000,6,3,128,off,asynchronous,1000,32,99.1676,10000,23378483,0,7799374,0,2004342,2609629,106352848,7799374,23503536,15579109,65
sandpile,./sandpile_sim-d100,15000,6,6,32,off,asynchronous,1000,32,69.4357,10000,20139180,0,4560075,0,1029744,923281,42600750,4560072,20502228,15579089,78
sandpile,./sandpile_sim-d100,15000,6,6,64,off,asynchronous,1000,32,79.8192,10000,20589491,0,5010442,0,1306335,1306445,57739720,5010425,20954320,15579039,72
sandpile,./sandpile_sim-d100,15000,6,6,128,off,asynchronous,1000,32,98.8326,10000,22481445,0,6902360,0,1925880,2143522,91146563,6902351,22809978,15579073,65
sandpile,./sandpile_sim-d100,15000,6,1,32,off,asynchronous,1000,32,39.6294,10000,16375468,0,796359,0,271021,279914,11864515,796359,16449112,15579109,109
sandpile,./sandpile_sim-d100,15000,6,1,64,off,asynchronous,1000,32,53.5663,10000,19393639,0,3814530,0,1242435,1344352,58630001,3814530,19641431,15579109,89
sandpile,./sandpile_sim-d100,15000,6,1,128,off,asynchronous,1000,32,112.242,10000,28918767,0,13335922,0,3892761,4732561,204443548,13335922,29192760,15582845,66
sandpile,./sandpile_sim-d100,15000,6,2,64,off,asynchronous,1000,32,41.307,10000,20323306,0,4744197,0,1494700,1605196,70352790,4744197,20600939,15579109,104
sandpile,./sandpile_sim-d100,15000,6,3,32,off,asynchronous,1000,32,47.9186,10000,19714296,0,4135187,0,1003387,1099476,48632061,4135187,20006051,15579109,97
sandpile,./sandpile_sim-d100,15000,6,3,64,off,asynchronous,1000,32,57.2141,10000,20366667,0,4787558,0,1220820,1478394,61836845,4787558,20560969,15579109,86
sandpile,./sandpile_sim-d100,15000,6,3,128,off,asynchronous,1000,32,102.989,10000,23540943,0,7961834,0,2044293,2669199,109182023,7961834,23689743,15579109,63
sandpile,./sandpile_sim-d100,15000,6,6,32,off,asynchronous,1000,32,65.9715,10000,19926898,0,4347805,0,994628,868244,40136347,4347800,20278101,15579072,80
sandpile,./sandpile_sim-d100,15000,6,6,64,off,asynchronous,1000,32,75.4964,10000,20327471,0,4748442,0,1252467,1249762,55192169,4748420,20692188,15579010,74
sandpile,./sandpile_sim-d100,15000,6,6,128,off,asynchronous,1000,32,99.5496,10000,22564761,0,6985716,0,1954642,2165630,93014778,6985700,22919843,15579037,66
