Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim-d100,15000,6,2,3,off,asynchronous,1000,32,21.6749,10000,16045151,0,466042,0,234047,94683,6444112,466042,16178849,15579109,170
sandpile,./sandpile_sim-d100,15000,6,3,2,off,asynchronous,1000,32,44.4029,10000,19255875,0,3676766,0,796166,816384,37429507,3676766,19628775,15579109,103
sandpile,./sandpile_sim-d100,15000,6,3,3,off,asynchronous,1000,32,42.9366,10000,19167276,0,3588167,0,812492,814973,37730573,3588167,19636337,15579109,105
sandpile,./sandpile_sim-d100,15000,6,3,4,off,asynchronous,1000,32,43.9382,10000,19188982,0,3609873,0,809189,833644,37826492,3609873,19686090,15579109,103
sandpile,./sandpile_sim-d100,15000,6,6,2,off,asynchronous,1000,32,54.3635,10000,19304566,0,3725517,0,890672,713353,33472176,3725498,19658508,15579036,90
sandpile,./sandpile_sim-d100,15000,6,6,3,off,asynchronous,1000,32,54.3276,10000,19412275,0,3833174,0,922910,768346,35049886,3833174,19850705,15579096,90
sandpile,./sandpile_sim-d100,15000,6,6,4,off,asynchronous,1000,32,55.4335,10000,19573012,0,3993903,0,976659,816033,37434035,3993901,20033780,15579108,90
sandpile,./sandpile_sim-d100,15000,6,2,2,off,asynchronous,1000,32,22.3919,10000,15964614,0,385505,0,204002,74296,5448454,385505,16083401,15579109,166
sandpile,./sandpile_sim-d100,15000,6,2,3,off,asynchronous,1000,32,21.4076,10000,16020645,0,441536,0,231582,89250,6243410,441536,16150695,15579109,172
sandpile,./sandpile_sim-d100,15000,6,3,2,off,asynchronous,1000,32,43.9653,10000,19184897,0,3605788,0,794815,802392,36753076,3605788,19555563,15579109,103
sandpile,./sandpile_sim-d100,15000,6,3,3,off,asynchronous,1000,32,42.5291,10000,19281067,0,3701958,0,820946,844983,38612666,3701958,19758712,15579109,106
sandpile,./sandpile_sim-d100,15000,6,3,4,off,asynchronous,1000,32,41.9493,10000,19208029,0,3628920,0,816814,824628,37752066,3628920,19705975,15579109,106
sandpile,./sandpile_sim-d100,15000,6,6,2,off,asynchronous,1000,32,54.8289,10000,19379647,0,3800538,0,887179,738443,33739760,3800538,19732390,15579109,89
sandpile,./sandpile_sim-d100,15000,6,6,3,off,asynchronous,1000,32,57.1274,10000,19491028,0,3911919,0,923304,783185,35405497,3911919,19947272,15579109,86
sandpile,./sandpile_sim-d100,15000,6,6,4,off,asynchronous,1000,32,57.6694,10000,19531368,0,3952259,0,943907,815639,36336442,3952259,19979515,15579109,87
