Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim,15000,6,1,32,off,asynchronous,1000,32,40.7933,1000000,16383238,0,804129,0,273419,283404,12041130,804129,16457143,15579109,227
sandpile,./sandpile_sim,15000,6,1,64,off,asynchronous,1000,32,55.6197,1000000,19501123,0,3922014,0,1279743,1380104,60450522,3922014,19764531,15579109,209
sandpile,./sandpile_sim,15000,6,2,64,off,asynchronous,1000,32,43.1412,1000000,20369837,0,4790728,0,1525975,1617782,71033202,4790728,20662799,15579109,222
sandpile,./sandpile_sim,15000,6,2,128,off,asynchronous,1000,32,99.4891,1000000,31343419,0,15764310,0,4295948,5535097,238076308,15764310,31511887,15579109,190
sandpile,./sandpile_sim,15000,6,3,32,off,asynchronous,1000,32,65.4938,1000000,16026159,0,447050,0,125051,83023,3715441,447050,16067142,15579109,206
sandpile,./sandpile_sim,15000,6,3,64,off,asynchronous,1000,32,80.5627,1000000,16746189,0,1167080,0,344619,290710,13187006,1167080,16861782,15579109,197
sandpile,./sandpile_sim,15000,6,3,128,off,asynchronous,1000,32,125.08,1000000,18918829,0,3339720,0,982093,1034912,45582321,3339720,19140665,15579109,184
sandpile,./sandpile_sim,15000,6,6,32,off,asynchronous,1000,32,83.3277,1000000,18015862,0,2436785,0,370346,480729,18241572,2436757,18124015,15579069,197
sandpile,./sandpile_sim,15000,6,6,64,off,asynchronous,1000,32,84.8652,1000000,17671966,0,2092857,0,531713,561730,23845613,2092857,17842390,15579109,196
sandpile,./sandpile_sim,15000,6,6,128,off,asynchronous,1000,32,101.018,1000000,18968243,0,3389134,0,985094,1050258,45494354,3389134,19187946,15579109,189
sandpile,./sandpile_sim,15000,6,1,32,off,asynchronous,1000,32,41.1724,1000000,16326961,0,747852,0,260902,264776,11267633,747852,16396110,15579109,226
sandpile,./sandpile_sim,15000,6,1,64,off,asynchronous,1000,32,54.9951,1000000,19372387,0,3793278,0,1253069,1332362,58390201,3793278,19635912,15579109,209
sandpile,./sandpile_sim,15000,6,1,128,off,asynchronous,1000,32,117.109,1000000,28955603,0,13376494,0,3859497,4780939,205094493,13376494,29219485,15579109,186
sandpile,./sandpile_sim,15000,6,3,32,off,asynchronous,1000,32,66.1768,1000000,16027561,0,448452,0,129329,83408,3800608,448452,16066364,15579109,205
sandpile,./sandpile_sim,15000,6,3,64,off,asynchronous,1000,32,80.8099,1000000,16761367,0,1182258,0,342458,285104,13046562,1182258,16850325,15579109,196
sandpile,./sandpile_sim,15000,6,3,128,off,asynchronous,1000,32,127.58,1000000,19325069,0,3745960,0,1074183,1140721,50857005,3745960,19564912,15579109,183
sandpile,./sandpile_sim,15000,6,6,32,off,asynchronous,1000,32,83.3211,1000000,18166350,0,2587265,0,402520,502739,19494954,2587236,18279339,15579081,196
sandpile,./sandpile_sim,15000,6,6,64,off,asynchronous,1000,32,88.7823,1000000,18014271,0,2435162,0,581939,643633,26744308,2435162,18175610,15579109,194
sandpile,./sandpile_sim,15000,6,6,128,off,asynchronous,1000,32,101.913,1000000,18930629,0,3351556,0,976626,1041537,44585892,3351539,19138850,15579064,189
