Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim,15000,6,3,2,off,asynchronous,1000,32,59.542,1000000,15670118,0,91009,0,14581,15420,496691,91009,15671666,15579109,211
sandpile,./sandpile_sim,15000,6,3,3,off,asynchronous,1000,32,58.4551,1000000,15693042,0,113933,0,20598,18838,637754,113933,15696196,15579109,212
sandpile,./sandpile_sim,15000,6,3,4,off,asynchronous,1000,32,57.6429,1000000,15701921,0,122812,0,20106,22620,702151,122812,15706017,15579109,212
sandpile,./sandpile_sim,15000,6,6,2,off,asynchronous,1000,32,56.7812,1000000,16819554,0,1240445,0,236493,216543,8804602,1240445,16893667,15579109,214
sandpile,./sandpile_sim,15000,6,6,3,off,asynchronous,1000,32,59.724,1000000,17212941,0,1633832,0,310391,279982,11481326,1633832,17323280,15579109,211
sandpile,./sandpile_sim,15000,6,6,4,off,asynchronous,1000,32,58.5406,1000000,17298355,0,1719246,0,325901,320303,12622475,1719246,17406568,15579109,210
sandpile,./sandpile_sim,15000,6,2,2,off,asynchronous,1000,32,24.0399,1000000,15941028,0,361919,0,195471,69569,5169533,361919,16052561,15579109,276
sandpile,./sandpile_sim,15000,6,2,4,off,asynchronous,1000,32,22.1755,1000000,16120691,0,541582,0,236399,128028,7084589,541582,16244384,15579109,286
sandpile,./sandpile_sim,15000,6,3,2,off,asynchronous,1000,32,59.8596,1000000,15660450,0,81341,0,14641,14636,478666,81341,15663513,15579109,211
sandpile,./sandpile_sim,15000,6,3,3,off,asynchronous,1000,32,59.0048,1000000,15693411,0,114302,0,21688,19556,668644,114302,15697169,15579109,211
sandpile,./sandpile_sim,15000,6,3,4,off,asynchronous,1000,32,57.0552,1000000,15669519,0,90410,0,19998,16969,602394,90410,15673622,15579109,213
sandpile,./sandpile_sim,15000,6,6,2,off,asynchronous,1000,32,61.7572,1000000,17382492,0,1803383,0,270284,295278,11104565,1803383,17463640,15579109,208
sandpile,./sandpile_sim,15000,6,6,3,off,asynchronous,1000,32,53.6706,1000000,16981882,0,1402773,0,285755,241652,10266453,1402773,17091553,15579109,216
sandpile,./sandpile_sim,15000,6,6,4,off,asynchronous,1000,32,54.955,1000000,16901528,0,1322419,0,304386,246027,10674415,1322419,17003823,15579109,215
