Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,6,4,1.0,asynchronous,1000,32,20.6686,10000,34,8483393,0,2252266,0,330166,77095,7463832,2252266,8610901,6231127,479
traffic,./traffic_sim,10000,6,16,1.0,asynchronous,1000,32,20.6452,10000,34,8486818,0,2255691,0,330423,77241,7469341,2255691,8612996,6231127,478
traffic,./traffic_sim,10000,6,32,1.0,asynchronous,1000,32,21.0892,10000,34,8488433,0,2257306,0,330314,77595,7461782,2257306,8615715,6231127,478
traffic,./traffic_sim,10000,6,64,1.0,asynchronous,1000,32,20.742,10000,34,8486781,0,2255654,0,330479,77440,7468805,2255654,8612864,6231127,480
traffic,./traffic_sim,10000,6,128,1.0,asynchronous,1000,32,20.6481,10000,34,8491108,0,2259981,0,330676,77347,7484521,2259981,8616984,6231127,479
traffic,./traffic_sim,10000,6,256,1.0,asynchronous,1000,32,20.7642,10000,34,8487331,0,2256204,0,330392,77202,7470422,2256204,8613156,6231127,478
traffic,./traffic_sim,10000,6,0,0.75,asynchronous,1000,32,20.6832,10000,34,8481573,0,2250446,0,330017,76870,7439296,2250446,8606613,6231127,479
traffic,./traffic_sim,10000,6,0,0.50,asynchronous,1000,32,21.0066,10000,34,8487952,0,2256825,0,330436,77189,7456244,2256825,8613198,6231127,478
traffic,./traffic_sim,10000,6,0,0.25,asynchronous,1000,32,20.7291,10000,34,8487913,0,2256786,0,330431,77421,7467282,2256786,8614149,6231127,480
traffic,./traffic_sim,10000,6,0,0.05,asynchronous,1000,32,20.5831,10000,34,8489610,0,2258483,0,330615,77593,7495543,2258483,8616739,6231127,481
traffic,./traffic_sim,10000,6,4,1.0,asynchronous,1000,32,20.6609,10000,34,8488684,0,2257557,0,330543,77469,7473283,2257557,8615137,6231127,480
traffic,./traffic_sim,10000,6,16,1.0,asynchronous,1000,32,20.7567,10000,34,8485390,0,2254263,0,329897,77192,7460751,2254263,8612014,6231127,481
traffic,./traffic_sim,10000,6,32,1.0,asynchronous,1000,32,20.7489,10000,34,8484379,0,2253252,0,330227,77064,7470126,2253252,8611277,6231127,476
traffic,./traffic_sim,10000,6,64,1.0,asynchronous,1000,32,20.6628,10000,34,8491963,0,2260836,0,330637,77601,7465664,2260836,8617672,6231127,481
traffic,./traffic_sim,10000,6,128,1.0,asynchronous,1000,32,20.6828,10000,34,8490662,0,2259535,0,330484,77870,7474940,2259535,8618306,6231127,482
traffic,./traffic_sim,10000,6,256,1.0,asynchronous,1000,32,20.7281,10000,34,8491819,0,2260692,0,330902,77562,7478361,2260692,8618964,6231127,480
traffic,./traffic_sim,10000,6,0,0.75,asynchronous,1000,32,20.9924,10000,34,8483762,0,2252635,0,329922,77156,7466891,2252635,8609237,6231127,475
traffic,./traffic_sim,10000,6,0,0.50,asynchronous,1000,32,20.6896,10000,34,8491072,0,2259945,0,330498,77844,7455205,2259945,8618437,6231127,481
traffic,./traffic_sim,10000,6,0,0.25,asynchronous,1000,32,20.7164,10000,34,8487105,0,2255978,0,330360,77340,7467697,2255978,8613092,6231127,482
traffic,./traffic_sim,10000,6,0,0.05,asynchronous,1000,32,20.7436,10000,34,8484106,0,2252979,0,330314,77048,7447987,2252979,8609322,6231127,479
