Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,6,1,32,off,asynchronous,1000,32,25.0436,10000,6231129,0,2,0,1,0,20,2,6231129,6231127,195
traffic,./traffic_sim,10000,6,1,64,off,asynchronous,1000,32,22.3397,10000,6231137,0,10,0,5,0,87,10,6231137,6231127,205
traffic,./traffic_sim,10000,6,1,128,off,asynchronous,1000,32,20.7658,10000,6231163,0,36,0,28,0,412,36,6231163,6231127,209
traffic,./traffic_sim,10000,6,1,256,off,asynchronous,1000,32,21.5226,10000,6231335,0,208,0,204,0,2986,208,6231342,6231127,209
traffic,./traffic_sim,10000,6,2,32,off,asynchronous,1000,32,12.4812,10000,6232481,0,1354,0,616,24,9947,1354,6232687,6231127,250
traffic,./traffic_sim,10000,6,2,64,off,asynchronous,1000,32,13.262,10000,6233836,0,2709,0,906,39,14616,2709,6233892,6231127,243
traffic,./traffic_sim,10000,6,2,128,off,asynchronous,1000,32,13.3734,10000,6233888,0,2761,0,943,32,15938,2761,6233913,6231127,242
traffic,./traffic_sim,10000,6,2,256,off,asynchronous,1000,32,14.0997,10000,6232500,0,1373,0,794,16,12908,1373,6232764,6231127,232
traffic,./traffic_sim,10000,6,3,32,off,asynchronous,1000,32,11.2706,10000,6232900,0,1773,0,770,21,12721,1773,6233018,6231127,257
traffic,./traffic_sim,10000,6,3,64,off,asynchronous,1000,32,11.6053,10000,6235545,0,4418,0,1387,77,24021,4418,6235764,6231127,266
traffic,./traffic_sim,10000,6,3,128,off,asynchronous,1000,32,12.0081,10000,6233677,0,2550,0,1023,39,17727,2550,6233801,6231127,263
traffic,./traffic_sim,10000,6,3,256,off,asynchronous,1000,32,12.2739,10000,6235145,0,4018,0,1591,86,26393,4018,6236059,6231127,252
traffic,./traffic_sim,10000,6,6,32,off,asynchronous,1000,32,11.3522,10000,6283758,0,52631,0,7833,1987,174487,52631,6291311,6231127,287
traffic,./traffic_sim,10000,6,6,64,off,asynchronous,1000,32,12.0287,10000,6315308,0,84181,0,10490,3889,259771,84181,6333101,6231127,291
traffic,./traffic_sim,10000,6,6,128,off,asynchronous,1000,32,11.4248,10000,6262929,0,31802,0,6077,1013,121450,31802,6267132,6231127,287
traffic,./traffic_sim,10000,6,6,256,off,asynchronous,1000,32,11.5595,10000,6293678,0,62551,0,9080,2640,207861,62551,6305105,6231127,289
traffic,./traffic_sim,10000,6,1,32,off,asynchronous,1000,32,25.0264,10000,6231131,0,4,0,3,0,62,4,6231131,6231127,195
traffic,./traffic_sim,10000,6,1,64,off,asynchronous,1000,32,22.2841,10000,6231133,0,6,0,6,0,108,6,6231133,6231127,203
traffic,./traffic_sim,10000,6,1,128,off,asynchronous,1000,32,20.5898,10000,6231150,0,23,0,19,0,319,23,6231150,6231127,211
traffic,./traffic_sim,10000,6,1,256,off,asynchronous,1000,32,21.37,10000,6231349,0,222,0,214,0,3216,222,6231353,6231127,211
traffic,./traffic_sim,10000,6,2,32,off,asynchronous,1000,32,12.3998,10000,6233186,0,2059,0,825,35,13761,2059,6233479,6231127,251
traffic,./traffic_sim,10000,6,2,64,off,asynchronous,1000,32,13.0739,10000,6232835,0,1708,0,708,27,11656,1708,6233037,6231127,240
traffic,./traffic_sim,10000,6,2,128,off,asynchronous,1000,32,13.3472,10000,6232187,0,1060,0,498,11,8174,1060,6232257,6231127,242
traffic,./traffic_sim,10000,6,2,256,off,asynchronous,1000,32,14.1954,10000,6233957,0,2830,0,1221,54,20952,2830,6234325,6231127,231
traffic,./traffic_sim,10000,6,3,32,off,asynchronous,1000,32,11.2703,10000,6233571,0,2444,0,1018,30,16676,2444,6233882,6231127,258
traffic,./traffic_sim,10000,6,3,64,off,asynchronous,1000,32,11.4232,10000,6233450,0,2323,0,964,35,15737,2323,6233847,6231127,260
traffic,./traffic_sim,10000,6,3,128,off,asynchronous,1000,32,11.5168,10000,6233157,0,2030,0,890,20,15000,2030,6233227,6231127,264
traffic,./traffic_sim,10000,6,3,256,off,asynchronous,1000,32,12.1746,10000,6232920,0,1793,0,875,21,14464,1793,6232998,6231127,248
traffic,./traffic_sim,10000,6,6,32,off,asynchronous,1000,32,11.4278,10000,6282421,0,51294,0,7724,1895,168079,51294,6289860,6231127,284
traffic,./traffic_sim,10000,6,6,64,off,asynchronous,1000,32,11.4401,10000,6288667,0,57540,0,8103,2027,174511,57540,6293128,6231127,286
traffic,./traffic_sim,10000,6,6,128,off,asynchronous,1000,32,11.1814,10000,6258557,0,27430,0,5721,762,110096,27430,6261178,6231127,278
traffic,./traffic_sim,10000,6,6,256,off,asynchronous,1000,32,11.4134,10000,6254933,0,23806,0,5289,811,103107,23806,6259757,6231127,277
