Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,6,1,2,off,asynchronous,1000,32,20.3055,10000,6725852,0,494725,0,514217,1246,8667078,494725,6746590,6231127,244
traffic,./traffic_sim,10000,6,1,3,off,asynchronous,1000,32,19.7352,10000,7217020,0,985893,0,680097,3520,11724770,985893,7257689,6231127,262
traffic,./traffic_sim,10000,6,1,4,off,asynchronous,1000,32,19.7557,10000,7637486,0,1406359,0,739306,5643,13148953,1406359,7695426,6231127,275
traffic,./traffic_sim,10000,6,2,2,off,asynchronous,1000,32,15.7523,10000,6727478,0,496351,0,515031,1286,8681175,496351,6748307,6231127,266
traffic,./traffic_sim,10000,6,2,3,off,asynchronous,1000,32,16.6716,10000,7218221,0,987094,0,680630,3546,11720705,987094,7258900,6231127,276
traffic,./traffic_sim,10000,6,2,4,off,asynchronous,1000,32,17.3526,10000,7643624,0,1412497,0,741127,5910,13180318,1412497,7701881,6231127,292
traffic,./traffic_sim,10000,6,3,2,off,asynchronous,1000,32,14.4573,10000,6729451,0,498324,0,515463,1366,8674938,498324,6750196,6231127,280
traffic,./traffic_sim,10000,6,3,3,off,asynchronous,1000,32,15.3788,10000,7221754,0,990627,0,681013,3734,11773839,990627,7262998,6231127,291
traffic,./traffic_sim,10000,6,3,4,off,asynchronous,1000,32,16.2049,10000,7641530,0,1410403,0,739967,5800,13186369,1410403,7700139,6231127,297
traffic,./traffic_sim,10000,6,6,2,off,asynchronous,1000,32,13.8052,10000,6747122,0,515995,0,518234,1973,8761082,515995,6769295,6231127,290
traffic,./traffic_sim,10000,6,6,3,off,asynchronous,1000,32,15.1409,10000,7247870,0,1016743,0,684239,4684,11866290,1016743,7289870,6231127,303
traffic,./traffic_sim,10000,6,6,4,off,asynchronous,1000,32,15.6844,10000,7658186,0,1427059,0,743270,6528,13224752,1427059,7717631,6231127,310
traffic,./traffic_sim,10000,6,1,2,off,asynchronous,1000,32,20.3484,10000,6725843,0,494716,0,514212,1246,8667315,494716,6746585,6231127,245
traffic,./traffic_sim,10000,6,1,3,off,asynchronous,1000,32,19.8738,10000,7217045,0,985918,0,680127,3515,11724589,985918,7257721,6231127,261
traffic,./traffic_sim,10000,6,1,4,off,asynchronous,1000,32,20.1943,10000,7637418,0,1406291,0,739150,5643,13145947,1406291,7695268,6231127,276
traffic,./traffic_sim,10000,6,2,2,off,asynchronous,1000,32,16.121,10000,6727400,0,496273,0,515021,1304,8675685,496273,6748269,6231127,263
traffic,./traffic_sim,10000,6,2,3,off,asynchronous,1000,32,16.4383,10000,7217488,0,986361,0,680192,3529,11719369,986361,7258178,6231127,283
traffic,./traffic_sim,10000,6,2,4,off,asynchronous,1000,32,17.3376,10000,7649687,0,1418560,0,741749,6191,13215941,1418560,7708574,6231127,296
traffic,./traffic_sim,10000,6,3,2,off,asynchronous,1000,32,14.4049,10000,6727397,0,496270,0,515328,1292,8668655,496270,6748218,6231127,277
traffic,./traffic_sim,10000,6,3,3,off,asynchronous,1000,32,15.4683,10000,7224270,0,993143,0,682108,3776,11768231,993143,7265271,6231127,292
traffic,./traffic_sim,10000,6,3,4,off,asynchronous,1000,32,16.299,10000,7643722,0,1412595,0,741568,5909,13190329,1412595,7702410,6231127,299
traffic,./traffic_sim,10000,6,6,2,off,asynchronous,1000,32,13.544,10000,6738323,0,507196,0,517961,1640,8744023,507196,6760605,6231127,285
traffic,./traffic_sim,10000,6,6,3,off,asynchronous,1000,32,15.1689,10000,7235894,0,1004767,0,683319,4283,11799207,1004767,7278041,6231127,293
traffic,./traffic_sim,10000,6,6,4,off,asynchronous,1000,32,15.4657,10000,7663297,0,1432170,0,744263,6692,13246400,1432170,7722499,6231127,311
