Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,6,stl-multiset,1,off,asynchronous,1000,32,23.7767,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,197
traffic,./traffic_sim,10000,6,stl-multiset,2,off,asynchronous,1000,32,14.1917,10000,6231731,0,604,0,348,7,5360,604,6231891,6231127,231
traffic,./traffic_sim,10000,6,stl-multiset,3,off,asynchronous,1000,32,12.207,10000,6236196,0,5069,0,1483,80,25151,5069,6236268,6231127,253
traffic,./traffic_sim,10000,6,stl-multiset,6,off,asynchronous,1000,32,11.2518,10000,6265331,0,34204,0,5670,821,111265,34204,6267841,6231127,274
traffic,./traffic_sim,10000,6,splay-tree,1,off,asynchronous,1000,32,34.4467,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,184
traffic,./traffic_sim,10000,6,splay-tree,2,off,asynchronous,1000,32,17.9638,10000,6232147,0,1020,0,558,10,9086,1020,6232243,6231127,215
traffic,./traffic_sim,10000,6,splay-tree,3,off,asynchronous,1000,32,13.1357,10000,6232663,0,1536,0,652,13,10089,1536,6232691,6231127,241
traffic,./traffic_sim,10000,6,splay-tree,6,off,asynchronous,1000,32,11.5186,10000,6250409,0,19282,0,4215,421,77355,19282,6251690,6231127,271
traffic,./traffic_sim,10000,6,ladder-queue:16,1,off,asynchronous,1000,32,18.9193,10000,6231128,0,1,0,1,0,26,1,6231128,6231127,213
traffic,./traffic_sim,10000,6,ladder-queue:16,2,off,asynchronous,1000,32,12.6264,10000,6231763,0,636,0,293,8,4461,636,6231782,6231127,242
traffic,./traffic_sim,10000,6,ladder-queue:16,3,off,asynchronous,1000,32,10.9853,10000,6233921,0,2794,0,1006,34,16345,2794,6234006,6231127,260
traffic,./traffic_sim,10000,6,ladder-queue:16,6,off,asynchronous,1000,32,10.8436,10000,6266916,0,35789,0,5891,825,113152,35789,6268138,6231127,291
traffic,./traffic_sim,10000,6,ladder-queue:50,1,off,asynchronous,1000,32,18.9782,10000,6231129,0,2,0,2,0,38,2,6231129,6231127,213
traffic,./traffic_sim,10000,6,ladder-queue:50,2,off,asynchronous,1000,32,12.7919,10000,6232318,0,1191,0,548,14,8949,1191,6232342,6231127,243
traffic,./traffic_sim,10000,6,ladder-queue:50,3,off,asynchronous,1000,32,11.1676,10000,6235690,0,4563,0,1409,78,23759,4563,6235950,6231127,263
traffic,./traffic_sim,10000,6,ladder-queue:50,6,off,asynchronous,1000,32,10.7249,10000,6277709,0,46582,0,7219,1241,146437,46582,6282533,6231127,297
traffic,./traffic_sim,10000,6,ladder-queue:96,1,off,asynchronous,1000,32,18.9131,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,216
traffic,./traffic_sim,10000,6,ladder-queue:96,2,off,asynchronous,1000,32,13.1223,10000,6236396,0,5269,0,1344,115,23932,5269,6236786,6231127,249
traffic,./traffic_sim,10000,6,ladder-queue:96,3,off,asynchronous,1000,32,10.9045,10000,6233793,0,2666,0,987,50,16350,2666,6234261,6231127,267
traffic,./traffic_sim,10000,6,ladder-queue:96,6,off,asynchronous,1000,32,10.8431,10000,6273476,0,42349,0,6497,1078,131201,42349,6274739,6231127,293
traffic,./traffic_sim,10000,6,unsorted-bottom:16,1,off,asynchronous,1000,32,13.995,10000,6231137,0,10,0,8,0,109,10,6231137,6231127,240
traffic,./traffic_sim,10000,6,unsorted-bottom:16,2,off,asynchronous,1000,32,10.8074,10000,6232700,0,1573,0,637,22,10454,1573,6232807,6231127,258
traffic,./traffic_sim,10000,6,unsorted-bottom:16,3,off,asynchronous,1000,32,10.0674,10000,6234926,0,3799,0,1095,61,18911,3799,6235106,6231127,278
