Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,32,off,asynchronous,1000,32,37.0434,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1051
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,64,off,asynchronous,1000,32,33.078,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1055
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,128,off,asynchronous,1000,32,33.0368,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1056
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,256,off,asynchronous,1000,32,33.0992,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1055
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,32,off,asynchronous,1000,32,19.0816,1048576,6549209,0,0,0,1,0,4,0,6549210,6549209,1062
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,64,off,asynchronous,1000,32,19.2054,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1066
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,128,off,asynchronous,1000,32,19.0481,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1067
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,256,off,asynchronous,1000,32,20.0785,1048576,6549209,0,0,0,1,0,4,0,6549210,6549209,1068
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,32,off,asynchronous,1000,32,16.0789,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1067
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,64,off,asynchronous,1000,32,16.5155,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1066
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,128,off,asynchronous,1000,32,16.4826,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1066
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,256,off,asynchronous,1000,32,17.1258,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1066
