Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,2,off,asynchronous,1000,32,46.214,1048576,6857979,0,308770,0,925119,1961,2971674,308770,7476289,6549209,1119
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,3,off,asynchronous,1000,32,44.2696,1048576,7117104,0,567895,0,1303973,4639,4140605,567895,8345725,6549209,1146
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,4,off,asynchronous,1000,32,45.1613,1048576,7240671,0,691462,0,1453756,5438,4687929,691462,8808703,6549209,1152
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,2,off,asynchronous,1000,32,27.1794,1048576,6857978,0,308769,0,925119,1961,2971684,308769,7476289,6549209,1117
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,3,off,asynchronous,1000,32,28.1933,1048576,7117102,0,567893,0,1303971,4637,4140606,567893,8345720,6549209,1142
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,4,off,asynchronous,1000,32,29.1547,1048576,7240671,0,691462,0,1453759,5437,4687938,691462,8808705,6549209,1148
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,2,off,asynchronous,1000,32,23.1968,1048576,6857978,0,308769,0,925119,1961,2971681,308769,7476289,6549209,1119
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,3,off,asynchronous,1000,32,24.3538,1048576,7117097,0,567888,0,1303963,4636,4140576,567888,8345710,6549209,1145
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,4,off,asynchronous,1000,32,25.3384,1048576,7240670,0,691461,0,1453754,5437,4687907,691461,8808700,6549209,1150
traffic,./traffic_sim-x1024-y1024-n5,500,6,6,2,off,asynchronous,1000,32,28.3707,1048576,6857974,0,308765,0,925108,1961,2971635,308765,7476278,6549209,1118
traffic,./traffic_sim-x1024-y1024-n5,500,6,6,3,off,asynchronous,1000,32,33.4495,1048576,7117101,0,567892,0,1303965,4636,4140638,567892,8345714,6549209,1147
traffic,./traffic_sim-x1024-y1024-n5,500,6,6,4,off,asynchronous,1000,32,34.3412,1048576,7240663,0,691454,0,1453746,5438,4687889,691454,8808693,6549209,1154
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,2,off,asynchronous,1000,32,45.1588,1048576,6857979,0,308770,0,925120,1962,2971685,308770,7476291,6549209,1117
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,3,off,asynchronous,1000,32,44.1234,1048576,7117104,0,567895,0,1303972,4639,4140605,567895,8345725,6549209,1145
traffic,./traffic_sim-x1024-y1024-n5,500,6,1,4,off,asynchronous,1000,32,45.1948,1048576,7240671,0,691462,0,1453759,5438,4687935,691462,8808706,6549209,1153
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,2,off,asynchronous,1000,32,27.231,1048576,6857979,0,308770,0,925119,1962,2971685,308770,7476290,6549209,1117
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,3,off,asynchronous,1000,32,27.328,1048576,7117102,0,567893,0,1303970,4638,4140606,567893,8345720,6549209,1143
traffic,./traffic_sim-x1024-y1024-n5,500,6,2,4,off,asynchronous,1000,32,28.2216,1048576,7240671,0,691462,0,1453760,5436,4687931,691462,8808704,6549209,1149
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,2,off,asynchronous,1000,32,23.2421,1048576,6857976,0,308767,0,925116,1960,2971669,308767,7476285,6549209,1120
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,3,off,asynchronous,1000,32,24.2091,1048576,7117096,0,567887,0,1303962,4637,4140582,567887,8345707,6549209,1144
traffic,./traffic_sim-x1024-y1024-n5,500,6,3,4,off,asynchronous,1000,32,25.3032,1048576,7240667,0,691458,0,1453754,5438,4687909,691458,8808700,6549209,1150
traffic,./traffic_sim-x1024-y1024-n5,500,6,6,2,off,asynchronous,1000,32,29.2835,1048576,6857974,0,308765,0,925115,1960,2971653,308765,7476285,6549209,1117
traffic,./traffic_sim-x1024-y1024-n5,500,6,6,3,off,asynchronous,1000,32,32.4735,1048576,7117099,0,567890,0,1303961,4637,4140618,567890,8345710,6549209,1148
traffic,./traffic_sim-x1024-y1024-n5,500,6,6,4,off,asynchronous,1000,32,34.2725,1048576,7240663,0,691454,0,1453744,5438,4687880,691454,8808691,6549209,1152
