Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,1,off,asynchronous,1000,32,42.914,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1042
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,2,off,asynchronous,1000,32,24.1772,1048576,6549209,0,0,0,2,0,4,0,6549211,6549209,1049
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,3,off,asynchronous,1000,32,18.425,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1060
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,6,off,asynchronous,1000,32,19.3743,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1046
traffic,./traffic_sim-x1024-y1024-n5,500,6,splay-tree,2,off,asynchronous,1000,32,31.1162,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1034
traffic,./traffic_sim-x1024-y1024-n5,500,6,splay-tree,3,off,asynchronous,1000,32,23.6789,1048576,6549209,0,0,0,1,0,7,0,6549210,6549209,1044
traffic,./traffic_sim-x1024-y1024-n5,500,6,splay-tree,6,off,asynchronous,1000,32,23.3464,1048576,6549210,0,1,0,2,0,1,1,6549211,6549209,1033
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,1,off,asynchronous,1000,32,42.9064,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1041
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,2,off,asynchronous,1000,32,24.2056,1048576,6549209,0,0,0,1,0,0,0,6549210,6549209,1049
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,3,off,asynchronous,1000,32,18.2872,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1059
traffic,./traffic_sim-x1024-y1024-n5,500,6,stl-multiset,6,off,asynchronous,1000,32,19.0029,1048576,6549210,0,1,0,1,0,5,1,6549210,6549209,1046
traffic,./traffic_sim-x1024-y1024-n5,500,6,splay-tree,2,off,asynchronous,1000,32,32.0912,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1035
traffic,./traffic_sim-x1024-y1024-n5,500,6,splay-tree,3,off,asynchronous,1000,32,24.242,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1045
traffic,./traffic_sim-x1024-y1024-n5,500,6,splay-tree,6,off,asynchronous,1000,32,23.6237,1048576,6549210,0,1,0,5,0,27,1,6549214,6549209,1033
